screen_name,name,id,created_at,followers_count,following_count,tweets_count,favorites_count,
astro_Jfrancois,Clervoy JeanFrancois,847170962,Wed Sep 26 10:43:26 +0000 2012,1302,23,26,2,
astro_timpeake,Tim Peake,552582271,Fri Apr 13 10:12:28 +0000 2012,38374,220,1306,757,
Thom_astro,Thomas Pesquet,437520768,Thu Dec 15 14:18:06 +0000 2011,20094,180,1422,763,
Astro_Alex,Alexander Gerst,390287262,Thu Oct 13 19:05:22 +0000 2011,201558,103,2690,37,
AstroSamantha,Sam Cristoforetti,337886919,Mon Jul 18 18:54:02 +0000 2011,352153,609,8011,5377,
astro_luca,Luca Parmitano,290876018,Sun May 01 03:01:30 +0000 2011,157809,71,5511,2014,
astro_andre,André Kuipers,266464616,Tue Mar 15 08:16:25 +0000 2011,377884,476,2275,393,
astro_paolo,Paolo Nespoli,173116059,Sat Jul 31 13:39:45 +0000 2010,96310,5,1315,1,
Astro_Andreas,Andreas Mogensen,40426996,Sat May 16 07:15:43 +0000 2009,19689,155,1079,156,
CFuglesang,Christer,62584402,Mon Aug 03 18:30:23 +0000 2009,11487,62,1122,9,
ESA_EAC,ESA Astronaut Centre,1088665734,Mon Jan 14 10:53:02 +0000 2013,3888,26,367,12,
esa,ESA,21436960,Fri Feb 20 21:38:25 +0000 2009,341030,610,21395,4565,
esaoperations,ESA Operations,17384099,Fri Nov 14 08:55:59 +0000 2008,118697,313,13558,1867,
