tweet,retweetsCount,favoritesCount
"RT @JAXA_jp: Congratulations @inpe_mct&amp;ITA! 2015年2月5日21時50分（日本時間）に、ブラジルの超小型衛星を「きぼう」から放出しました。今後も「きぼう」を活用し、各国宇宙機関との協力を推進していきます。 http://t.co/Q…",306,0
"RT @JAXA_en: Congratulations! The Brazilian CubeSat was deployed from Kibo. We'll keep enhancing the cooperation with Brazil. http://t.co/z…",165,0
"RT @NASA_Astronauts: 'Did you know that Monterey Canyon is one of the largest underwater canyons in the world? #MontereyBay” #AstroButch ht…",129,0
"RT @NASA_Astronauts: “As far as the eye can see #Africa” #AstroButch http://t.co/KkKXOvel3n",1651,0
"RT @NASA_Astronauts: “Looking good #SanDiego!” #AstroButch http://t.co/x5WxgY6GID",143,0
"RT @NASA_Astronauts: “The #Nile Transforming” #AstroButch http://t.co/CGheoin4LM",96,0
"RT @AstroSamantha: There it goes! Small satellite deploy yesterday... cool, ah? Nothing personal, but I trust we won't meet again ;-) http:…",485,0
"RT @JAXA_jp: [宇宙科学研究所] 金星探査機「あかつき」による今後の金星周回軌道再投入及び観測計画について http://t.co/o0GZj6ytq8",90,0
"RT @JAXA_en: [International Space Station (ISS) / Kibo Site] JAXA Astronaut Activity Report, December, 2014 http://t.co/dGLlcKuwwM",10,0
"RT @Astro_Wakata: 「きぼう」からブラジルの宇宙機関が開発した超小型衛星を放出。今回で「きぼう」からの超小型衛星放出は6回目（56基目）となりました。http://t.co/zGoMw6EqRb http://t.co/z317yEEveA",199,0
"RT @JAXA_en: [release] Venus Climate Orbiter “AKATSUKI” Re-injection to Venus Orbit and Observation Plan http://t.co/mB0v9NMBaV http://t.co…",42,0
"RT @JAXA_jp: [発表] 金星探査機「あかつき」による今後の金星周回軌道再投入及び観測計画について http://t.co/hNxDrOw91f",124,0
"RT @Astro_Kimiya: 今日は、主にロボットアームの訓練がありました。今回の米国での訓練は今日が最終日で、明日はミーティングや各種事務手続きを行う予定です。そして、土曜日にはロシアへ出発！約2ヶ月ぶりのロシアでの訓練も、予定は盛り沢山でとても忙しくなりそうです。でも…",32,0
"RT @JAXA_en: [release] Venus Climate Orbiter “AKATSUKI” Re-injection to Venus Orbit and Observation Plan http://t.co/pW36uI6Lt8 http://t.co…",26,0
"RT @JAXA_en: [International Space Station (ISS) / Kibo Site] Brazilian AESP-14 CubeSat was deployed from Kibo http://t.co/wEpvoRmaXs",11,0
"RT @JAXA_jp: [ISS・きぼう広報・情報センター] ブラジルの宇宙機関が開発した超小型衛星を放出しました http://t.co/dt28PaQ9rW",30,0
"RT @AstroSamantha: Good night from #space! Buona notte dallo spazio! http://t.co/SFOoyppGmL",2994,0
"RT @NASA_Astronauts: “Strange colors in the desert mountains” #AstroButch http://t.co/9i2dahfzqT",122,0
"RT @Space_Station: See this month's highlights of @ISS_Research taking place #OffTheEarthForTheEarth... http://t.co/JEIukS43Rl",70,0
"RT @AstroSamantha: #NewYork NewYork! Can almost see the Statue of Liberty. Which is, by the way, #UNESCO #WorldHeritage! http://t.co/PWDWTu…",3762,0
"RT @AstroSamantha: Hello #Kenya! Fort Jesus, in Mombasa, is a 16th century Portuguese military fortification and a #Worldheritage site! htt…",403,0
"RT @ISS_Research: Good morning!  You've got to watch this video from #AstroButch of sunrise touching the aurora: http://t.co/TwuBCJLBpj",58,0
"RT @AstroTerry: #aurora over Anchorage and Fairbanks #Alaska http://t.co/lJwD1A48do",880,0
"RT @AstroSamantha: I already posted other pics of #London... but it's always an amazing view at night! http://t.co/vRCzFCwH60",1287,0
"RT @Astro_Kimiya: NBL(巨大なプールの中)で船外活動の訓練を行いました。今日は、HTV(こうのとり)で不具合が発生し、船外活動が必要になった場合を想定しての訓練でした。日本実験棟「きぼう」やHTVの実物大の模型もNBLに入っているんですよ。この様な形で行う船…",47,0
"RT @AstroSamantha: Good night from #space! Buona notte dallo spacio! http://t.co/NGdsxum5oL",1238,0
"RT @Astro_Kimiya: トイレの修理法について訓練を受けました。皆さんの家でもトイレが壊れてしまったら困りますよね。地上と連携を取りながら、様々な故障に応じた対処を取る必要があります。ISSのトイレについては、以前大西飛行士がコラムで紹介していますよ。 http:/…",82,0
"RT @NASA_Astronauts: .@Astro_Suni is excited to launch again from @NASAKennedy and to double the amount of @ISS_Research. Watch: https://t.…",52,0
"RT @astro_timpeake: Some new pics on Flickr: https://t.co/nu5bqoryt2 This one of me &amp; Tim Kopra during a very smoky emergency sim! http://t…",54,0
"RT @AstroTerry: here was yesterday's final result from @astrosamantha 's haircut http://t.co/2jVhQuYpvT",133,0
