tweet,retweetsCount,favoritesCount
"South #Pacific #Ocean from the height of the #ISS. The two main islands of #Samoa are #Upolu and #Savaii http://t.co/yeHJj6XoXu",47,87
"Южная часть Тихого океана c высоты #МКС. Самые крупные острова государства #Самоа - #Савайи и #Уполу http://t.co/ppw0hOmycV",13,34
"Cape Cod (#USA) is the place of residence of my first American workmate Daniel Burbank http://t.co/0UFEuOu9vt",62,127
"Место жительство моего первого американского напарника Дена Бёрбенка – Кейп-Код, США. http://t.co/TZPEPZlwWF",23,51
"Полёт 'космического Дракона' http://t.co/ElhFgsNy2V",27,49
"The 'Space Dragon's' flight http://t.co/lNX46GYcGH",212,348
"Two cargo ships: Russian and US http://t.co/PyrfXwxZ1x",170,220
"Два космических грузовика: российский и американский http://t.co/bg0xk873Qv",47,67
"The Dragon is getting ready for undocking by the Canadarm http://t.co/oUhGXQZXFv",20,76
"Манипулятор отпускает Dragon в обратный полет http://t.co/g2ZBegrfAf",23,41
"Сегодня Dragon возвращается на Землю. @AstroSamantha и Буч у дублирующей рабочей станции по управлению манипулятором http://t.co/a1J83zuixX",23,49
"@AstroSamantha и Буч у дублирующей рабочей станции по управлению канадским манипулятором.Dragon возвращается на Землю http://t.co/8DIRYzIg5T",19,40
"Мое первое видео с МКС// My first video from the ISS: http://t.co/3deWo5dfaU",45,70
"The #ISS over the Republic of #Mali, #Африка More pictyres in my Instagram account: http://t.co/4fzB4bOIiQ http://t.co/k87s4Blgeq",26,71
"Пролетаем над Республикой #Мали. #Африка #МКС Больше моих фотографий можно найти здесь: http://t.co/4fzB4bOIiQ http://t.co/9CY6TlbPFp",11,32
"The white dots in the blue water are a group of South Atlantic icebergs http://t.co/HPmk0W6qNi",91,137
"Видите белые точки? Так с высоты #МКС выглядит группа айсбергов на юге Атлантического океана http://t.co/8KJceDa677",34,42
"#Budapest often called the Pearl of the Danube. It's one of the world's most beautiful cities... even from space! http://t.co/YDo1Z3cUES",177,248
"Столицу Венгрии не зря называют 'жемчужиной Дуная'. #Будапешт -удивительно красивый город, это видно даже из космоса! http://t.co/kUJyF2onVp",27,60
"Для моей старшей дочери Кристины – студентки РГУ нефти и газа им. И.М. Губкина http://t.co/BZ5KDKHbc5",15,47
"It looks like I am a ghostbuster, but I am just working on scientific experiment 'Ecosphere' http://t.co/qLlnjR7R4y",106,246
"Может показаться, что я охочусь за привидениями, но нет - выполняю эксперимент Экосфера http://t.co/CZMhHzggs0",24,54
"Город Санкт-Петербург, но находится он не в России, а во Флориде, США // City of St. Petersburg, #Florida #USA http://t.co/Z1z0UZjcnB",55,85
"Как и обещал ребятам из детского центра #Орленок (лагерь Штормовой), открытку и гюйс взял с собой! http://t.co/k1qowFgeGC",25,52
"The ISS over Mauritania. Eye of the Sahara (The Richat Structure) is easy to see even from the space. http://t.co/cpxZU6VrmW",126,218
"Пролетаем над Мавританией. Глаз Сахары (структура Ришат) прекрасно виден из космоса http://t.co/2n8VsbUqp8",46,72
"View from a window of my cabin. That is my first #sunrise from today http://t.co/nfzjZVTqWR",344,541
"Вид из иллюминатора моей каюты. Первый рассвет за сегодняшний день http://t.co/2SaDohtXO0",87,81
"Amazing night view of #Mecca and #Medina from the #ISS http://t.co/gw4rxu73fq",6603,3420
"Удалось сфотографировать Мекку и Медину ночью. Удивительно красиво! #МКС #Мекка #Медина http://t.co/bBfFCPm9P2",82,81
"I am installing a new remote control for the Russian treadmill. http://t.co/pRPjQA1HHN",39,104
"Устанавливаю новый пульт управления для российской беговой дорожки. http://t.co/fBWEWFWcTc",21,30
"There is an example of area behind the panel in the Russian segment of the ISS. http://t.co/npdBTYeqTn",40,93
"Пример запанельного пространства в служебном модуле российского сегмента. http://t.co/u3E35BnlLw",18,29
"#Озеро Чад в центральной Африке // #Lake #Chad in central #Africa http://t.co/jTQLxSBMuE",40,95
"Вид на Землю через визир. Этот прибор может использоваться в нештатных ситуациях для управления станцией. http://t.co/eRmJAL8fhS",71,95
"View of the Earth from the optical sight. This device could be used in off-nominal situation to control the station. http://t.co/4MRUsjB1sD",406,373
"Над Европой сплошная облачность, принесшая обильные снегопады/Cloudiness above Europe, it brought powerful snowstorms http://t.co/HBcOC0zPuE",67,122
"I continue to cover a life on the ISS,we have opened the hatch of the Dragon http://t.co/VuZnEnb0mm http://t.co/kMyUpuKGo9",91,117
"Продолжаю освещать жизнь на МКС,открыли люк Дракона и начали разгрузку http://t.co/XO7T7DPw46, http://t.co/4fzB4cFvH2 http://t.co/JMJkI5iiDs",40,43
"Есть захват! // #Dragon has been captured by the #ISS #МКС http://t.co/7enLuaK8Yh",92,178
"Dragon успешно пристыковался к станции! +1 корабль в составе #МКС // #Dragon has successfully docked with the #ISS http://t.co/NHYtNjNkoD",138,175
"Дракон готовится к захвату манипулятором // #Dragon is getting ready to be captured http://t.co/3OD8OY3eC4",71,108
"Грузовой корабль Dragon причаливает к МКС // #Dragon is docking to the #ISS http://t.co/sGLSGWJTqh",136,193
"Город #Новороссийск на побережье Черного моря // #Novorossiysk city on the Black #Sea coast http://t.co/45mJvv4kU3",70,113
