tweet,retweetsCount,favoritesCount
"Have seen it w/ my own eyes, yet still amazed w/ every photo/video. “#Aurora drifts over a cold tundra.” #AstroButch https://t.co/vDFykc1Sqy",218,240
"Remembering #Columbia. “@AstroTerry: http://t.co/SEsCks4SY3”",62,113
"Ending the evening w/ inevitable awe, from friends on ISS... '@AstroSamantha: Good night from #space. http://t.co/j93cpqEp0D'",100,180
"Congrats @SpaceX @NASA teams on today's great capture of Dragon! @AstroTerry: #Dragon as viewed from #ISS-range 300m http://t.co/EJEnfc78Lp",35,81
"Cheers to our next lap around the sun. Happy New Year!! http://t.co/1DHJ6NDqPp",517,833
"@spasmunkey @JohnRSports I've been warned. But I think the 5 yr old will like them &amp; that's what matters.  =)",0,6
"Confession. Just watched Star Wars for 1st time. Late to game but happy to share it with the little guy! Moving on to Empire Strikes Back...",30,240
"Our little guy is having fun coloring this pic from @Commercial_Crew while singing 'Jingle Bells'! http://t.co/yLRT6bm2kY",18,62
"Happiness is a new puppy.  Meet Leo! http://t.co/MO3XxLp24U",40,254
"This captures the intensity of the sun from ISS. @AstroTerry: #Sunset on #ISS http://t.co/rFtYXxGNoM",71,120
"Wow!! @NASA: Here's Earth as seen from #Orion during flight out to a peak altitude of 3,600 miles away from planet. http://t.co/YUaKkvgJ63",201,234
"THAT was an awesome, beautiful launch! Another exciting 4.25 hours remain in this test flight. New era of space exploration! #Orion",128,184
"Let's do this! Liftoff -10 min. #Orion https://t.co/J9mkeE6W6p http://t.co/EwFR7ujTTj",75,100
"@sandcastler1 Suppose we could take the little guy, too?  =)",0,0
"@davidachristy Yes, on NASA TV. And you can watch here: http://t.co/bYWIXRYmkG",0,0
"Big day tomorrow! 1st test flight of new exploration spaceship #Orion. Launch 7:05 am EST. http://t.co/hXo6HHFgeF http://t.co/eg7at5L8kX",143,136
"U come to realize ur gazing down at every experience you've ever had &amp; everything you've ever loved. #simplygrateful http://t.co/p113p6CFQz",221,340
"Less than 2 hrs to launch of @AstroTerry @AntonAstrey &amp; @AstroSamantha on #Soyuz to #ISS 4:01 pm EST. Enjoy the ride! http://t.co/25oBETg5Sc",76,113
"@Astro_Flow @astro_g_dogg  Ha! You know me...",1,7
"@astro_luca @AstroSamantha Only speculating, but I bet it would make for great memories!  ;)",0,11
"Watching in anticipation for time delay confirmation of #CometLanding. Mind boggling! Go @ESA_Rosetta @Philae2014!! http://t.co/LI3jjH5CUt",51,87
"Hard to believe it's been a year since @astro_luca, Fyodor &amp; I left #ISS. Amazing experience &amp; memories! http://t.co/NgLCWj9z9y",48,190
"@sandcastler1 For me, descent!",0,0
"@mojobass14 I don't know! It's certainly a magical place.",0,0
"@DarylDownes After closing hatches to to ISS, they do leak checks of the hatches, and a few other tasks, before they can undock.",0,0
"@ChrisPeukertMN Yes it is!! I say it's 'cozy'.",0,1
"With their stay on #ISS complete, these 3 men coming home to Earth tonight! Landing 10:58 EST. http://t.co/mhobtAPIEC http://t.co/YvTWmZVNDA",81,119
"On planet Earth, we are all neighbors. #perspective http://t.co/WmdNkmZKWy",295,355
"Was fun &amp; uniting project! @SPACEdotcom: Astronaut's Sewn-in-Space Star Shines at Quilt Festival http://t.co/rNLPqVhi6c",10,17
"@astro_reid The moon caught me off guard when I first saw it after returning to Earth. It looked SO big!",25,92
"@Euver I do!!",1,5
"Was preparing to go home! @HumanoidHistory: #TodayinHistory: Astro Karen Nyberg enjoys Earth in Cupola of ISS 11-4-13 http://t.co/Z1FHhayeO7",87,172
"@sachi_bbsr @astro_reid For me was mixed feelings. VERY excited &amp; ready to go home to family. Sad to be leaving such amazing place. Surreal.",1,3
"Ahh. A great view to start the morning. @astro_reid: Sunset casts impossibly long shadows across Earth http://t.co/q0chsMAqFh",80,129
".@DiscoverMag: What it was like to capture the Hubble Space Telescope: http://t.co/7keBXWOzKB http://t.co/J99fNsrEma",25,36
"Enjoy the final road to launch!! @AstroTerry: L-3 weeks!!! http://t.co/YcXSSla82h",22,71
"RT @Chief_Astronaut: Did you know? 14 yrs ago today, crew arrived &amp; began our continuous human presence on #ISS: http://t.co/oIybvH0zgX htt…",189,0
"RT @Astro_Wheels: Our hearts go out to the @virgingalactic team and our dear friends in Mojave.  Those margins are so razor thin and so ter…",106,0
"@deJongDream @QuiltFestival He was very sweet! Nice to meet you all.",0,0
"Cool photobooth at #QuiltFestival! And some simply amazing quilts on dispay!! http://t.co/wuRzo1IW7o http://t.co/FMEihHl3UL",20,66
"Just one of 28 quilts made from blocks for #AstroBlockChallenge. Amazing international endeavor, like #ISS! http://t.co/lf5n58civP",46,105
"On my way! @QuiltFestival: The quiet before the storm...the first full day of #QuiltFestival starts at 10! http://t.co/DFtuUwZlmo",7,18
"@AstroKarenN ...and the artist behind it @reynadecourcy, just beautiful!",2,15
"LOVE this block submitted for #AstroBlockChallenge 'Portrait of the Astronaut as a Young Girl' http://t.co/oxYcNr9fbw http://t.co/TFuoB42KEP",113,181
"Great stories from around the world! @QuiltFestival: Look at some blocks we received for AstronomicalQuilts!Challenge http://t.co/oxYcNr9fbw",17,21
"And cool for us to meet you! @JocelyneUSA17: Got to meet astronaut @AstroKarenN &amp; husband who is also astronaut! http://t.co/659suscCR5",9,50
"Honored to drop the puck tonight for North Dakota hockey! @UNDMHockey @myUND http://t.co/ARTlS3ZJPQ",48,139
"Great day at @myUND engineering &amp; @UNDAerospace! Super work going on by students, including Lunar/Mars Analog Hab. http://t.co/w2ODqtDSiv",20,61
"Thanks Lucie from MN for making me smile when I opened my office mail today. Hope to see you in space some day!! http://t.co/iFEu9vMYjZ",21,117
"@jen_gupta That's cool! Glad we could join you.   =)",1,5
"Proud to be a Longhorn. Thanks for a great weekend @TexasExes @UTAustin. Hook 'em! http://t.co/hMdp6Zx8F9",51,199
"Truth. @astro_reid: There is no room with a finer view than the #Cupola on the #ISS http://t.co/c6N5waa64A",43,87
"Congrats #AstroButch, @astro_reid &amp; entire team on another successful #spacewalk! Not as easy as it looks! http://t.co/F1RPtnpRcp",49,114
"The women who inspired me to reach for my dreams on @PBS tonight at 9 pm EDT 'Women in Space' http://t.co/oASoZaR7aE #MAKERSfilms #NASA",31,53
"RT @RheaSeddon: Hope you'll join me as we 'tune in' to the MAKERS series on PBS 2morrow eve 8pm CST. Yours truly is part of the Women In Sp…",12,0
"Congrats @astro_luca, 11 months from living in space to IronMan completion!!  #IMKona #TeamAstro",24,80
"Congrats to Chris Cassidy on a great #IMKona finish!! #TeamAstro http://t.co/VolBlDqcL4",12,30
"Best of luck to my former crewmates Chris Cassidy &amp; @astro_luca in tomorrow's #IronmanTri! http://t.co/Od0SHpuOXz http://t.co/wo6uoYL8Lu",31,66
"Proud to be part of this international art endeavor! Have seen preview of final product--awesome! #StarQuilt http://t.co/AmRCZLovZK",6,28
"@DanSpace77 Thank you!",0,1
"Working outside #ISS right now, flying ~250 miles above surface of Earth, @astro_reid &amp; @Astro_Alex. Watch live: http://t.co/vRXtmmmEcX",33,51
"@Lysdexicia Try this http://t.co/vRXtmmmEcX",0,1
"Working outside #ISS right now, flying ~250 miles above surface of Earth, @astro_reid &amp; @Astro_Alex. Watch live: http://t.co/c1l9SAlONe",42,59
"Interesting history of modern tech. Via @nprnews: The Forgotten Female Programmers Who Created Modern Tech http://t.co/mydHJP6jvE",58,38
"Good stuff! @ISS_Research: To all those that #RaceForTheCure, we're running w/ u from space! http://t.co/jD8gtgo1NA http://t.co/S1H50qjw7S'",22,50
"Simplicity is the ultimate sophistication. --Leonardo da Vinci http://t.co/6E1wuH0Wj8",130,167
"@elf_herself @neiltyson I read about them! They're wonderful, aren't they? Certainly ambitious and bright.",0,0
"RT @neiltyson: I wonder how much talent has evaporated from the world, for lack of ambition to drive it.",7411,0
"#FF From the 1st group of US women astronauts, @RheaSeddon. #rolemodel",16,29
"Europe aglow! “@astro_reid: #Paris in the middle with #London on the horizon to the right. http://t.co/TwjJfWAqba”",144,162
"Be Inspired. Creative. Heard. Win $5000.  You have until Nov 15!  #spaceart #STEAM #hisachallenge @SpaceArtLPI http://t.co/OWKAe53REZ",54,59
"RT @HumanoidHistory: Astronaut Karen Nyberg at work in the Harmony node of the International #Space Station #onthisday in 2013. @NASA http:…",17,0
"Such incredible beauty out there! @astro_reid: #MilkyWay steals show from #Sahara sands that make #Earth glow orange. http://t.co/WarXFQ40xE",128,144
"Wishing a very Happy Birthday to @astro_luca!!",13,43
"*sigh* Oh so true! @astro_reid: What is the saying… a bad day of fishing beats a good day of work? Not here. http://t.co/3IlyzDKDN2",34,90
"Rocket launches--always exciting!! T-10 min to Soyuz TMA-14M liftoff taking Butch, Alex, &amp; Elena to #ISS. Watch http://t.co/ZMrmr4sg86",30,35
"RT @nasahqphoto: The #Exp41 #ISSCrew waves farewell as they prepare to board the #Soyuz rocket to launch https://t.co/BPDDWT9TgJ http://t.c…",402,0
"Very informative 11 min from @esa describing Soyuz launch. Great watch b4 2day's launch of Alexander, Elena &amp; Butch! http://t.co/9W1ZkIyFCe",28,45
