tweet,retweetsCount,favoritesCount
"Inspiring video with JFK's 'We Choose to go to the Moon' speech.   http://t.co/wsHyeGhxKT",60,74
"Here is a flyover starting at the Alps north of Italy and then we pass south covering the whole Italian Peninsula  https://t.co/aXGuWEZIOY",46,70
"Here we are explaining the suits and equipment the night before our Dec 2013 space walk.   https://t.co/UrcqfRV4O0",23,31
"The Nile river and its delta, the Red Sea and a close up of the Suez canal on a beautiful sunny day.  https://t.co/RhZaUK0DbU",36,52
"We captured, with the robotic arm, this Identified Flying object as it approached the Space Station!  https://t.co/1junuqT7z1",77,105
"A follow up to the Caribbean with some great Bahama shots.  Beautiful! https://t.co/Lmc3jHi2zZ",43,58
"Here is a peak of the most beautiful views from Station.  Bahamas, Turks &amp; Caicos, Dominican Republic, Puerto Rico. https://t.co/LDmfFGzHCh",28,54
"Expedition 38 Earth observation video highlights.  See what some of the world's cities look like from space! https://t.co/vLyJujuPcd",47,74
"Thanks to @astro_reid &amp; @Astro_Alex for putting away the failed pump that @AstroIllini and I removed in Dec.",22,47
"@astro_reid &amp; @Astro_Alex are depressing the airlock, will be starting space walk. I am following in mission control.",23,35
"Body restraint tether(BRT) is like an arm/hand. Here on my left holding device with the circle as I move around ISS. http://t.co/vWOsG9fN2k",55,99
"@KevinOConnorTOH @TomSilvaTOH Guys, On station we have every tool imaginable &amp; many you cannot imagine. Great job on the #whatisit",3,12
"New Ask This Old House episode with a segment from Space Station.  Check it out! @AskTOH @ThisOldHouse  http://t.co/6Et0PBabaq",13,22
"On my way back to houston after a wild reentry.  In Maine right now.",70,295
"Folks, my last tweet from space. Stay tuned for post flight fun. Check out @astro_reid and @Astro_Alex for some great space tweets soon!",185,384
"Congratulations to the 2014 UCONN School of Engineering graduates from the  International Space Station.",132,297
"My ride home sails over Italy. We will be using it Tuesday night! http://t.co/RAxrVyN0eY",531,635
"Check out live high def views live from station - http://t.co/mdVSUl9OWL - Here is the HDEV box with the cameras http://t.co/K1BO8eDD32",203,219
"This was my first time to see Denmark so clearly.  This picture looks like a map! http://t.co/LkW64WYLBY",360,560
