tweet,retweetsCount,favoritesCount
"RT @UHEngineering: Introducing Robonaut! He's quite the looker. #NASASocial #StateOfNASA http://t.co/vZNyknTtZy",45,0
"@UHEngineering Well of course I am! Thx for checking us out yesterday",0,0
"@garbski Thanks for the encouragement! It's a simple fix and I know my engineers will get me back in shape.",1,1
"My ground support team gathered data to get them aligned for next time. Looking forward to working with @AstroTerry again soon! (2/2)",24,28
"I didn't get to move my legs today. All arm &amp; leg joints must be healthy to run, and redundant sensors in my elbow weren't in sync. (1/2)",30,33
"RT @NASA: Today #NASARemembers those who gave their lives to push the boundaries of human achievement: http://t.co/NxJcEfQzJ5 http://t.co/j…",7165,0
"The software update was successful, now my ground team is making sure all of my arm and leg joints are healthy.",27,54
"And I'm powered up! My team in Houston is sending a software update to get ready for moving my legs in a few hours. Thanks @AstroTerry",29,43
"It feels great to stretch out my legs after a nap in my rack. Powering up soon.",17,23
"This morning, @AstroTerry is setting me up and powered on. Later he's going to help me check out safety features before I move!",11,18
"RT @AstroTerry: Unwrapping an early Christmas gift last week. @AstroRobonaut is my favorite action figure. #SpaceVine https://t.co/kNtYDaJI…",342,0
"RT @AstroTerry: I wonder what @AstroRobonaut is thinking, looking at me like that… http://t.co/zhSHvLHtNy",148,0
"RT @AntonAstrey: Встреча с Робонавтом спустя три года! // Meeting with @AstroRobonaut after three years! http://t.co/vg5jDyd5kM",97,0
"@AstroSamantha It's great to meet you and I'm looking forward to helping out around ISS soon!",8,20
"@RousMnss I can't take any pictures out the window just yet, but you should try the real-time video from HDEV: http://t.co/RIPXyPz7Wg",2,4
"This software update more accurately calculates forces, improves sensor data gathering, enhances gripper lock detection, and more! #r2moves",10,17
"@RousMnss good morning from the @Space_Station. We should be flying over you in a couple of orbits!",1,2
"Good morning! @AstroTerry is going to help me with a software update and a motor power checkout this morning.",12,15
"Thanks for stopping by at the @NASA_Johnson party, Santa! I hope I've been good this year. http://t.co/WeY43pXDxH",72,91
"RT @AMSISS: AMS reached 58,000,000,000 measured events today.",18,0
"RT @mtnorambuena: @AstroRobonaut I'm watching you! (?) http://t.co/wK4jZ1HqAS",9,0
"Up now, Drs. Dean and Dunkin are discussing the work we've been doing lately.",1,11
"I'm on for Dr. Ambrose's talk @PumpsAndPipes! http://t.co/CDEuhoEPMi",13,18
"Check out the webcast: http://t.co/NHjG31wBaF",5,5
"I'm up in the next hour @PumpsAndPipes! Join the webcast.",4,7
"RT @PumpsAndPipes: Join the Pumps and Pipes webcast #pnp8 #nasa #Exxon #houston #houstonmethodist http://t.co/NcHNleoVwM",4,0
"RT @Space_Station: #AstroButch and @AstroRobonaut are speaking at Pumps &amp; Pipes today. Watch the webcast: http://t.co/ctfjufTxeL #pnp8 http…",28,0
"RT @NASA: #Orion has initiated its return to Earth and completed a 10-second engine burn.   Watch: http://t.co/6XtjOi1yJo http://t.co/x3Le1…",1896,0
"RT @NASA: A perfect second stage burn, pushing #Orion toward an altitude of about 3,630 miles. Watch live coverage: http://t.co/6XtjOi1yJo",533,0
"@VialOfDreams you've got nothing to worry about. My team specifically had safety in mind while designing me to work with people.",0,1
"@VialOfDreams my team @NASA_Johnson built legs, but only for climbing inside ISS. Swanny installed them this summer! http://t.co/La0V6Ft3ML",8,10
"@VialOfDreams there are 8 of us Robonaut 2 units in existence, with one on the ISS.",1,1
"Today I'm using my dexterous hands in an experiment with surgical instrument trainers. http://t.co/mQeunJ4csD",72,71
"Today I'm at the @MethodistHosp Research Institute MITIE facility for some telemedicine experiments! http://t.co/U1mmloS0fZ",9,15
".@NASA_Johnson @NASA robots and astronauts alike will be watching #OrionEFT1 from up here on ISS! Go #Orion",16,13
"RT @NASA_Johnson: Tomorrow will be a 'Trial by Fire'. @NASA's newest spacecraft, #Orion, will launch into space for the first time. https:/…",116,0
".@HomeInMerstham longterm goal is to help out my astro friends like @AstroTerry @AstroSamantha on EVAs. Lots of work to prove myself first.",0,4
".@krueger_bonnie I have several checkouts of SW/HW coming up. Hoping to take first step inside ISS on one of those! Should be soon.",2,7
"RT @elakdawalla: Updated my #Hayabusa2 prelaunch post with links to live webcasts http://t.co/b9DinTHT3V (links via @PlanetaryRsrcs)",22,0
".@AstroTerry happy birthday, from your other crewmate. No need to save me any cake.",12,33
"RT @AstroTerry: a great way to celebrate my birthday, with this awesome crew http://t.co/MalA4UK93Y",307,0
"RT @AstroTerry: I can't believe it's only been 3 days- seems like 3 months @AntonAstrey @AstroSamantha http://t.co/Xpl6L7mBXQ",177,0
"I will be at @PumpsAndPipes conference on Dec 8-9 in Houston, TX. I will be showing off my telemedicine skills.",14,20
"RT @AstroSamantha: Amazing being in #space, better than anything I ever imagined. Saw my 1st sunrise from the Cupola today! #HelloEarth htt…",3359,0
"RT @esaoperations: The #Soyuz spacecraft is now 2 km from #ISS. Watch live: http://t.co/XWvNUTGDGO #Futura42 http://t.co/4Dk2JsojJ5",66,0
"@AstroTerry @AstroSamantha looking forward to your arrival and the Expedition 42 crew being all together on ISS!",7,2
"RT @NASA: #Soyuz safely in orbit, next stop #ISS at 9:53 p.m. EST",769,0
"RT @AgataClevenger: Hi @AstroRobonaut why the long face? http://t.co/n4clGUlcY0",13,0
"RT @astro_tim: One year from today, Yuri Malenchenko, Tim Peake, and I will launch out of Baikonur, Kazakhstan, as part of Expeditions 46 a…",36,0
".@astro_tim thanks for the follow! Looking forward to your visit to ISS next year!",3,5
"Practicing my telemedicine skills in our lab at JSC! http://t.co/dqLHf4KMf2",35,29
"@edvancise @Louiestowell thanks for the shout out!",0,4
".@NASA3DPrinter hello! Welcome aboard.",8,17
"RT @NASA: Follow the next astronauts to launch to @Space_Station on Nov. 23: @AstroTerry @AntonAstrey @AstroSamantha #FF http://t.co/JzUWka…",525,0
"RT @NASA: What happened This Week @NASA? Orion moved to launch pad, landing on a comet &amp; more! [video] http://t.co/qjtMVNU9h9 http://t.co/4…",244,0
"RT @Philae2014: I confirm that my @RosettaSD2 went all the way DOWN and UP again!! First comet drilling is a fact! :) http://t.co/eE3xL8CGk0",2200,0
"RT @AstroTerry: Nice panorama of the 'Cosmonaut Alley' where every person who has launched from Baikonur plants a tree http://t.co/1N3Q2oAk…",205,0
