tweet,retweetsCount,favoritesCount
"Good night from #space. Buona notte dallo spazio. http://t.co/viqYwJl1Gf",530,844
"How do you like #Chicago dressed for winter? Chicago abbigliata per l'inverno. http://t.co/uCyJ11NGMl",198,329
"Sometimes to look things #upsidedown is the only way to see them for what they really are.Happy birthday #Copernicus! http://t.co/ELyOEgfdpB",341,553
"Pssst, #SpaceInvader…These are the EMU suits for tomorrow’s spacewalk. Spooky eh? #space2iss http://t.co/mUnmXUQ9Z7",189,409
"#DontPanic;) MT @AstroTerry: “SAFER” VR sim- the jet pack we use to get back to ISS if we float away during spacewalk http://t.co/jNUP2HTwl1",124,259
"I laghi Victoria e Kyoga - sotto le nuvole, a Kasubi, ci sono le Tombe dei Re del Buganda, patrimonio #UNESCO #Uganda http://t.co/bn6GJXDRRL",117,277
"Lake Victoria &amp; L. Kyoga - under the clouds, the Tombs of Buganda Kings at Kasubi, a #WorldHeritage site. #Uganda http://t.co/H8F0TcMPiF",181,303
"The lovely Laguna de Términos on the Gulf of Mexico / (IT) La Laguna de Términos nel Golfo del Messico. #HelloEarth http://t.co/2lgamj7lf1",203,451
"MT @RikyUnreal: Moon and Italy rise together /(IT) L'Italia e la Luna sorgono insieme in questo timelapse dalla #ISS https://t.co/gfLrtRUxnj",348,421
"(IT) Ciao Normandia! Prima che arrivasse la neve, Rouen su una dolce ansa della Senna. http://t.co/Aokz6cCCHt",126,348
"Hello #Normandie. Before the snow came, Rouen on a lazy bend of the Seine river. #France http://t.co/2zqaDLvxR3",162,351
"Good night from #space. Buona notte dallo spazio. http://t.co/e9C9nsTblv",1638,3095
"@sonolucadini grazie! E soprattutto... #NientePanico ;)",12,46
"@sonolucadini Che ne dite di queste nuvole? Sembrano fatte di cotone! #twintervista http://t.co/FUBNx2K2vL",113,221
"@sonolucadini Il mio letto di sicuro! Mi dicono che tornare a “pesare” sia davvero stancante… #twintervista",22,56
"@sonolucadini Contano anche i numeri negativi come risposta ? ☺ #twintervista",16,47
"@sonolucadini Volare, volare, volare! Anche se quello che mi mancherà di più sarà la vista del mondo scorrere sotto di noi… #twintervista",30,56
"@sonolucadini Sicuramente frutta e verdure fresche! E sentire il vento o le mani in acqua corrente... cose molto ”terrestri”☺ #twintervista",22,54
"@sonolucadini Non ci sono momenti di noia, ci teniamo compagnia durante il lavoro e non… c’è sempre qualcuno che scherza! #twintervista",12,35
"@sonolucadini Rimpiazzare un componente  delicato di una tuta per le EVA, con piccolissimi pezzi che potevano fluttuare via! #twintervista",11,23
"@sonolucadini Qui la scelta è ampia, lo scorso venerdì ad esempio mi sono svegliata con Luce di Elisa. #twintervista",18,42
"@sonolucadini Ho Palomar, Pilote de Guerre e due libricini di G. Rodari... ma ammirare la vista dalla Cupola ha la meglio! #twintervista",19,49
"@sonolucadini Come tutti penso alla giornata che mi aspetta ma anche al privilegio di lavorare in un posto così speciale. #twintervista",15,40
"@sonolucadini É come sulla Terra, basta trovare il letto giusto… e quello volante che ho qui mi permette di dormire benissimo! #twintervista",19,35
"@sonolucadini Fluttuare mi diverte ma quello che mi lascia senza fiato é la bellezza sempre diversa del nostro pianeta. #twintervista",28,63
"@sonolucadini No: è per questo che ci addestriamo insieme ai Centri di Controllo a Terra. Niente Panico è il motto di tutti. #twintervista",11,27
"@sonolucadini In media vediamo 16 albe e tramonti facendo il “giro del mondo” in circa un’ora e mezza…altro che 80 giorni! #twintervista",66,119
"@sonolucadini Qui siamo un’ora indietro rispetto al fuso orario italiano dato che seguiamo l’ora di Greenwich o GMT. #twintervista",7,28
"Buon compleanno A.Volta!Alcune delle 'scatole' bianche che vedete sono batterie per la #ISS in caso di notte orbitale http://t.co/6GU7CtgWm6",204,471
"Happy BDay A. #Volta! Some of the white 'boxes' at the end of the truss are batteries, to power ISS at orbital night http://t.co/0pRaixPJLs",161,336
"'Da 'na creuza de çë' buon compleanno Fabrizio De André, le tue note qui con me... https://t.co/ESvI339OYe",240,416
"A chain of light crossing the forest in Northern #Brasil /(IT) Una catena di luce nel Nord del Brasile #HelloEarth http://t.co/ilxAWs7xht",224,477
"(IT) Un aurora in distanza e una  casa nello spazio da dove ammirarla. Se questa non è felicita... http://t.co/QIOsfYsL6U",434,892
"An #aurora in the distance and a home in #space from which to admire it. #PerfectHappiness http://t.co/bDc9NQeqx4",422,661
"(IT) Questa sera alle 20:15  domande e risposte dallo spazio con @sonolucadini e @VanityFairIt . #twintervista",73,186
"(IT) Foto di gruppo nell'#ATV5 prima di chiuderlo venerdì. Con il poco spazio rimasto farci stare tutti non è facile! http://t.co/FXPFssbfgp",118,379
"Group picture in #ATV5 before closing the hatch last Fr. Was hard to fit the 6 of us in the little space remaining! http://t.co/DBspOcuHtW",221,574
"Good night from #space. Buona notte dallo spazio. http://t.co/ErTPqFIYDV",1777,3218
"(IT) Salina, Lipari, Vulcano, Panarea... quasi l'unico pezzo d'Italia che faceva capolino tra le nuvole ieri. http://t.co/2Em6eHB5AQ",620,1068
"Here she comes! Progress #ISScargo craft a few meters from #ISS, she took the parking spot that #ATV5 freed up on Sat http://t.co/gwEYoFy7OM",423,741
"RT @Space_Station: Progress 58 #ISScargo craft docks to @Space_Station at 11:57am ET completing 4-orbit, near 6-hour trip after launch. htt…",217,0
"Leak check after hatch closing. Pressure gauge is connected to valve assembly &amp; a path can be opened to the vestibule http://t.co/59lnykuTb8",151,476
"@Fiorello Manca solo il velcro sui pantaloni :-)",29,163
"(IT) Ciao Etiopia! Uno sguardo indietro al Lago Tana, da dove ha inizio il Nilo Azzurro. http://t.co/DabqymIx8R",186,458
"Hello #Ethiopia! A glimpse back at Lake Tana, the source of the Blue Nile. http://t.co/FseDkdiJ77",185,391
"RT @NASA: #ISScargo Progress will deliver: 1,940 lbs propellant 110 lbs oxygen 926 lbs water 3,333 lbs parts &amp; experiment hardware to @Spac…",344,0
"(IT) Alla prima luce del Sole che sorge l'avamposto spaziale dell'Umanità emerge dal buio. http://t.co/xY0fTIMWPS",794,1237
"At the first light of the rising Sun humanity's outpost in space emerges from darkness. #HelloEarth http://t.co/qjrrnUUHjA",763,1071
"RT @AstroTerry: #AstroButch and I tried on our spacesuits during a 'dry run' today.  The real thing is scheduled for this Friday! http://t.…",252,0
"Good night from #space. Buona notte dallo spazio. http://t.co/FqfGFmu4h6",1956,3409
"Before closing the hatch we removed the 16 yellow clamps, which helped to keep #ATV5 rigidly attached to #ISS. http://t.co/5amRmgt4fu",132,397
"A look into #ATV5 just before hatch closing last week. In the center the active part of the Russian docking system. http://t.co/MhOtDhcwGK",199,484
"(IT) La città di Gonbad-e Kavus in #Iran. La torre omonima -  costruita nel 1006 d.C. - è patrimonio mondiale #UNESCO http://t.co/rIcoagLB7b",174,437
"The city of Gonbad-e Kavus in #Iran. The homonymous tower built in 1006 AD is a #WorldHeritage site. #UNESCO http://t.co/8eWX307CQJ",135,354
"(IT) Il fiume Orange nel suo percorso verso l'oceano - segna il confine tra Namibia e Sudafrica. http://t.co/ciIC2hP6rz",177,409
"Follow the Orange river into the ocean. It marks the border between #SouthAfrica and #Namibia. #HelloEarth http://t.co/00INRa64NQ",209,473
"RT @Outpost_42: Afterwards all that remained was for the astronauts to wave goodbye: farewell @esa #ATV5! http://t.co/Evz3KcG0Wl http://t.c…",44,0
"RT @Avamposto42: Né troppo né troppo poco: quando si tratta di nutrizione il giusto mezzo è quello che ci vuole!http://t.co/I5vtWXFUCm http…",94,0
"(IT) Pare anche a voi che la #Sicilia stia galleggiando in un mare di nuvole? http://t.co/b5E2E7omWo",735,1215
