tweet,retweetsCount,favoritesCount
"New #moon setting behind the Progress solar arrays http://t.co/vODQl7dmg3",351,613
"#SpaceCheeseburger.  Beef patties, Russian mustard, tomato paste, cheese paste, and tortilla. VERY TASTY! http://t.co/OrJ7Kqr3IW",339,533
"Murzuq Desert #Libya #Africa. http://t.co/YuEjMNZW3S",199,354
"Hazy desert sands fade into a crisp thin blue line. http://t.co/CQBnxJVsr4",147,291
"Amazing ice flows in the Eastern provinces of #Canada http://t.co/a9aK0nCodq",1221,1727
"“SAFER” virtual reality simulator- the jet pack we can use to get back to ISS if we floated away during a spacewalk. http://t.co/Fp2tiwzpqj",192,305
"This #cloud look like a #Piranha to me.  What do you see? http://t.co/NHSDKi2kSS",104,253
"Amazing how flat and smooth these #clouds are. http://t.co/TfCJWL9fID",369,696
"These #clouds formed an orderly line in their trek across the desert. http://t.co/5Dgn3QX8Ed",136,359
"#Clouds are fun to watch change shape from any angle. http://t.co/H7xDA0s5rV",218,431
"#TodaySunrise  Hopefully everybody in the #USA gets to enjoy a little #sunshine today or tomorrow! http://t.co/4yfAz7G9eU",1060,1707
"RT @AstroSamantha: Group picture in #ATV5 before closing the hatch last Fr. Was hard to fit the 6 of us in the little space remaining! http…",221,0
"Enormous #thunderstorm over the  jungles of #Africa. http://t.co/D4puRu3k28",376,676
"Sun glint on one of a thousand rivers in the heart of #Africa, this one in #Angola. http://t.co/v84FvNlIjN",298,582
"Periodic Fitness Evaluation- riding the bike with a heart rate monitor, EKG, and blood pressure machine hooked up http://t.co/m1EV8zGzlr",90,182
"Growing morning glory to learn how to better grow plants in space- next we will be growing rice http://t.co/yYiufpBAdE",951,1539
"RT @AstroSamantha: Here she comes! Progress #ISScargo craft a few meters from #ISS, she took the parking spot that #ATV5 freed up on Sat ht…",423,0
"#AstroButch and I tried on our spacesuits during a 'dry run' today.  The real thing is scheduled for this Friday! http://t.co/CnFRNJFRBe",252,622
"The Sun has set over central Russia with #Venus in close trail and #Moscow in the far distance http://t.co/gC1bV9sHT8",224,459
"Good morning!  #sunrise http://t.co/AjJmubq1xB",945,1591
"I think a lot of people on the east coast would like to be here this week. http://t.co/9PpF9W2GyD",848,1306
"The lastest view of #Neptune2015 over New England with #LongIsland and the Chesapeake Bay in the distance http://t.co/WWgB0udvEx",267,442
"Final view #ATV5 Georges Lemaître entering Earth's atmosphere. It was surprising to see how high the smoke trail was. http://t.co/gt6kiBqJSq",702,1225
"Northern Europe under a green electron cloud - Kaliningrad &amp; Gdansk in front, Copenhagen, Oslo, &amp; Stockholm in back http://t.co/uOlKVGBKzJ",626,787
"Corse, île de Beauté, ton soleil se couche sur ta nature indomptée http://t.co/ww5Cs0W4OD",422,521
"Bellissimi ricordi della Sardegna: il cibo squisito, il mare meraviglioso e la gentilezza delle persone! http://t.co/MNxqnnhpxl",290,425
"Another amazing #aurora North of #Moscow and St Petersburg - very green and bright http://t.co/P1X8dConNw",414,662
"Looking west over New England- at more snow and ice. Stay warm down there! #Neptune2015 http://t.co/8ypYB5sWfW",286,424
"#Neptune2015 wall of snow looks big, even from 250 miles away.  #SpaceVine timelapse https://t.co/cBbpOutoVv",427,511
"The extended version of the ATV timelapse can be seen on the #ISS Facebook page.  https://t.co/LB9xnO97rk http://t.co/W7n8Vv629c",84,140
"#ATV departing #ISS today- it looked like an 'X-wing fighter' leaving. #SpaceVine timelapse https://t.co/WjmdQ4pBAT",1026,1064
