tweet,retweetsCount,favoritesCount
"So werden unsere Aurora Photos aus dem Weltraum zu #Geophysik, um unseren Planeten besser zu verstehen http://t.co/M4sNrPbfui #BlueDot",26,71
"Here's how our aurora photos from space turn into #geophysics, helping to understand our #BlueDot http://t.co/M4sNrPbfui @astro_reid",67,105
"Dünen in der Sahara / Dunes in the #Sahara Desert. #BlueDot archive https://t.co/5PA8gpFM5d http://t.co/sN3HEW4QHS",90,239
"RT @ESA_de: Das #ATV5 ist in die Erdatmosphäre eingetreten. Die Kollegen im Kontrollzentrum in Toulouse winken  hinterher: http://t.co/APKj…",21,0
"RT @esaoperations: LOSS OF SIGNAL #LOS Contact with #ATV5 Georges Lemaître lost, as expected. It's all over #BigDive",108,0
"RT @Space_Station: 'ATV cargo vehicle released today! #SpaceVine timelapse of it departing Russian aft segment' #AstroButch https://t.co/fk…",210,0
"RT @ESA_de: Heute Abend um 19:14 Uhr könnt ihr #ISS und #ATV5 hell über dem #Ruhrgebiet vorüberziehen sehen. cc: @wdr @DerWesten http://t.c…",62,0
"RT @ESA_de: Das #ATV5 hat heute um 14:42 CET von der #ISS abgedockt. So sah @AstroSamantha den Raumtransporter http://t.co/BLeQp93Fxo",16,0
"RT @esa: So long #ATV5 - thanks for all the supplies http://t.co/ftwOapP2K8",24,98
"RT @esa: Its a day of breakups and makeups at ESA: we say farewell to #ATV5 and @ESA_Rosetta sneaks a kiss from the #comet  #ValentinesDay",26,79
"One of the most wonderful lakes on this planet - but really cold to swim in: #Baikal https://t.co/MMYV77lpTu http://t.co/MparUDU7ZQ",100,255
"RT @ESA_de: #Vega-Start erfolgreich, Flugbahn normal #IXV ist auf dem Weg http://t.co/aabLhCScy5",33,0
"RT @esa: Lift off for #Vega VV04 with #IXV at 14:40 CET ! http://t.co/j3j3MokxMI",56,114
"RT @esa: LIVE NOW: Follow the launch of #Vega VV04 with @ESA_IXV #IXV http://t.co/OJxhZCiYDh http://t.co/mNMt3Ej2rG",52,143
"ESA's @esa_ixv mission tomorrow will test new re-entry systems for human spaceflight: http://t.co/E8XA7FiHJ0 http://t.co/ecgjkqxnrF",84,106
"Die @esa_ixv Mission started am 11.02. u soll neue #Wiedereintrittssysteme testen, ggf auch für bemannte Flüge http://t.co/OmZVaHNd05",49,117
"Salt Lake City, Utah. Spent a whole day in an outdoor shop there... #BlueDot archive https://t.co/blO7T6G0jU http://t.co/AhcBOoOdx0",54,189
"My favourite space lab! #BlueDot archive https://t.co/ZMLU4cUDFH http://t.co/iYQjVl1EFV",63,193
"Der Schutz des #RaumschiffsErde ist essentiell. Eine gute Ausstellung dazu gibt's jetzt in Braunschweig: Planet 3.0 http://t.co/wUSkdTqnwQ",78,127
"Today in #Berlin: am very pleased that Angela #Merkel is enthusiastic about #space and #BlueDot http://t.co/xwgL3YVAuA",138,404
"Heute in Berlin: Freue mich sehr, dass sich Angela #Merkel für Raumfahrt &amp; #BlueDot begeistert! cc @RegSprecher http://t.co/YuaIDO9mFw",75,273
"Das #RaumschiffErde müssen wir behutsam behandeln. Da waren @sigmargabriel &amp; ich gestern absolut einig! Danke! http://t.co/fGc4GW8eYf",53,168
"Naples creeping up to a dark Vesuvius. Pompeii was located right where you see a sea of light now... #Italy http://t.co/OiHNQEUtih",241,398
"Der Vesuv, umringt von Neapel. Pompeij läge heute inmitten dieses Lichtermeers... https://t.co/jKnAHrbDs4 http://t.co/ydpotz3jit",84,245
"This week I am debriefing the #science done for #BlueDot. Details will follow! http://t.co/htjUAw9eNr",32,158
"Bin in diesen Wochen noch mitten in den wissenschaftl. Nachbereitungen meiner #BlueDot Mission. Details folgen! http://t.co/VU7ZPpC0f8",30,171
"RT @brigittezypries: Heute in Darmstadt: @Astro_Alex diskutiert mit 500 SchülerInnen die Raumfahrt. Vielleicht ist ja die übernächste Astro…",18,0
"RT @ESA_de: Volles, begeistertes Haus mit @Astro_Alex heute in der Edith-Stein-Schule in #Darmstadt ! #BlueDot #MINT http://t.co/bLxKaaVa7t",19,0
"Viel Spass gehabt &amp; gute Fragen zu #BlueDot heute mit 500 Schuelern in #Darmstadt ! Danke auch @brigittezypries ! http://t.co/rtCgtZT32p",51,262
"Addis Ababa is really hard to spot from above. #Ethiopia #BlueDot archive https://t.co/6A59cPIxAZ http://t.co/rYdO2Havyt",85,210
"A welcome travel companion. Noctilucent mesospheric clouds 85 km above the Arctic. #BlueDot https://t.co/zL02wMDc7z http://t.co/0M6wNc9C9n",159,307
"Treuer Begleiter. Nachtleuchtende Mesosphärenwolken über der Arktis, ca. 85 km hoch. https://t.co/qDveov8tIF http://t.co/4noiBDt3VH",75,220
"A fellow traveller, at 2% of #ISS altitude. #BlueDot archive https://t.co/Z79JbcieT6 http://t.co/glCVgL2IAo",235,481
"Roccamonfina, #Italy. #BlueDot archive https://t.co/XnSlttfAn5 http://t.co/hOtnUQJ2Xb",71,205
"Entering a #Soyuz landing module is a tight squeeze, that's safe to say. #throwbackthursday #BlueDot http://t.co/EredjSorjr",98,239
"Wolkenschatten / Cloud shadows #BlueDot archives https://t.co/rBWJAeJzyC http://t.co/nemTLjyLhU",101,270
"Und dazu hat es noch einen Riesenspass gemacht! ;) @DLR_next",9,75
"RT @DLR_next: Auch für #Schule geeignet: @Astro_Alex demonstriert schwerelose #Physik im Video http://t.co/1j4CaFTnTW #MINT #ISS http://t.c…",79,0
"Former Lake Chad. #BlueDot archive https://t.co/4Y1OmggFrl http://t.co/JQ41RfoBc3",86,213
"Unglaublich: dies war einmal der sechst größte See auf der Erde. Jetzt ist der Tschadsee eine Wüste. #BlueDot http://t.co/SugG5x6HcZ",149,260
"Wir hatten gute Zeiten, und ihr wart mit dabei! @lesmoureal @thomasdofficial @fantastische4",11,93
"Danke für ein fantastisches Konzert! War gut, euch unter Schwerkraftsbedingungen wieder zu sehen! @fantastische4 http://t.co/AFY4NurHH6",86,459
"The FGB module is #ISS's storage tunnel. I like it somehow. https://t.co/6T7Lmr3w4Y #BlueDot archive http://t.co/YR6ABvgg26",79,213
"European Alps. #BlueDot archive https://t.co/vDzJbazx1z http://t.co/qqGPUFt6LT",114,254
"Arizona / New Mexico desert. #BlueDot archive https://t.co/3HOwXNsvMu http://t.co/eV5RLOGmUO",135,363
"Gleich bei Bundespraesident #Gauck. Gebe zu bin etwas aufgeregt. Auf einen Weltraumausstieg fühle ich mich irgendwie besser vorbereitet! ;-)",101,543
".Astro_reid beim mixen eines Kolloid-Materialexperiments im Weltraum - für bessere Medikamente auf der Erde. http://t.co/XbTAd6smJo",36,164
".@astro_reid (still with hair) preparing an experiment investigating colloidals @iss_research. #BlueDot archive http://t.co/9d9TdHALro",41,155
"Tagebau in Süddeutschland / Surface mining in #Germany. #BlueDot archive https://t.co/5BOaOZrFIk http://t.co/WDKG1JIvex",92,237
"Little fluffy clouds above a still intact part of the Brazilian rain forest. #BlueDot archive https://t.co/oXtiaVDY3U http://t.co/vW71lZ6b49",115,322
"Imagine the glacier that formed this lake on #NewZealand's South Island. #BlueDot archive http://t.co/vb4MEjLMoS http://t.co/sx5emJ7ZCP",150,352
"GO! @SpaceX! “@NASA: ~T-11mins until @SpaceX #ISScargo launch: All teams poll 'go' for launch.http://t.co/hUJ4Jzz4sT http://t.co/unjbgL4wLl”",61,178
"A #4K timelapse showing our planet in motion, from my favourite Earth images during the #BlueDot mission. #UltraHD http://t.co/QNDhQLw3fc",667,804
"I wish all of you a merry Christmas! It was a wild year for me, thanks for joining me on this fascinating journey! http://t.co/mEbPikpbOZ",186,757
"Wünsche euch allen fröhliche Weihnachten! War ein wildes Jahr für mich, vielen Dank, dass ihr mit dabei wart! http://t.co/7A5BvANyZj",111,556
"Glad you share my love for clouds! MT @AstroSamantha: Can't get over my fascination with #clouds. #Futura42 http://t.co/CXSShZEO4Z",122,357
"RT @DLR_de: Welcome back @Astro_Alex - das Einspieler-Video von der Veranstaltung in der @bundeskunsthall: https://t.co/KLRKtGq11w (FW) #Bo…",43,0
"And one of these volcanoes lives right in the middle of Germany! @HdAnchiano",19,68
"Die Sterne blinken wild für ein paar Sekunden beim auf- und untergehen durch die Erdatmosphäre, am Firmament stehen sie still. @S_Kleindiek",18,99
"RT @earthskyscience: Moon rising, star falling over Myrtle Beach, South Carolina, by Matthew Trudeau Photography. http://t.co/IZCsljX7Cw",271,0
"RT @fka_roscosmos: We are glad to announce, that from today an English version of a web site is available in a test-mode by the link http:/…",155,0
"RT @DLR_next: Wiedereintritt aus Sicht der Astronauten http://t.co/uMIOOD8eev Spektakuläres #Orion-Video",58,0
"Wildfires in South America. #BlueDot archives https://t.co/QEVtN7VQnE http://t.co/3uMYisLK0D",62,221
"Erdbeobachtung von der #ISS aus: Feuer sind aus dem Weltraum sehr gut zu sehen. (Südamerika) https://t.co/QEVtN7VQnE http://t.co/pVduC0QXCQ",59,184
