tweet,retweetsCount,favoritesCount
"RT @WilksJeremy: Astronaut trainer Martina Pinni explains Columbus workings to @Astro_Andreas on @euronews Space Thurs 26.03 at 18.15 http:…",6,0
"RT @Soeren_Storm: @Astro_Andreas - Rumstationsmodellen: Den scrubber CO2 ud og danner oxygen med elektrolyse! Perfekt til to silkemus. http…",2,0
"RT @rumrejsen2015: Nice LEGO model of astronauts doing science on #ISS #rumrejsendk #iriss http://t.co/W5RgPoLGNF",2,0
"RT @rumrejsen2015: 120 kids ready to build LEGO Space stories @Astro_Andreas @ESA__Education  #rumrejsendk #iriss http://t.co/usogeq14kv",5,0
"RT @rumrejsen2015: 600 børn fortæller LEGO-rumhistorier i #NaturvidenskabernesHus - hør med på @P4vest om lidt #rumrejsendk #LEGOEducation",2,0
"RT @rumrejsen2015: Lyt med, når @Astro_Andreas er ugens gæst på lørdag på @P1radio kl. 12.15 #rumrejsendk http://t.co/2EEAqS4ZS1",2,0
"RT @rumrejsen2015: Hør Carsten Jørgensen fra @Terma_Global fortælle om dansk rumindustri på #BrorfeldeObservatoriet i dag kl. 15 http://t.c…",4,0
"RT @rumrejsen2015: Er du i Kbh er denne forestilling en stor oplevelse for store og små med nysgerrighed på Universet #kosmos+  https://t.c…",2,0
"RT @HubbleTelescope: Here we see #Europa #Callisto and #Io passing in front of #Jupiter, along with their shadows! #HubbleHangout http://t.…",351,0
"RT @PoulDesign: So excited! Just got my @Astro_Andreas @esa @Space_Station patch! Get yours at http://t.co/HpjBjIfmjm http://t.co/WlZm9kIXrj",5,0
"@Thom_astro Is that in this decade?",0,10
"Få inspiration til dig eget rumforskningsforsøg og se nogle af de fantastiske ideer vi har modtaget http://t.co/E1ICQfSLPU #iriss",3,4
"RT @rumrejsen2015: Bliv rumforsker i #NaturvidenskabernesHus og design et forsøg som @Astro_Andreas kan lave på #ISS @DRViden http://t.co/M…",1,0
"@anodecage Jeg tror i uge 12",0,1
"Husk der er masser af rumfartsaktiviteter i vinterferien RT @DRViden: Leg med rumforsøg i vinterferien http://t.co/tbdOgMtgoq",2,3
"God start på vinterferien med besøg på Planetariet, Brorfelde Observatorium, Steno Museet og Kosmos+ show fra @hotelproforma #iriss",1,4
"RT @rumrejsen2015: Et fyldt Søauditorium på Aarhus Uni hører @Astro_Andreas fortælle om sin mission #rumrejsendk #iriss http://t.co/DXtd8gb…",3,0
"RT @rumrejsen2015: Fuldt hus på #StenoMuseet, hvor @Astro_Andreas fortæller om sin rummission #rumrejsendk #iriss http://t.co/8nJwJ0wNPG",4,0
"På vej til Steno Museet nu! MT @rumrejsen2015: Masser af muligheder for at blive klogere på rummet i vinterferien http://t.co/kGhmprdJBw",5,5
"Spændende dag på Brorfelde Observatorium igår. Teleskoper, glade børn og LEGO #IRISS astronauten fik en rumstation. http://t.co/Ch5GYcW88b",5,17
"RT @kokkegaard: @Astro_Andreas leder efter et rumeksperiment. Se nogle af forslagene her og find selv få et 🚀 http://t.co/7a55C94WKW” http:…",1,0
"På vej til Brorfelde Observatorium for at tale rumfart og bygge rumstationer med LEGO http://t.co/PKaDYcz5oZ http://t.co/IerbJBvrzH #iriss",7,8
"RT @Soeren_Storm: Missede du interviewet med Andreas Mogensen i DR´s koncertsal? Så kan det stadig ses her http://t.co/3Rol2ovU1n  @Astro_A…",2,0
"Glæder mig! RT @Soeren_Storm: Så er der fuldt booket på søndag i Sø-auditoriet ved Stenomuseet i Aarhus til interview med @Astro_Andreas",3,0
"@Edo_Leonardi Yes, he will have the new record",0,2
"RT @DTUtweet: Den 5. marts er der Åbent Hus på DTU. Kom og se, hvordan Ingeniører bliver til https://t.co/APEIPCH5wg",7,0
"More from Star City. Final Soyuz training with Gennady Padalka. Next time we see each other will be in space https://t.co/0gNxkFwI90 #iriss",36,58
"Ny udstilling 'Space Mission' åbner i Planetariet på fredag. Masser af aktiviteter i vinterferien http://t.co/1yGNusbGAA",1,1
"@Thom_astro It's my 'exasperated-with-your-tomfoolery' look",0,10
"@GeertRteW Sergey Volkov will replace Gennady Padalka, who is launching in March. Gennady will return with me and Sarah",2,2
"@RealCraigLefler @SarahBrightman I think it was the crew of Space Shuttle Discovery (STS-128) in 2009 with @ESA astronaut @CFuglesang",2,3
"7 months today until our launch to ISS with Sergey Volkov and @SarahBrightman http://t.co/cmKxSt76if",47,130
"RT @DRViden: 12 videnskabsbilleder fra ugen der gik http://t.co/O4EKykf9T3",2,0
"RT @elizastro: @Astro_Andreas Andreas, did you know that there's an awesome board game about #Mars raising funds on Indiegogo? https://t.co…",1,0
"RT @DRViden: VIDEO Man smutter ikke lige ned i en rumdragt ... http://t.co/p2Jphuukhp",1,0
"Check out this week's video diary from Star City, featuring the Russian Sokol spacesuit http://t.co/sbU1NxfZUL #iriss",36,52
"RT @astronerd: @rumrejsen2015 @Astro_andreas @SDUlibrary har I set at vores fire flotte rumfilm er på #SDU Space: http://t.co/77uU8qPgnt? #…",3,0
"RT @hotelproforma: Tjek det nye tema om Rummet på http://t.co/WOoWIkfPYy, hvor du også kan læse om KOSMOS+ #dkvid #kosmosplus http://t.co/s…",7,0
"RT @Planetariet: Om mindre end 2 uger åbner den nye udstilling Space Mission. Vil du være en af de første til at opleve den? http://t.co/a9…",2,0
"@Teufelskoeche It's connected to 1 year mission of @StationCDRKelly. Need to switch Soyuz spacecraft after 6 months",0,0
"@mariiabennett Yes, it's on top of my list of priorities ;-)",0,1
"RT @michaelshermer: Lawrence Krauss @LKrauss1 refutes WSJ OpEd that science makes case for God. It doesn't. Quite the opposite in fact. htt…",234,0
"Heading to Star City for Soyuz training this week. Hope to meet my crew mate @SarahBrightman #iriss",34,56
"Looking forward to the show! MT @hotelproforma: @Astro_Andreas visits @hotelproforma's KOSMOS+ http://t.co/hdqvhAwYuq http://t.co/lXEzh6UZL0",8,24
"A #FF for Danish-speakers interested in following outreach activities related to my upcoming #ISS mission @rumrejsen2015 #ffdk #iriss",4,9
"@juhljr Jeg er ikke sikker men det er et godt gæt.",0,0
"RT @DTUtweet: DTU-rapport: Danmark har brug for egne satellitter i Arktis | Ingeniøren http://t.co/8L2lUF9537 via @ingdk",3,0
"Pretty cool picture MT @esa_ixv: .@esa #ixv filling completed! http://t.co/jpuI9xqQXA",6,21
"RT @videnskabdk: Kan man egentlig 'svømme' ude i rummet? http://t.co/cv7zB6lu1I",2,0
"@AndyGrantham Yes the Gmail address",0,0
"@AndyGrantham Yes, if it's lightweight and I can bring it in my personal items. What have you got?",0,1
"Flere rumfartsaktiviteter i vinterferien! MT @AUAlumni: Kom på 'Tur i Rummet' &amp; mød @Astro_Andreas på Stenomuseet! http://t.co/QtOSwYI3hK",3,4
"Masser af rumfartsaktiviteter i vinterferien, bla. på Brorfelde Observatorium, hvor jeg kigger forbi d. 7/02 http://t.co/TtCKJTIcmK",2,5
"Wow! Can't wait for 2nd attempt. RT @SpaceX: Close, but no cigar. This time. https://t.co/XhAiJxBdSp",14,27
"RT @DRViden: Forsvundet landingsmodul fundet på Mars efter 11 år http://t.co/ylz9Hp1y9E",1,0
"RT @rumrejsen2015: Fortæl en historie med LEGO om #iriss missionen og vind besøg af  @Astro_Andreas på skolen http://t.co/UHRV0UuaeO #skole…",1,0
"RT @elonmusk: @ID_AA_Carmack Rocket hits hard at ~45 deg angle, smashing legs and engine section http://t.co/PnzHHluJfG",1009,0
"Gonna get me one! MT @ESA_History: #iriss mission patch now available from http://t.co/JyKpRi84NH #spacepatches http://t.co/447Y78DLlX",10,36
"@Veryoldforest Enten mit Halda Space Discovery, Werenbach Cosmonaut, eller ESA's nye Omega Speedmaster http://t.co/Jds1GajaRO",0,0
"@Veryoldforest Jeg er desværre begrænset til 1.5 kg personligt grej som jeg må medbringe. Det bliver svært :-(",0,0
"Now open! RT @esa: 2nd space #Robotics challenge for schools opens today with @astro_andreas http://t.co/m68Lth8v26 https://t.co/8o0kCIyhXN",0,5
"RT @esa: Still a chance to join in our #dropyourthesis 2015 student campaign - deadline 1 Feb http://t.co/4ZUv4QwVIZ https://t.co/Q0yFL9y2IT",12,0
"RT @rumrejsen2015: Mød @Astro_Andreas på #stenomuseet og @aarhusuni i vinterferien http://t.co/9tv3DVNQsM",3,0
"RT @elonmusk: Didn't get good landing/impact video. Pitch dark and foggy. Will piece it together from telemetry and ... actual pieces.",2448,0
"RT @elonmusk: Rocket made it to drone spaceport ship, but landed hard. Close, but no cigar this time. Bodes well for the future tho.",7545,0
"@astro_timpeake @wiskow_julie @Thom_astro Is this the world-famous British wit?",4,13
"Er dit nytårsforsæt at blive klogere i 2015? Vin&amp;Videnskab er et godt sted at starte. Jeg deltager 19. marts http://t.co/9hFydHD5Xz",0,4
"Læs mere om @SpaceX raketopsendelsen i dag og forsøget med at lande på et skib http://t.co/s9B7XWWLWe via @KvonBengtson",3,5
"RT @astrosmoelf: Raketlanding til søs på en drone-rumhavn?! Nej, det er ikke science fiction! @SpaceX vil gøre forsøget i morgen (6/1) kl. …",4,0
"@SpaceKate @timmermansr The rocket is from LEGO set 40103. Don't know if #iriss astronaut will be made available to public.",1,7
"Wishing everyone a great 2015! Less than 8 months until launch. Lots of training left #iriss http://t.co/iLqvKGgS2x",33,74
"RT @rumrejsen2015: Spændende artikel på @ingdk om de mange danske rumfartsvirksomheder http://t.co/R3voaevqHc",4,0
"Godt Nytårsforsæt RT @DRViden: Mangler du et mål i 2015? Tag med Andreas ud i rummet http://t.co/HUfWRjG7xd",3,9
"RT @DRViden: Er julen i fare på rumstationen 400 km oppe i rummet? http://t.co/1bNILYwiGE",3,0
"Check out this cool video from @PoulDesign about inspiration behind @ESA #IRISS mission patch http://t.co/lfe0GkpjMH",6,8
"Se videoen fra i fredags MT @kokkegaard: @Astro_Andreas fortæller om sin rumrejse til 1000 elever i @Koncerthuset http://t.co/LkklMvVNXx",1,3
"RT @rumrejsen2015: Har du skrevet SRP om rummet? Så deltag i @UngeForskere og vind møde med DKs første astronaut @Astro_Andreas http://t.co…",3,0
"RT @DRViden: VIDEO Dansk astronaut om rummad: Det er faktisk ikke så slemt http://t.co/lZd8nzJA2s",2,0
"@Elze_beth @rumrejsen2015 Glæder mig til at se hvilke gode ideer de finder på!",0,2
"RT @GrandsireESA: If U want 2 watch again this unique event #ISS1year feat. @StationCDRKelly @Astro_Andreas @Astro_Soichi @Astro_Jeremy htt…",27,0
"RT @rumrejsen2015: Du kan foreslå dit eget eksperiment, som @Astro_Andreas skal udføre på ISS. Læs mere på http://t.co/a9xcGuW8Mw #rumrejse…",2,0
"Kom også med din egen ide! RT @DRViden: VIDEO Skal dette elevforsøg med dansk astronaut ud i rummet? http://t.co/TnMvwZn2JR",1,3
"Glæder mig til juleafslutning om @rumrejsen2015 i dag kl. 10 i DR Koncerthus sammen med 1200 elever. Følg med live på http://t.co/4mXclwsFdN",4,7
