tweet,retweetsCount,favoritesCount
"RT @AstroGingerSnap: You all and every one who contributes to @SpaceWalkofFame are the future of the space program and the future of #STEM.…",8,0
"Fun gathering of former Apollo/shuttle astronauts at a dinner supporting and promoting space exploration and STEM. http://t.co/meXLuq1PpM",10,20
"Great getting together for dinner with a majority of our STS-134 crew. Hard to get everyone together in one city! http://t.co/Rm0DaunTok",10,21
"RT @Astro_Flow: “@Astro_Box: Appreciate Leland Melvin  @ISS_CASIS STEM summit. Thx!http://t.co/MIl86wR89U” Box It was great to work w/ the …",8,0
"Appreciate Leland Melvin @Astro_Flow at the @ISS_CASIS STEM summit. He wowed the crowd today! Thanks!!! http://t.co/8wqHb3gue8",3,8
"Final countdown has started!",21,11
"A photo taken 15 min prior to planned launch time of EFT-1. Nice gathering of former shuttle crew mates and trainer. http://t.co/SkAc6EXFi8",26,26
"RT @spacechelle: It's a STS-134 crew reunion here at the #Orion #EFT1 launch! @Astro_Box @ShuttleCDRKelly http://t.co/oBDzmBiAG2",25,0
"On hold again with 3:43 left on the clock. 'Not a show stopper' was announced. http://t.co/ckn9m5bpn0",11,8
"Roberto Vittori and Cady Coleman posing at EFT-1 launch. Launch time has now been slipped to 7:17 am EST. http://t.co/bgLfPY8jxK",11,18
"RT @Astro_Cady: .@Astro_Box -- there is something special about launching from KSC &amp; something awesome about a new spaceship.  Go #Orion!",7,0
"Excitement in the humid night air here in Cape Canaveral S of EFT-1 launch pad. I've run into Don Pettit, Pam Melroy &amp; Jeanette Epps already",4,13
"Never know who you'll meet on an airplane. Had a very interesting conversation with Hall of Famer @davewinfieldhof . http://t.co/NQYWFL9olO",2,11
"At the Museum of Flight in Seattle last week. A group of former astronauts posing with UW student Taylor 'TV' Vance. http://t.co/ucvl0Z902S",3,10
"Congrats to @esa and the entire international team supporting the @ESA_Rosetta mission! Timed perfectly during #SciWk2014 here in Ireland.",9,13
"RT @BBCBreaking: 'Philae is talking to us... We are on the comet' - Esa confirms Rosetta #cometlanding achieved http://t.co/SKHIcOkjKP http…",5047,0
"Interesting &amp; fun radio interview with @_RyanTubridy in Dublin. It's #SciWk2014 in Ireland. Listen to @Tubridy2FM! http://t.co/zvE7HZIoCX",4,7
"RT @NASA_Langley: Reminded again of what all test pilots face while trying to make life better for all of us. Our thoughts are with our #sp…",32,0
"RT @NASA: Russian #ISScargo ship will orbit Earth 4x on way to 9:09amET docking. Watch from 8:30am ET at http://t.co/5zlXroPSMN http://t.co…",370,0
"RT @NASA: If you missed the news conference following the @OrbitalSciences launch mishap, you can watch it here now: http://t.co/rieJhmNF5G",397,0
"RT @Space_Station: 'Today's launch attempt will not deter us from our work...to launch cargo from American shores.' Full NASA statement htt…",59,0
"Although this image is magnified, the crystals are easily seen with the naked eye. Some are over 6 mm³ in volume. http://t.co/xKo3ONYoRH",0,4
"Dr Ng's ISS research results from SpaceX 4 return last Saturday are extraordinary!  Extremely large protein crystals! http://t.co/ThmAIpB2Ll",3,3
"Dr. Joseph Ng, from the University of Alabama at Huntsville, is a very excited ISS researcher supported by CASIS!! http://t.co/PLWYBLzaBu",1,4
"Buckhorn Exchange in Denver. Eclectic atmosphere w R &amp; D reps from various industries discussing ISS research &amp; tech. http://t.co/qBnP56SOmi",2,3
"Group photo of reps from Teledyne Brown, NASA, &amp; CASIS. MUSES EO platform is behind Gen Abrahamson (3rd from right). http://t.co/ABYHmSeRMk",1,6
"Congrats to commercial crew winners: Boeing and Space X!!! Looking forward to launching astronauts from US soil to the #ISS in a few years!",9,3
"#ARK2 is loaded w #ISS research! Check out this video that highlights CASIS-sponsored research set to launch to #ISS: http://t.co/a2AjCEGyg1",3,3
"I'm very proud of our CASIS team &amp; partnership with @cobragolf on sending commercial research to the #ISS. Go #ARK2! http://t.co/JWw4oGNFg9",1,3
"Great to see the #Exp40 crew landed safely last night. #Exp40 supported important @ISS_Research. Great job Swanny, Alexander, and @OlegMKS!!",6,7
"Who was flying jet when you guys took this photo? 'I'll be your wingman anytime, Mikey!' @foreman_mike @Astro_Wheels http://t.co/LL8DcEni1n",8,11
"RT @ISS_CASIS: Thanks Josh! RT @JoshLevs: @ISS_CASIS Happy Bday!",5,0
"Nice afternoon w Cobra Puma Golf team and Curtis Thompson @bombsquad_lsu in San Diego. He's a great golfer &amp; coach! http://t.co/trM3vzHuYr",3,8
"Accept @BobPhilionCPG #ALSIceBucketChallenge @Astro_Flow, @spacechelle from @HigherOrbits, &amp; Patrick from @ISS_CASIS https://t.co/Hx1PpUlSwo",2,4
"This is a few moments ago after the I accepted the ALS ice bucket challenge from @BobPhilionCPG . Video forthcoming. http://t.co/6oZM0MXHfD",1,8
"RT @BobPhilionCPG: Thanks @golfpigeon for #ALSIceBucketChallenge nomination. I nominate @ToddLewisGC @Buck &amp; @Astro_Box. You have 24hrs! ht…",10,0
"RT @Chief_Astronaut: #myfirstflight w/@Astro_Box @foreman_mike @astro_g_dogg! MT @NASA: for #NationalAviationDay! http://t.co/XkSDPzqzqF ht…",24,0
"RT @stem_fan: Astronaut Selfie. ... join the fun with Zero Robotics next summer. http://t.co/I8BLRS1SUY",4,0
"ZR 2014 was successful, in part, due to support across US. Thanks to Bob Cabana, KSC Director, for help w FL group! http://t.co/CtyZWj851K",7,16
"The Zero Robotics middle school competition is just starting on the International Space Station!!!  Off we go! http://t.co/PLaS8qZz2K",7,6
"Our CASIS team is here at the Space Station Processing Facility (KSC) supporting the Zero Robotics competition 2014!! http://t.co/rpByo2Mpyf",6,10
"RT @spacechelle: Selfie with @Astro_Box - hard to believe I've known this guy nearly 14 years! Great 2 see great friends at #aiaaSpace http…",2,0
"Had a nice phone call today w Reid 'Tonto' Wiseman from the International Space Station. We talked about ISS science &amp; what he's been up to.",1,9
"RT @Astro_Nicole: .“@FragileOasis: Men on the Moon 20 July 1969. #Apollo45. #DareMightyThings http://t.co/Knt3gq9HqJ”",65,0
"With RedSox fan on anniv of 1st lunar ldg. CASIS partners w Red Sox Foundation to promote STEM. Neil A was hero to me http://t.co/7u0kSOkYIe",8,7
"Suni Williams finishing  the 10K 'Run to the moon' in Wapakoneta, OH: Neil Armstrong's boyhood hometown. http://t.co/9JY7TwhRue",17,23
"RT @Chief_Astronaut: Spent time tonight w/classmate @astro_ron &amp; crewmate @astro_box. Thanks for the memories!  Good luck in your new endea…",4,0
"RT @astro_reid: Our orbit is almost parallel to the terminator so it is daylight with a low sun angle 24 hrs a day now on the #ISS. http://…",493,0
"Beautiful Ohio rainbow. Doug Wheelock &amp; I at Nat'l Museum of the USAF in Dayton Ohio. MCing IMAX showing of Gravity. http://t.co/MP6gkTGNi1",12,18
"RT @NASA: The space station crew doubles tonight. Did you know you can see it fly over at night? http://t.co/wioEDeQ1NM   http://t.co/6Wx3C…",497,0
"@ISS_CASIS: @ISS_Research   Proud of CASIS COO Duane Ratliff who represented CASIS live on NASA TV!  https://t.co/ANEJ2GaxGX",0,0
"@ISS_CASIS: @ISS_Research check out the video https://t.co/ANEJ2GaxGX",0,0
"RT @ISS_CASIS: Read our featured blog post by @Astro_Box that discusses 'How a @NASA Initiative is Advancing the CASIS Mission' http://t.co…",33,0
"Ran into Bjarni Tryggvason at the USA  Science &amp; Engineering Festival in DC this weekend. He flew on STS -85. http://t.co/BbVcSJwkiM",3,7
"Congratulations to the @SpaceX and @ISS_CASIS teams for a successful launch today at the cape!",8,13
"http://t.co/Kkm7Oa1y0b. @emilychangtv &amp; I had an interesting discussion about @ISS_CASIS research, space travel, &amp; space commercialization.",2,0
