tweet,retweetsCount,favoritesCount
"RT @Astro_Flow: “@edutopia: They go together like peanut butter and jelly. https://t.co/EWRIeGSBTR”. Or like Rockets and Space. 🚀🌠. #STEAM",5,0
"@AnnaleeGilbert Still living in Houston sorry.",0,0
"@AstroGingerSnap Sure 'Snap!'",0,1
"@Ascii211 72degrees F",0,0
"@Brettdolan24 @brianmctaggart Hope you are well my friend!",0,0
"@Ascii211 outside temp range: ~ 300 deg F to -250 deg F.  Try Wikipedia for better numbers",0,0
"RT @AstronautAbby: @Astro_Clay wow I made your best RT list. Honored :)",1,0
"@crocodilekatie @CamillaSpace @romeoch Must be the work of aliens!!",0,0
"Standing 'O' for TX legend and Baylor Coach Grant Teaff! http://t.co/TnfooahqzF",2,0
"RT @roam2me: For Jeopardy to Git R Done right, the answer should be in Scarlet and Cream!  GBR @Astro_Clay @GitRDoneLarry  http://t.co/WQQR…",1,0
"W/NFL's Colt McCoy @TX Coaches Leadership Summit.  Did discuss UT/NU Big 12 Championship game yrs back. #StillBummed http://t.co/wrkH7EUEvX",0,2
"RT @InspowerBooks: You cannot escape the responsibility of tomorrow by evading it today. -Abraham Lincoln",51,0
"RT @TITUSSPORTSMKTG: Pastor Derwin Gray: 'We need a new kind of leader in this new kind of world.' @THSCAcoaches @DerwinLGray http://t.co/s…",2,0
"My best RTs this week came from: @AstronautAbby @Space_Lectures @ZARD2627 #thankSAll via http://t.co/7evv9ckCaN http://t.co/6Uw460UXSz",2,4
"RT @crocodilekatie: Squawk!!! @CamillaSpace @Astro_Clay @romeoch http://t.co/RqgkEsQNT1",3,0
"RT @NASAhistory: Astronomer Nicolaus Copernicus would be glad to hear Earth has orbited the Sun 542 times since his #birthday in 1473 http:…",115,0
"How I did on Twitter this week: 106 New Followers, 39 Mentions, 86.2K Mention Reach. How'd your week go? via http://t.co/IB19JNmbC7",0,1
"I am enjoying my '15 minutes of fame!'  ;0) http://t.co/oUtIsNi9gu",2,4
"@Liamsdad I'm sure  @GitRDoneLarry would agree that we are honored and consider it a privilege to represent Nebraska!  #GBR",1,1
"RT @Liamsdad: @GitRDoneLarry @Astro_Clay thanks to both of you for all you do and your support of the #Cornhusker state. #Nebraska.",1,0
"RT @GitRDoneLarry: @Astro_Clay that's the daily double.",2,0
"@GitRDoneLarry It's on my 'To do' list pardoner!  See you soon I hope!",0,0
"@GitRDoneLarry 'What is, Astronaut Clayton Anderson's shout when he finally got a bolt to engage during a spacewalk on STS-131?'",0,2
"RT @Space_Lectures: The different types of suits worn by astronauts and cosmonauts -  via @fcain http://t.co/VClDcX0AmW http://t.co/OKPnasG…",170,0
"“I just met @DerwinLGray Former NFL player, now Pastor and Author! So cool. http://t.co/LQ2b5xSFS1”",1,6
"RT @jdunnspacelaser: @Astro_Clay @NASA some guy that has a book coming out. That picture is so good it might be on a shirt.",1,0
"I love retirement!  Keynoting tomorrow for TX Coaches Association Leadership Summit, San Antonio. http://t.co/fRuC9oUl9I",2,14
"@AnkurDev1 2024 is current plan u believe.",0,0
"@InspowerBooks And an ear!?",0,0
"@astro_aggie @sciencemuseummn Finally!  A true XL HUT!",0,2
"RT @CycloneFB: ISU's Demond Tucker (@Tha_blessed_kid) is ready to make an impact on defense. #CyclONEnation http://t.co/opDbSXycOO http://t…",6,0
"“@Astro_TJ: Space Historians: 85 years ago today, Pluto discovered by Clyde W. Tombaugh of Lowell Observatory, Flagstaff AZ.” Planet baby!!!",4,3
"RT @NASA: We've got 3 upcoming spacewalks! Learn about them today at 2pm ET on NASA TV: http://t.co/TZKSZN8lbU Q? Use #askNASA http://t.co/…",698,0
"@NASA Nice pic!  Who do you suppose that is?!",2,6
"@WhyWaitRQ I didn't have the 'funds' to go my own route w/self-publishing/managers, etc.  Too new at the game.",0,0
"@MAbufalgha @NASA Busy building the ISS for research that will aid all human kind.  Next up?  Maybe the moon or on to Mars. Stay tuned!",1,2
"A great friend of mine, and a true, proud American.  We have had many serious discussions about the 'state of our... http://t.co/42jxErvLm2",0,0
"@WhyWaitRQ Thanks!  Since it's Mardi Gras, I figured 'why wait!'  Like how I did that?!",0,1
"@WhyWaitRQ Since I was a 'virgin' and lucky enough to get offer frm @UnivNebPress I went with experience.",0,0
"@JTonQ Oh.... 30000 or so!",0,0
"@Astro_Clay Not sure why the pics didn't show the first time.  Sorry Twitterverse! http://t.co/sjYBriow1I",6,13
"@JTonQ @FauxPelini Standing by to vote!  #GEAUXFORFAUX",0,1
"@JTonQ @FauxPelini I support 'The Faux!'",0,1
"Tomorrow is another travel day.  This time I'm off to San Antonio, Texas to speak to the Texas High School... http://t.co/sv5EMQ00lF",1,3
"Hope you are enjoying 'Fat Tuesday' in anticipation of the Lenten season.  Enjoy these shots of NOLA!",2,6
"@FlutterBec Received... response in work.",0,1
"If you have anything to do with Hastings College, my alma mater, please take a moment or two to check out the... http://t.co/DG4Wb2w7cI",3,6
"RT @IASTATEAD: Oyster To Lead Football Strength And Conditioning http://t.co/jr73gu3O1T",3,0
