tweet,retweetsCount,favoritesCount
"Order of Canada Appointments Congratulations @Cmdr_Hadfield ! http://t.co/PE0BW8e5ud",33,56
"@NicolasGagnon14 Entre ces deux diplômes j'ai travaillé comme ingénieur biomédical. De retour aux études je suis passé directement au PhD.",0,1
"@publidipa Canadian fashion!",0,1
"@csa_asc @St_RoseofLima I certainly enjoyed it! Great questions from the kids!",0,3
"@jmm_1233 funny ;)",0,0
"@jonathandifeo @rowingcanada No, but rowing has been part of my life for over 20 years!",0,1
"@TheraVolc @csa_asc Thanks!",0,0
"Happy 50th birthday, Canadian flag! #Flag50 http://t.co/7xiQclsqFu http://t.co/21gqy7s1tj",17,30
"Earlier this morning - perfect rowing conditions! http://t.co/mRm0jyzHMJ",8,40
"Friendly reminder on the back wall of a training room at JSC ;) http://t.co/WvUw2FKlr6",7,9
"Fun poster for upcoming ISS Expedition 45 ;) http://t.co/xdgEHLyVcm",18,23
"At 28000ft over northwest Texas, a land peppered with bright dots: oil well sites! http://t.co/n4sJ8z62O4",15,21
"Amazing visionaire! http://t.co/VyVJm2dLq7",46,48
"“@mattcollins26: @Astro_DavidS upward!” ;)",1,2
"@Jamba1971 That's right, into the wind! As flight instructors like to say: eat the carrot from the small end!",0,1
"@raconteur Sure",0,1
"T38 flight training this morning... what direction should we take-off? http://t.co/7qEaNemunl",7,15
"@raconteur Writing is certainly among the top genius ideas of the human mind!",0,3
"I love this quote from astronomer Carl Sagan. http://t.co/6frpglNX4e",73,84
"RT @NASAexplores: Today we honor the legacy of those who gave their lives to push the boundaries of space exploration. #NASARemembers http:…",170,0
"RT @AstroTerry: #EarthArt  So much water in this New Guinea rainforest, I’ve never seen anything like this! http://t.co/bfnoRAIYuL",843,0
"RT @ISS_Research: The @csa_asc technology of Dextre &amp; Canadarm goes beyond @ISS_Research to help sick children: http://t.co/Kc2OpVoYD8 http…",58,0
"RT @AuCanada: La technologie spatiale canadienne vient en aide aux enfants malades @asc_csa #KidsArm http://t.co/k1h1iALhGb",10,0
"RT @asc_csa: Aurores boréales depuis l'ISS. “@FragileOasis: Shooting the curl of a solar storm #Aurora #ISS http://t.co/VYhxReC40f”",48,0
"RT @ISS_Research: .@csa_asc robotics featured in this @CNN @drsanjaygupta #VitalSigns segment: http://t.co/CrAhBznyv7 #OffTheEarthForTheEar…",22,0
"RT @Space_Station: .@drsanjaygupta came to @NASA_Johnson to learn about staying healthy &amp; fit on #ISS. Via @cnni: http://t.co/3tDi1td0WG ht…",145,0
"@Wartbergswoody @csa_asc @CSA_MRichard I wish!",0,2
"Avancée en chirurgie pour enfants: un robot inspiré de la technologie spatiale canadienne! https://t.co/yNwJt3CfxO",7,4
"@CSA_MRichard Indeed! On console at the heart of human space flight - seven  beautiful sunrises and sunsets on ISS ;) http://t.co/0k9b0FPryP",14,17
"T38 Flight training - beautiful cloud layer above! http://t.co/i8r9eX4cwz",19,30
"SpaceX missed attempt at landing a rocket back to Earth on an unmanned barge. Almost! Tough engineering challenge! https://t.co/rjVEzNL99S",89,73
"RT @NASA: After false alarm evaluation, @Space_Station managers allow crew back in US segment. Details: https://t.co/exboMmW7vn http://t.co…",916,0
"@briner_b Medical exam 'VO2 Max', measures cardio-respiratory efficiency at maximal exertion on a stationary bicycle.",0,1
"@othilierozotte @csa_asc Effectivement, difficile de faire la conversation!",0,1
"RT @csa_asc: .@cmdr_hadfield explains how astronauts train for possible emergencies like the one from this morning (video): http://t.co/BOy…",33,0
"RT @asc_csa: .@cmdr_hadfield explique comment les astronautes se préparent pour des urgences comme celles de ce matin (vidéo) : http://t.co…",5,0
"RT @NASA: Recap: #ISS crew inside Russian segment after a coolant pressure alarm. No signs of a leak. Controllers are assessing. 11 a.m. ES…",826,0
"Annual fitness test - huff and puff! http://t.co/xdLDHD4VxP",10,37
"@sooze393 Yes, they do.",0,0
"@publidipa Grazie!",1,0
"@or_Maggie Merci Mag!",0,1
"@Shorty_9_Lovett Thanks!",0,2
"@LAismylady @csa_asc thanks!",0,2
"@icelady2910 спасибо!",0,1
"@profesor_seldon @csa_asc gracias!",0,1
"@Astro_Clay @csa_asc One year younger in spirit ;)",0,5
"@TuckerXS thanks!",0,0
"Time for my annual medical checkup - ouch! http://t.co/7QmlCCNeAz",6,22
"RT @AstroKarenN: Cheers to our next lap around the sun. Happy New Year!! http://t.co/1DHJ6NDqPp",517,0
"@icelady2910 Отлично!",1,2
"#HappyNewYear ! #bonneannee2015 !",18,30
"RT @ObservingSpace: Northern lights over Carcross, #Yukon, #Canada  Credit: W. Roberts http://t.co/tSmfsXCxQH #aurora http://t.co/KMRqWqBVIk",96,0
"RT @Cmdr_Hadfield: Into the final bits of 2014. Here are 12 interesting images of what we did and saw in space exploration, from @BBC:  htt…",233,0
"@publidipa Pour Noël oui, mais pas pour le Jour de l'an.",0,2
"@publidipa Où j'étais, environ 4h.",0,2
"@publidipa Au déjà du cercle polaire, zéro!",0,2
"Clear day over the Canadian Arctic - as seen by @AstroTerry onboard ISS http://t.co/W85XFV54XF",212,353
"@AstroSamantha @csa_asc Up North in Canadian Arctic: lone Inuit dogsled rider seen from my kitchen window. http://t.co/GFUGXDr0DQ",35,64
"@b74_maxoo https://t.co/CDHPe7XEON",0,2
"RT @AstroNutRayB: @Astro_DavidS Merry cosmic-Christmas David from the AstroNuts kids space club! Thanks for the inspiration! http://t.co/sK…",5,0
"@b74_maxoo J'ai été recruté en 2009 par l'Agence spatiale canadienne, après un appel publique de candidatures, et beaucoup de tests!",1,2
"Merry Christmas! Make kids happy today!",9,36
"Joyeux Noël! Pensons aux enfants aujourd'hui!",6,12
