tweet,retweetsCount,favoritesCount
"RT @SirPatStew: I narrated a film called Journey To Space. For those with the courage to travel to space, it would be marvelous. http://t.c…",504,0
"RT @Commercial_Crew: New crew access tower groundbreaking ceremony Feb. 20 for @BoeingDefense's CST-100. http://t.co/fBfwko7QvG http://t.co…",78,0
"52nd successful Atlas 5! Awesome launch last night! Look for for the first Atlas crewed launch in over 50 years....in 2017.",10,13
"Cool! 'Journey To Space' 2015 movie trailer: http://t.co/5Hf0QffGnq",19,24
"RT @jts3dfilm: Final voice over session w astronaut Chris Ferguson @Astro_Ferg #journeytospace #orion #spaceshuttle #atlantis #NASA http://…",9,0
"A resounding 'well done!' to the Delta/Orion team for what appears to be a great test mission. Mars awaits (but the Moon is in the way).",18,23
"'Orion...The biggest countdown since July 2011' Fingers crossed for good weather and a successful mission tomorrow.",18,27
"Speaking of space....The Atlantic Innovation summit-- Dubai. Amazing city. http://t.co/fj2NSMdJSP",7,16
"Great news for the future of human spaceflight today.  Proud to be selected to return Americans to the ISS on a Boeing spacecraft!",39,38
"@DanSpace77 @NASA Thanks @danspace77!",1,1
"Cast &amp; crew of IMAX 'Journey to Space' (2015) @BigelowSpace with mockup of massive inflatable spacecraft. http://t.co/c4mYcTCQNH",44,46
"Almost there.... http://t.co/IFStbLWBDg",9,19
"'Independence' ready to be lifted onto Boeing shuttle carrier for permanent display http://t.co/e1H4k2jMSE",8,15
"RT @projmgr: .@Astro_Ferg Sure was! On this day 3 years ago we watched #STS135 launch from Rocket Garden http://t.co/AWCRi1pCMp",4,0
"@GabrielleNYC Cool!!!",0,0
"@PlanetDr Cool!!!",0,2
"RT @BoeingDefense: The challenges of tomorrow’s space voyages drive innovation, improving life as we know it. Let’s Go… Beyond Earth: http:…",33,0
"Three years ago today. Were you there? http://t.co/gZngtFzkrg",18,31
"The old Shuttle 'Engine Shop' looks great...converted to an assembly facility (for the CST-100). New life for KSC. http://t.co/UxOOaQjZ1p",38,33
"Thx for questions. Proud to be part of #Boeing CST-100 team...building it better. #spacechat",5,6
"Outlook for human spaceflight very bright. Excited to bring business back to US. Not just for astronauts...but for business. #spacechat",9,9
"Best space movies: 1. Apollo13 2. Gravity 3. Right Stuff. Cant wait for WB ' Interstellar' @warnerbrosent #spacechat",7,14
"Sleeping in space...no sore back. Its awesome!  Need sleeping bag to keep from from floating around. #spacechat",10,6
"...and Samsung mobile in space will be just plain cool! #spacechat",3,1
"Use of Samsung mobile onboard will be used for checklists, on-board camera viewing, and social comm. #spacechat",5,4
"Favorite part of space flight by far is looking at earth...no borders #spacechat",12,16
"Civilian orbital space travel can happen on a US spacecraft as early as 2018 #spacechat",16,7
"We should explore where ever we have found water. Mars and the Moon are great places to start. #spacechat",7,8
"Commercial transportation to ISS will cost less allowing NASA to focus on exploration beyond LEO",4,7
"Flying CST-100 just like shuttle. Same type of trans and rotational controllers. #spacechat",4,8
"Answers for Tweet Chat will be provided @Astro_Ferg #spacechat",0,1
"For tweet chat, ask questions @BoeingDefense #spacechat",0,1
"Join me for a live chat Tues 1p ET/11a MDT to talk future of commercial space. Submit your Q’s &amp; follow using #spacechat @BoeingDefense.",4,7
"Flying first class....to space. This is what it might look like. Boeing Builds it Better. http://t.co/X4xV6CfiP6",13,26
"Boeing 747 Shuttle Carrier makes final trip...over land...to Space Center Houston, to begin 2nd life...in education http://t.co/UPrutwllb7",28,29
"My awesome Omega watch keeps mission time and has been running since STS -135 launch. Well it stopped today......at 1000 days. Wow!",9,23
"Making IMAX Journey to Space. In theaters next year. http://t.co/gIdR9ualHG",57,56
"@emily_murphyghs In a heartbeat!",0,0
"@VarsityQbghs I would say.... it was just a matter of time. It's a big universe.",0,1
"@LukeWesleyPrice Yes Luke, it's fantastic. Proudly displayed in my Boeing office where we're designing the next crewed vehicle to go to ISS.",2,6
"@LukeWesleyPrice Thanks Luke. Hard to believe its been 2 1/2 yrs. Proud to display it. Boeing Co., 13100 Space Center Blvd, Houston 77059",0,2
"@Astro_Jose Jose, I have a friend looking for a speaker in Paraguay on Mar 20. Interested?reply to Chris.j.ferguson1@gmail.com",0,1
"@CoolAstronomer Hi Derrick. Tomorrow at about 5pm ok? Reply at: chris.j.ferguson1@gmail.com",0,1
"Making 'Journey to Space'. Coming next year to an IMAX theater near you. http://t.co/0rlbqM8x3r",14,19
"RT @Commercial_Crew: Former astro @BoeingDefense’s Chris Ferguson flies on-orbit, docking and entry scenarios in the CST-100 simulator. htt…",46,0
"@LittleNightHawk Of course!",0,0
"@brettmandel @NASA_Wallops Excellent investment!",0,0
"@Francis_LYF good choice, Francis. Good luck!",0,0
"My former ship, USS Forrestal waits to become scrap. Pic taken on Philly trip. Cool...but sad. USS Kennedy on right http://t.co/rByP7a56hA",23,26
"Nice job by Rick and Hopper so far on ISS EVA24 to replace large (800+ lb) pump module. Wish we could bring this broken one home too.",6,10
"Let's all help CJ, age: 6, realize his dream to be an astronaut. Sign the petition http://t.co/ZGui3zETwI @ericredsand #saveNASA",12,8
"@mlaurentKIS Absolutely! Even gravitational force exists in space...it's just balanced by centrifugal force of our orbit around earth.",1,0
"RT @Commercial_Crew: @Boeing engineers get a feel for flying the  CST-100 in the Boeing Engineer Simulator. #AmericanMade http://t.co/zm46i…",14,0
"@serenity_astra That's the Hollywood part...:-)",0,0
"Gravity....wow! The fidelity of the Shuttle and ISS was incredible. The story was classic Hollywood, but the realism of the scenes....great.",35,22
"Always thinking about how living in space helps us on Earth...Boeing: Efficiency In Space: http://t.co/xDqrJIX3qi via @youtube",7,4
"Amazing 'guts' view of an iconic plane. Shuttle carrier (NASA905) soon starts its new life at Space Center Houston http://t.co/C9PY0YLaLK",43,27
"The team building Boeing's contender for America's next ride to space welcomed NASA administrator Charlie Bolden. http://t.co/XJGNZALhej",5,5
"At Oshkosh with Chris Hadfield, and the Charlies (Duke and Precourt). Hadfield even  gets ME excited about space! http://t.co/VzbqQJsRXv",19,20
"The future of human space flight? The Boeing team--working hard to make it happen...for this country. http://t.co/Y3yxQ2tdUG",23,17
"@Zach121k Awesome!",0,0
"Two years ago--to the day....thanks to all the well-wishers. But I'm ready to have OUR space back....again.",24,24
"An amazing exhibit.....Atlantis comes full circle. Still keeping the dream alive! http://t.co/HgFs2cO3jl",32,30
"Great time with an enthusiastic crowd at NSS this weekend...they ARE keeping the dream alive!",2,7
"Spent a great time with the 'NASA Johnson style' cast. @ortegastephania @jennylyn310 @simtraks http://t.co/3O0KuBNB",22,13
"Remembering Rick, Willie, Mike, Laurel, KC, Dave, and Ilan on this day. While 10 years have passed, the memories are as vivid as yesterday's",21,13
"@trevorsimpkins Hopefully they're taking good care of her.",1,1
"From @Astro_Ferg and the rest Boeing team who are keeping the dream alive, all the best for a happy and healthy 2013.",13,4
"@amy_roadtrip Hope you're well. All the best for a great Xmas!",0,0
"RT @Boldly_Going: @Astro_Ferg Checkout NASA JSC Co-op Student's video featuring several guest astronauts! Seriously nailed it!! http://t ...",5,0
"@NASAWatch ...I wish",0,0
"And another view...at the KSC visitor's center.  It will be a spectacular display http://t.co/oB1OShSg",6,5
"So where is Atlantis today?...Wrapped for Xmas in her new home. http://t.co/D4Zjm9J9",11,9
"Retro space....A day at the office didn't get any better than this... http://t.co/VydQszNp",34,15
"We owe a debt of thanks to the men and women who protect and serve us. Thank a Soldier, Sailor, Airman or Marine on this Veteran's day.",17,5
"Great to see Atlantis again! Soon at KSC...a display fitting of a great shuttle. Thx for the http://t.co/XSv8AKV3 chat! http://t.co/vFa5Fx1s",17,6
"RT @SpaceUpHOU: Today at 2:45 PM central time join a live chat with @Astro_Ferg by @boeing on http://t.co/fW1QGNwT http://t.co/INWwdR44",2,0
"@kelannmcd Hi Nathan....You're actually a lot more handsome than the real thing!",1,1
