tweet,retweetsCount,favoritesCount
"“@edutopia: They go together like peanut butter and jelly. https://t.co/EWRIeGSBTR”. Or like Rockets and Space. 🚀🌠. #STEAM",5,7
"RT @ISS_CASIS: .@AstroTerry and #AstroButch prep for tomorrow's #spacewalk. Read the latest details here: http://t.co/XdNZXLK3ei http://t.c…",35,0
"RT @googlescifair: In case you missed it... Watch the kickoff Hangout for #GSF2015 ! http://t.co/FSC6n6GaZo Then go register at http://t.co…",7,0
"RT @MelanieAnnS: Immune Defense, a strategic molecular fantasy game (Accurate to the molecule) @DawnMGibson @AstroKatie @Astro_Flow  http:/…",2,0
"RT @AmericaSpace: NASA’s Orion most successful spacecraft testflight. Only minor items didn’t work as planned in otherwise great flight htt…",6,0
"RT @IntelEDU: This is what the future of #STEM looks like: http://t.co/bICWGLYUou (via @lifehacker @andyorin) #IntelSTS #howwework http://t…",18,0
"RT @akcdoglovers: Have a new puppy or an older dog that is wary of strangers? Find out how to socialize your pup. http://t.co/toXh57HBfm",5,0
"RT @IntrepidMuseum: On the main stage right now at #KidsWeek: @Amelia__Earhart talks about her namesake, the original Amelia Earhart! http:…",8,0
"RT @ZimEzumah: @Astro_Flow FYI: @NYUrbanLeague just released a great resource for parents of color seeking info about STEM: http://t.co/omf…",2,0
"RT @STEMConnector: Art McCoy, @Mind_Research: How Math &amp; Mentoring Can Help Equip Young African-American Males for the Future http://t.co/b…",4,0
"RT @STEMConnector: Today's 100 Diverse Leader in #STEM: Anne Roby- Senior VP of @PraxairInc http://t.co/YihnkRUMq8 #100STEMLeaders",5,0
"RT @STEMConnector: Today our #STEMHigherEd Council release a book 'Advancing a Jobs-Driven Economy' - A Call to Action for Partnerships! ht…",5,0
"RT @sroakes: Just launched! #IdeaNosh podcast w/ astronaut @astro_flow on @SoundCloud, @YouTube, @libsyn, @itunes soon! https://t.co/PswbAc…",3,0
"RT @Wonderopolis: RT @Shaagjr: Story on getting your children thinking on snow days using Wonderopolis -  http://t.co/x3jZmlBJZM",2,0
"“@iScienceLuvr: glad you liked it @iCatLuvr is happy 😀👍” I was so impressed when she sang at CG. Such a beautiful voice. Big thanks Tiara!🚀🎤",0,4
"“@iScienceLuvr: Tiara @iCatLuvr  &amp; I wish u a Happy belated B'day. Hope you like this video! https://t.co/EX9AHh0hy2” Thank u. So Beautiful🚀",2,3
"RT @edutopia: How Maker Culture Builds Stronger Learning Communities: http://t.co/6SAPbEgNV7 via @suzieboss http://t.co/GJZJOarkCM",84,0
"RT @AstroTerry: Periodic Fitness Evaluation- riding the bike with a heart rate monitor, EKG, and blood pressure machine hooked up http://t.…",90,0
"“@Epic_Tweets31: @Astro_Flow @lifetimetv Is the answer B? If I'm wrong please don't put me on blast.”👍",0,1
"“@FlutterBec: @Astro_Flow @lifetimetv Is your show available in the UK? Would love to see it 😁🙋” There is a UK version however sans Flow. 🚀",1,2
"We will test our #ChildGenius kids on Inventions &amp; Literature &amp; Arts. Watch @lifetimetv to see who makes the finals.🚀 http://t.co/zVMC1UfP4g",12,18
