tweet,retweetsCount,favoritesCount
"今日は英語でのビデオメッセージの収録を行いました。日本語と違って簡単にはいきませんね。でも、自分で撮影したので、何回失敗しても他の方へは迷惑がかからず、気楽に収録できました。ただ、確認して頂き、OKが頂けるまではドキドキです。私には訓練の方が、簡単に思えます(笑)。",19,45
"先程のツイッターが、記念すべき2000ツイート目でしたね(笑)。私は1ツイートで、100文字以上書くことが多いので、既に20万文字程書いた事になります。ちょうど、本1冊ぐらいの文字数ですね。少しづつでも、毎日の積み重ねがあれば、きっと大きな事が成し遂げられると信じています！",46,116
"マニュアルドッキングの訓練でも、一部通常よりかなり難しい状況で訓練しました。困難な訓練をした後、実際の試験と同様の状況を与えられると、とても簡単に感じます。厳しい訓練をして頂けるのは、本当に有難い！また、訓練後に厳しい教官から「よくやったな！」と笑顔で言われると少し嬉しいですね。",38,79
"ソユーズでの帰還の訓練。多くの不具合が発生する中、クルーで素早く対応出来たと思います。訓練はそれで終わりと思いきや… 教官「よし、キミヤ。コマンダーが居ない状況で緊急帰還の訓練だ！」 私「了解！緊急帰還準備。ページは○」 教官「手順書を見ないでやってくれ」 私「⁉(厳しい〜)」",61,98
"素晴らしい環境で生活し、訓練出来る事に本当に感謝しています。そして、私の周りには素晴らしい家族、仲間や友人達がいて、私を支えてくれます。ツイッターのフォロアーの皆さんも私に励ましの言葉を送って下さいます。「こんなに恵まれていて、良いのだろうか？」と時々不安になってしまいます…",32,87
"Это было очень приятное время! Вы - мой хороший друг и преподаватель русского языка! Давайте еще! http://t.co/7bYFjmy0wO",18,63
"お友達と待ち合わせをして、一緒に遊びました。その後は、家にお邪魔しての昼食。家族のお友達と認めて頂いた様子で、とても光栄です！ロシアの家庭料理はとても美味しいですよ！Спасибо за замечательное время! http://t.co/dEuRFIIzu3",28,66
"日本はもう夕方ですね。昨日は、モスクワの教会へ行きました。教会の中は、静かで美しい上に、賛美歌を歌う方々もいて、この世のものとは思えない美しさでした。しっかりと心の洗濯をして、星の街へ戻りました。今日は約束があるので、これから行ってきます！多分結果をご報告する頃、日本は深夜です。",26,72
"モスクワへ行ってきます！はい！お散歩するために！いつもは、そのままモスクワに宿泊するのですが、今日は星の街に戻ります。理由は…明日のツイッターを楽しみにしていて下さい！私も明日が楽しみです(笑)！皆さんの週末は如何ですか?バレンタインデーですから、特別な予定がある方もいるのでは？",24,66
"大西さんが米国に戻る前日に一緒に映画を観ました。私は号泣して、評価は4.7でしたが、大西さんにとっては良い場面もあったが、全般にイマイチだった様です…芸術の評価は、人によって異なって当たり前ですよね。でも最近は、真実でさえ人の観点の違いで、見え方が変わるような気がしています。",31,82
"今週最後の訓練は、ソユーズのシミュレータでした。軌道投入直後に急減圧が発生し、緊急帰還するというシナリオでした。訓練の後で、私達のポスターが日本で話題になっている事を話すと、皆とても嬉しそうでした。私のこだわりの構え、如何でしたか？ http://t.co/nbRryg1KNl",124,142
"散歩していると、お孫さんを連れている女性から「シャッターを押して貰って良いですか？」と頼まれました。少し雑談をしているうちに、私が宇宙飛行士であると気づき、今度は私の写真を撮っていきました(笑)。「絶対応援するわね！」と寒いロシアで、あたたかいお言葉を頂きました。",89,160
"ISSで火災が発生した場合の対応と消火が成功しなかった場合にソユーズで緊急帰還する場合のシミュレーター訓練を行いました。バックアップクルーの際に既に訓練していましたから、クルーで協力しながら、スムーズに対応できました。厳しい訓練を繰り返す事で、チームワークも向上しています！",29,58
"星の街で3人の日本人が同時に訓練を受けている事は珍しいかもしれませんね。ロシア語の先生から伺ったのですが、高松さん @Cosmo_Takamatsu のロシア語の先生は、英語を話さないとの事…流石に最初からロシア語だけでの授業は厳しいのでは？と思ってしまいました。頑張って下さい！",31,52
"ソユーズの手動ドッキングの訓練をしました。訓練の間隔が2ヶ月以上あいてしまいましたので、若干感覚が鈍った感じがします。でも、訓練の結果、取り戻せたと思います！訓練の合間にもロシアの方々と雑談をして、ロシア語のスキルも取り戻していますよ！言葉と文化を知っていると生活も快適です！",34,68
"無事に星の街に到着しました。早速月曜日から訓練が開始されます。アメリカからロシアへ移動する場合は、通常土曜日出発、日曜日到着、月曜日訓練開始となる上に、私の場合は東へ向かって移動する方が時差ぼけが厳しいので大変です！でも、ロシアは大好きですから、苦にはならないですよ！",53,97
"細かい事務的な仕事も「いつでも出来るから」などと思って後回しにしていると、溜まってきて結構大変になってしまいますね。少し、反省しています。さて、今日はいよいよロシアへ出発です。ロシアでは自炊ですから、現地で手に入れにくい食材も持って行きます。お友達へのお土産も持ちました(笑)。",31,81
"今日は、主にロボットアームの訓練がありました。今回の米国での訓練は今日が最終日で、明日はミーティングや各種事務手続きを行う予定です。そして、土曜日にはロシアへ出発！約2ヶ月ぶりのロシアでの訓練も、予定は盛り沢山でとても忙しくなりそうです。でも、とても楽しみにしています！",32,62
"NBL(巨大なプールの中)で船外活動の訓練を行いました。今日は、HTV(こうのとり)で不具合が発生し、船外活動が必要になった場合を想定しての訓練でした。日本実験棟「きぼう」やHTVの実物大の模型もNBLに入っているんですよ。この様な形で行う船外活動の訓練も残りあと1回です！",47,86
"RT @vr_doug: @astro_kjell &amp; @Astro_Kimiya Exp 44/45 working like a team during EVA/Robotic's integrated training-! @NASA_Johnson http://t.c…",27,0
