tweet,retweetsCount,favoritesCount
"Honored to fly in today's Remembrance Flyover at NASA JSC.  Thanks Bull and Animal for a great Lead! https://t.co/daQfFvR4ty",4,15
"RT @AstroSamantha: 4 #Shanigans09 in 1 place... only in Star City! @astro_timpeake, @Thom_astro, @Astro_Andreas &amp; I  all training here. htt…",62,0
"RT @RussianSpaceWeb: New dawn for #Proton returning to flight with strangest, weirdest, spookiest #Olymp satellite: http://t.co/bF8zHw7Drv …",18,0
"RT @Astro_Satoshi: 水面に映るオーロラ“@BEAUTIFULPlCS: Aurora reflections. http://t.co/5BZ1F7saSd”",84,0
"@ESA_CAVES .... Honored to have been included in your magnificent team.   Artwork by Tim Gagnon!  Wow! http://t.co/nihUGkSgTD",1,7
"@alessio_romeo ...very proud of you Alessio!     Beautiful pictures!",0,0
"RT @alessio_romeo: On the road to  #Gorner Glacier #we will set up soon the first International Glacier Caving Camp http://t.co/T3TpqKI0ga",4,0
"RT @alessio_romeo: Second step soon!!! #international glacier-Caving Camp on Gorner Glacier @CarlaCorongiu @vittoriocrobu @SirioSechi http:…",4,0
"RT @CarlaCorongiu: @alessio_romeo @vittoriocrobu @SirioSechi And the second step???",1,0
"RT @ESA_CAVES: The #caves2014 crew with the support team. A large family really https://t.co/UuN7bpDuhC http://t.co/jawcgkakMB",10,0
"RT @ESA_CAVES: The #caves2014 red team (that's what they called themselves) - after reaching the light http://t.co/ZUtdpumSbz",7,0
"RT @ESA_CAVES: The pictures of #caves2014 Day 6 are out featuring @astro_luca @Astro_Maker Matthias Sasha Sergey &amp; the wonderteam https://t…",4,0
"RT @ESA_CAVES: Congrats @astro_luca. At least it was worth waking up at 5 am to take you to the pool during #caves2014 ;-) http://t.co/z8iQ…",5,0
"RT @ESA_CAVES: We've published also some photos of #caves2014 Day5  https://t.co/rgyc3h917U",10,0
"RT @ESA_CAVES: And if you hadn't noticed, there is a 'P' bottle just on the side ... #caves2014 http://t.co/Ncbi0AODgQ",7,0
"RT @VicGlover: Happy 239th Birthday @USNavy! #239NavyBday #USNavy",4,0
"RT @ESA_CAVES: Just had a preview of the final #caves2014 video sent by @SirioSechi. Fantastic what can I say? You tweeps have something to…",3,0
"RT @ESA_CAVES: #aliens we met during #caves2014 (I mean the one in front, not Fabrizio, he's just weird) http://t.co/6slBnj80hb",9,0
"RT @astro_reid: Awesome view of the Soyuz with only one array deployed. Flown by the best! http://t.co/2V6FaypPtW",941,0
"RT @ESA_CAVES: @astro_luca and @Astro_Maker high up above in #Caves2014 training this morning. http://t.co/dAnWpAHrtv",7,0
