tweet,retweetsCount,favoritesCount
"Found this photo of me and my crew with our spacewalking training time just before launch of STS-109.  Can u find me? http://t.co/NImf7CIlYn",4,36
"Listening to some great oldies on @WBARRadio",8,19
"With @neiltyson and @EugeneMirman at our taping of @StarTalkRadio http://t.co/jmnoNZuMF0",50,199
"About to tape an episode of @StarTalkRadio with my good friend @neiltyson at @AMNH for @NatGeoChannel",16,79
"@ChrisCuomo enjoyed the city in the snow, fun snow day, didn't show anyone how it is done just watched",0,0
"Snow day in Riverside Park, NYC http://t.co/AqJ4oSNsd6",35,103
"Nice article in Crains about what I have been up to lately, thanks for reading:   http://t.co/xO64qc2qVg",22,36
"RT @MIT_alumni: .@Astro_Mike on planet Earth: It might actually be paradise. http://t.co/z1kESk8nWd",18,0
"11 years ago today this image of Uranus was released to the public #Hubble25 @NASA_Hubble http://t.co/AItTO5zlLq http://t.co/lCQDf3CtGg",78,125
"@SusantheElf don't know but I hope so!!",0,1
"@CavaliereRyan I am writing a book, thanks for asking!  Should be out in spring of 2016.",1,3
"RT @IntrepidMuseum: #HappyBirthday @TheRealBuzz! Here he is w/ @Astro_Mike, celebrating the 45th anniv. of the Apollo 11 moon landing. http…",46,0
"First day of second semester @CUSEAS for me in the classroom for my course Intro to Human Spaceflight, I love teaching Columbia students!",14,62
"Scheduled to be on @FoxNews at 10:45-11:00 eastern to talk about possible discovery of new planets in our solar system",18,38
"In Fort Lauderdale with 2 lifelong friends Anthony Bruno @AnthonysCFPizza &amp; Mike Quarequio 'best lawyer in universe' http://t.co/NRkBLwGy18",9,36
"With my lifelong friend Anthony Bruno and his team from @AnthonysCFPizza, best pizza in the universe! http://t.co/Ej9b0aVOMz",13,55
"Check out this cool video from NYE in Times Square courtesy of Toshiba, http://t.co/njtI8li8lV",16,27
"Great interview with my friend @allihagendorf in Times Square! http://t.co/G8NsV3oqxh",25,102
"RT @NASA: Ringing in 2015 in @TimesSquareNYC? Hear what 2015 holds for space at 8:15pm ET w/ @Astro_Mike http://t.co/B3pL0Lf1QL http://t.co…",172,0
"At Times Square in NYC, lots of energy in the air! http://t.co/KYD9HBIxJM",89,225
"RT @NASA_Marshall: Hear what space holds in 2015 w/ @Astro_Mike live from @TimesSquareNYC at 8:15pm ET tonight: http://t.co/PNxBJx9HvI http…",16,0
"I’ll be in STScI’s #HubbleHangout today at 3pm, talking abt #Hubble &amp; @IntrepidMuseum’s #HUBBLE25. Tune in on Thur: http://t.co/X8loPSOTBg",17,14
"Have you joined a STScI #HubbleHangout yet? I’ll be part of the convo on today at 3pm w/ @IntrepidMuseum. Tune in: http://t.co/X8loPSOTBg",13,13
"Join the Space Telescope Science Institute’s Google+ #HubbleHangout on Thursday at 3pm &amp; hear me talk abt #Hubble25! http://t.co/X8loPSOTBg",19,11
"Had a great time filming videos 4 the #free #iPhone #app from @IntrepidMuseum, w/ info on #Enterprise! Download now: http://t.co/NnmYnY8LVz",8,17
"@FoxNews just cancelled my segment on Orion due to breaking news, too bad",3,6
"Will be talking about the Orion launch on @FoxNews at around 10:45 eastern time this morning",28,63
"On my way to do an interview for a PBS NOVA special on the Hubble Space Telescope that will air in April.",7,52
"Here's everyone who came out for the #Hubble25Social tonight! Thanks to all who participated – it was great! http://t.co/1kBTBJTsRU",40,68
"My fave part of STS-125 was viewing our planet during my spacewalks from an altitude of 350 miles. #Hubble25Social",18,49
"Follow along with #Hubble25Social to see photos and posts from our #TweetUp tour of @IntrepidMuseum’s HUBBLE@25 exhibit!",8,19
"Holiday dinosaur @AMNH http://t.co/exq2H9Oqdy",15,42
"At the American Museum f Natural History @AMNH for the parade. Happy Thanksgiving !! http://t.co/d6DnO3YfDJ",12,38
"Join me for a #TweetUp on 12/2, a tour of @IntrepidMuseum’s Space Shuttle Pavilion &amp; HUBBLE@25 exhibit: http://t.co/Pj49a2ZFKs #Hubble25",29,35
"RT @NewDay: #CometLanding is hard because comet is going 34K miles/hour, and the robot can't just land - has to grip! @Astro_Mike http://t.…",55,0
"Had a blast talking with @klustout on @cnni, the jacket worked out well as did the interview http://t.co/uK3RHqvNHv",16,44
"Thanks for feedback on the jacket, will be talking movie Interstellar and other space topics with @klustout on @cnni in a few minutes",4,16
"@klustout @cnni thanks! Speak soon!",0,1
"RT @klustout: @Astro_Mike Very Indiana Jones! See you soon. @cnni",1,0
"Getting ready to speak with @klustout on @cnni in a few minutes.  Do you like my jacket?  Would appreciate feedback. http://t.co/6Gg3oXbbv4",5,43
"RT @klustout: Would an astronaut survive an #Interstellar journey through a wormhole? @Astro_Mike is on deck 9:35pHKT 8:35aET @CNNi http://…",19,0
"Join @astro_reid as he makes his way from the very back of the #ISS to the very front at 18,000 m.p.h.! http://t.co/k2n96EA3bo",36,47
"Will be on @CNN around 12:30 eastern to talk about Virgin Galactic and commercial space travel",10,23
"RT @TONJUCNN: @Astro_Mike  joins us 12:40p (E) #Legalview  Virgin Galactic founder Branson says he''ll be first passenger in space http://t…",4,0
"In 7 minutes will be on @FoxNews with @BillHemmer talking about commercial space flight",11,30
"With @rosannascotto and Greg Kelly on the set of Good Day New York @fox5ny http://t.co/icBj1Yu2ki",7,25
"Will be talking about the new Hubble Space Telescope exhibit @IntrepidMuseum on @MyFoxNY at 9:40 eastern this morning with @rosannascotto",11,19
"About to appear on @MyFoxNY #gooddayny with @rosannascotto at 9:40 eastern time this morning",5,7
