tweet,retweetsCount,favoritesCount
"Красивый! “@AstroTerry: The Sun has set over central Russia with #Venus in close trail &amp; #Moscow in the far distance http://t.co/00HR6IYli8”",7,12
"Another beautiful pic of home! #FL “@AstroTerry: think a lot of people on east coast would like to be here this week http://t.co/Cw0B7WWjS5”",24,32
".“@esaoperations: Thanks for a great reentry photo from #ISS RT @AstroSamantha: Good bye #ATV5! Arrivederci ATV5! http://t.co/7VbA1Far8k”",7,14
"So long ATV! Thx for all deliveries! “@AstroTerry: #ATV departs #ISS today- like Xwing fighter #SpaceVine timelapse https://t.co/bitBqpxxGQ",20,15
"My annual space pic valentine favorite (This year in b&amp;w to mix it up a little) Happy Valentine's Day! #DohulRedSea http://t.co/uTAfJdxdxd",29,66
".“@SirPatStew: narrated a film Journey To Space. For those w/courage to travel to space, it would be marvelous. http://t.co/9O82D98H6x”",6,8
"Our Sun! Wow!! http://t.co/qk0wzOrgmG",3,4
".@ObservingSpace: DSCOVR launch view from airplane  Credit: T Leavitt http://t.co/70ZrtNyPG7 #DSCOVR #SpaceX #Falcon9 http://t.co/YklbMNPLwh",22,18
"Thanks! “@dbctle: Astronaut @EmbryRiddle Alumna Nicole Stott (@Astro_Nicole) Skypes w/AE313 Space Mechanics Class http://t.co/251VjrOHPA”",6,3
"FL at night! “@AstroTerry: #Nightlife central #Florida http://t.co/wCSzXHV9vp”",9,15
"Congrats!!! @AstroDaveMD",2,3
"A beautiful start to the 10th anniversary Ilan Ramon Int'l Space Conference in Israel #RememberingOurSTS107Friends http://t.co/V9uyhgym6q",12,13
".@NASA Today #NASARemembers those who gave their lives to push boundaries of human achievement http://t.co/8Q0K9txG4i http://t.co/qDhm23RHaT",256,227
"Thanks!! “@vr_doug: Fantastic time sharing w/middle school kids &amp; @Astro_Nicole about VRLab activities &amp; history http://t.co/vRnAUoKR7D”",3,6
"Unusual Earthly beauty! “@AstroSamantha: #Bansi a few days ago, w/lightening brightening up the eye of the cyclone. http://t.co/gDLBsRLr9m”",15,26
".“@ERAUPrescott: Our Crash Lab was featured on the news--  Check it out!... http://t.co/mbLsAn8VAA”",0,0
"New documentary takes you underwater to see NASA training #InnerSpace-OuterSpace  http://t.co/zoUjt41hST",3,7
"Bunch-o-astronauts in a pic &amp; saying thanks to Duane &amp; Teresa - both helped select all of us! #HappyRetirement! http://t.co/NQy52XXI5F",17,44
".'@NASA: The @Space_Station is easy to see if you know when to look up. See when at http://t.co/BugCFIPpPS http://t.co/nbyFmfn71N”",13,12
"Thx 4 sharing G “@Quora: inside scoop on what it's like to be on set of last episode Colbert Report http://t.co/bDOJrv2ClK via @astro_g_dogg",3,5
"Another example why we're #OffTheEarthForTheEarth http://t.co/EJQQU1F1Fb",22,22
"Great #LifeInSpace article '@Astro_Ron: enjoyed Great @TheAtlantic article @cfishman '5,200 Days in Space' Read it @ http://t.co/ZpAYbut8eh'",6,9
"Happy New Year!!! #2015 http://t.co/gM6mpNRuNN",29,44
".“@Space_Station: For over 14 yrs, people have continuously been able to call #ISS 'home': http://t.co/PNg2YjKLdB http://t.co/ooKcbgxVDD”",11,13
