tweet,retweetsCount,favoritesCount
"本日18-20時です。「宇宙滞在による自律神経・循環機能の変化と対策ーISSでの研究成果と、今後の挑戦ー」宇宙医学生物学研究ワークショップを2月20日(金)18-20時に東京で開催。参加無料。専門家向けですが、学生・一般の方もどうぞ。http://t.co/VZk2jO6rk4",17,14
"宇宙から見た日の出。7秒くらいで出てきます。宇宙ステーションは90分で地球を一周するので、地上の約16倍の早回しを見ているよう。“@AstroTerry: Good morning!  #sunrise http://t.co/HtkKXK4Oop”",246,298
"欧州の貨物船ATVが宇宙ステーションから離脱する様“@NASA:Incredible #SpaceVine timelapse of the ATV #ISSCargo vehicle leaving @Space_Station:https://t.co/lbVzv9r58o”",87,77
"茂木健一郎さんがホストをつとめられるドリームハートに出演させていただきます。2月15日(日)22:30よりTOKYO FM系。よろしかったらお聞きください。http://t.co/585mGWVrSB http://t.co/ovDaZqhRpc",31,23
"「宇宙滞在による自律神経・循環機能の変化と対策ーISSでの研究成果と、今後の挑戦ー」宇宙医学生物学研究ワークショップを2月20日(金)18-20時に東京で開催します。参加無料、要事前申込。専門家向けですが、学生・一般の方もどうぞ。http://t.co/O7QHw97JIx",37,28
"RT @JAXA_jp: [ISS・きぼう広報・情報センター] 向井千秋宇宙飛行士が、仏レジオン・ドヌール勲章シュヴァリエを授賞、勲章授与式に出席 http://t.co/6beFoFDa6w",63,0
"東京周辺の夜景“@AstroTerry: #Tokyo #Japan http://t.co/Uu97K3YQ3h”",177,158
"2万光年かなたの酸素に富む超新星“@NASA: 20K light years away, a supernova w/ a lot of O2: http://t.co/j38Aq6YexQ #supernovasunday http://t.co/uXXyRoTI5K”",109,133
"宇宙ステーションから見た夜景ー出窓から顔を出した自分にとって、地球が自分より上方に見える感覚です“@AstroSamantha: Good night from #space! Buona notte dallo spazio! http://t.co/BU7XqVGnHB”",257,345
"Pluripotent stem cells used to generate hair growth http://t.co/7Vnh1SuDjQ",6,8
"薄毛治療に期待！幹細胞で毛髪生成　米露研究チーム、今後臨床実験（日本語記事）http://t.co/pjT6SIpSGK",35,23
"RT @NASA: Today #NASARemembers those who gave their lives to push the boundaries of human achievement: http://t.co/NxJcEfQzJ5 http://t.co/j…",7165,0
"You are what you eat - how gut bacteria affect brain health http://t.co/Vg8jrgwcZ9",7,14
"何を食べるかであなたが決まるー腸内細菌が脳の健康に影響している、という総説です。腸内細菌は食事や、いわゆる善玉菌、善玉菌のエサとなる物質の摂取などで変化します。http://t.co/Vg8jrgwcZ9",60,100
"2015年は光と光技術の国際年“@NASA: International Year of Light! @ChandraXray celebrates w/ pics: http://t.co/yVY4aTZBFW #IYL2015 http://t.co/fVCEqhoI84”",73,98
"貨物船が宇宙に運んでくれる極少量の新鮮な果物は大地の香りがして格別！“@AstroTerry: Enjoying Opal Apples with @astrosamantha. A real treat-fresh fruit! http://t.co/opZijeXT3J”",64,76
"サイクロンの目を上から見るとこんな風だそうです“@AstroSamantha: And a look from above into the eye of the cyclone. #Bansi http://t.co/j6lDr9UWTs”",132,136
"渦巻銀河でも楕円銀河でもなく、第三の形態のレンズ状銀河NGC6861“@NASA: @NASA_Hubble views a 'third kind.' http://t.co/ILbaiHDey2 http://t.co/dkLUoO2iWU”",153,179
"若田飛行士撮影の国際宇宙ステーションツアーです“@JAXA_jp: ISSツアー 中編（全3編）: http://t.co/5bC8YJHrHp、@YouTube がアップロード”",22,50
"RT @JAXA_jp: [新事業促進センター] インタビュー：次世代先端宇宙服の技術で、熱中症対策の決め手となる冷却下着を開発！ http://t.co/yyqowLOotX",32,0
"Replacing a high-carb snack with almonds reduced belly fat and other heart disease risk factors http://t.co/TKCKYIlYPx",8,15
"肥満で高脂血症だが健康な中年の人において、1日42gのアーモンドを食べた群は、同じカロリーのバナナマフィンを食べた群に比べ、より血中コレステロール値が下がり、かつお腹の脂肪も減った、という研究です。http://t.co/TKCKYIlYPx",103,89
"馬頭星雲“@BEAUTIFULPlCS: Birthplace to the stars - the incredible Horsehead Nebula. http://t.co/g1oGWsHadt”",131,160
"ドラゴン宇宙船5号機打上げ成功！動画はこちら“@NASA: Watch the launch of the @SpaceX #ISScargo mission on @YouTube: http://t.co/7tvV8bexSR http://t.co/WMJTRf3Ak9”",92,88
"ダンスの練習？！“@ANIMALPlCTURES: Having a dance off. http://t.co/7zYl7M66jW”",120,158
"アザラシの顔に注目“@EarthPix: Look at the Seals face! http://t.co/8o1ZnxTdaM”",346,260
"RT @NASA: We detected brightest X-ray blast yet from the Milky Way's black hole: http://t.co/FNxXYsOZPO  @chandraxray #aas225 http://t.co/t…",902,0
"RT @JAXA_jp: [ISS・きぼう広報・情報センター] 大西宇宙飛行士がGoogle+を開始！ http://t.co/ICvhv4fbor",31,0
"RT @Aki_Hoshide: あけましておめでとうございます。 今年もよろしくお願いいたします。  年明け早々、油井亀美也飛行士、始動！ 今年はいよいよ打ち上げ&amp;ISS長期滞在！ http://t.co/NxkFxovytv",222,0
"RT @JAXA_jp: [ファン！ファン！JAXA！] 2015・新春 油井宇宙飛行士インタビュー http://t.co/uFJzWN10Rz",37,0
"Obesity 'not always linked with metabolic problems' http://t.co/vqGSVVqcRg",10,13
"肥満者では通常、インスリン抵抗性や高脂血症が見られ、糖尿病や心臓病の危険性が高くなります。しかし一部の太った方ではそれらが見られず、約7ｋｇ更に太っても不変で正常だった、という研究です。http://t.co/vqGSVVqcRg",32,36
"宇宙での荷物整理はこんな感じ“@AstroTerry: packing stuff that will return to earth on @SpaceX #Dragon - scheduled for this month http://t.co/NwHZ0M8My2”",23,37
"月から見た地球の出“@BEAUTIFULPlCS: Earthrise from the moon. http://t.co/rMFPB8dU76”",374,343
"あけましておめでとうございます。本年もよろしくお願いいたします。“@BEAUTIFULPlCS: Happy New Year from #Tokyo, Japan! #NYE #2015 http://t.co/E304lLNL06”",107,171
"RT @Astro_Wakata: 爽やかでとても魅力溢れるお話をなさる元メジャーリーガーの田口壮さんとNASAジョンソン宇宙センターで対談させて戴いた内容が、1/2(金)18:05のNHK総合の正月特番で放送されます。http://t.co/yd8GdmQz8W http:/…",265,0
"冬空のオーロラ“@BEAUTIFULPlCS: Chilly winter Aurora. Photo by Stian Klo. http://t.co/Nqfzw0FC2w”",87,122
"宇宙のクリスマス“@ESA_CAVES: Beautiful! RT @The_SolarSystem: A Fox Fur, a Unicorn &amp; a Christmas Tree http://t.co/dB4k3miYjN http://t.co/4NkAXSXFMP”",113,123
"RT @Astro_Kimiya: 皆様大変お待たせ致しました。宙亀日記を更新致しましたので、是非ご覧になって下さい。お約束どおり、バックアップクルーとしての任務や生活について書かせて頂きました。ご意見やご感想を伺うのも楽しみにしています！ http://t.co/lrPg18…",53,0
"RT @JAXA_jp: [ISS・きぼう広報・情報センター] 宙亀日記「バックアップクルーとしての任務」 http://t.co/ZodKhutjAZ",15,0
"ありがとうございます。そう言っていただけると嬉しいです！ @kenichiromogi @BEAUTIFULPlCS",3,5
"イギリスとオーロラ、夜明け前で東の空が明るくなってきています。“@BEAUTIFULPlCS: The UK and the northern lights from space. http://t.co/GbgBOcTLJc”",276,334
"スパナを「メールで宇宙ステーションに送り」3Dプリンタで作成“@businessinsider: How NASA ‘emailed’ a wrench into space http://t.co/9hbHMDquIK http://t.co/9zoeg5VgIT”",104,54
"地球を背景にソユーズ宇宙船TMA-15M“@AntonAstrey: The Soyuz TMA-15M spacecraft against the background of our beautiful planet http://t.co/fppFZZudpU”",89,96
"鮮やかな色合いのバハマ諸島“@AstroTerry:I had no idea the #Bahamas were so colorful-I’ve never seen those shades of blue and green http://t.co/af5eev5GyM”",26,38
"子ぶた“@ANIMALPlCTURES: Piglets at play! http://t.co/VvuRxFwXBa”",46,72
"雪山と天の川“@BEAUTIFULPlCS: The Milky Way over a snowy mountain range. http://t.co/2AdY1XVCuJ”",100,138
"宇宙での散髪。バリカンに掃除機がついていて、切られた髪を吸います。“@AstroTerry: Haircut day on ISS. #astrobutch doesn't charge much. But I tip well http://t.co/aTPS0Mww2r”",55,59
