tweet,retweetsCount,favoritesCount
"Heavenly. http://t.co/3i4u0VwswT",546,928
"Wishing happy #ValentinesDay for everyone - with or without gravity :-) ハートが詰まったパウンドケーキでお祝い http://t.co/A1hDKwotAL",93,190
"Happy #Valentine 's Day! http://t.co/G7L0XMKY3X",619,731
"The force will be with you, always. http://t.co/vt0BX6VGTQ 油井さん、NASA版　#スターウォーズ　トリビュートポスターに堂々出演！品切れ必至？　@Astro_Kimiya",73,77
"Empyreal Mt. #Fuji stands up toward outer space.  宇宙に向かって立つ霊峰　#富士山 http://t.co/xexhzMLODI",1093,1488
"Cold, cold winter weather. Europe. http://t.co/KX4ve7BWn4",91,135
"space station pass over #tokyo 5:37 PM, Visible: 5 min",83,53
"space station pass over #japan Wed Feb 04 6:36 -6:39 PM, Max Height: 66 degrees 日本上空を#ISS が今晩通過！でも天気予報はイマイチ？",109,77
"Hello, #Arizona ! Whole world is watching #SuperBowlXLIX,  even from @Space_Station アリゾナ州フェニックス近郊 http://t.co/68Ry98uoj6",114,112
"RT @ISS_Research: Trivia for your #SuperBowlXLIX @Patriots @Seahawks party. Q: How big is @Space_Station? A: http://t.co/SmQ744a1kX",312,0
"#Israel , home of  Astronaut Ilan #Ramon. Legend continues 12 yrs after #Columbia accident. http://t.co/GRjGaImVmh http://t.co/Riec1WvRzq",64,92
"RT @nasahqphoto: The mobile service tower is moved back. Launch of @NASASMAP is now no earlier than Sat. Jan. 31 at 9:20 am ET. http://t.co…",91,0
"RT @DavidWeaver: .@NASA_Johnson Director Ellen Ochoa is leading team of American astronauts who are ready to #LaunchAmerica http://t.co/Pfw…",26,0
"RT @Commercial_Crew: @AstroIronMike – “Astronauts have been instrumental in the design of the #LaunchAmerica systems from the get-go and lo…",64,0
"RT @NASA_Johnson: .@AstroIronMike: There is no group that wants the success of @Commercial_Crew more than the @NASA_Astronauts. #LaunchAmer…",35,0
"RT @NASA: Are you watching our @Commercial_Crew briefing on flying US crews in 2017? Live: http://t.co/KX5g7zxzYi  #askNASA http://t.co/d4k…",147,0
"The Rocks in view; Sydney, #Australia. #錦織圭 がんばれ、オーストラリア。 http://t.co/fmD5KqDueL",336,328
"#淡路島、播磨灘、神戸沖、大阪湾。#阪神淡路大震災 の震源地はこの写真のほぼ中央付近でした。改めて合掌。 http://t.co/r0DrZh08vl",623,421
"#神戸 の埋め立て地を宇宙から俯瞰する。#阪神淡路大震災20年 20 years since #Kobe Mega quake today. http://t.co/FuKPRAnXxh",839,533
"We remember #Kobe Mega quake in 1995. #神戸 #阪神淡路大震災20年 http://t.co/b8mrQ3qRLr",564,317
"Palawan Island, #Philippines 太平洋は鏡のように穏やかで青かった。フィリピンのパラワン島 http://t.co/Gb17VMwkum",357,414
"Winter wonderland, Europe. http://t.co/NxXB1ItD4B",102,142
"#ISS 昨夜の警報は誤報、乗組員は通常勤務に戻りました。お疲れ様！　RT @NASA After false alarm evaluation, @Space_Station managers allow crew back in US segment.",157,84
"RT @NASA: After false alarm evaluation, @Space_Station managers allow crew back in US segment. Details: https://t.co/exboMmW7vn http://t.co…",916,0
"http://t.co/WHrObwpMUc voice of MCC is my former pilot, Jim 'Vegas' Kelly. The situation on 'ISS is very well managed.",39,27
"三菱航空機、MRJエンジン始動時の写真公開 http://t.co/dwFRcOHYZ3",76,71
"Toulon-Hyeres, #France http://t.co/1W2TNRDyIK",145,171
"Nice , Cote d'Azur airport. #France http://t.co/vyKevNObkx",143,181
"Osaka Bay, #Japan http://t.co/CfL3uAi7zX",389,389
"#ISS over #Japan tomorrow morning Thu Jan 08 5:52-58 AM 明朝、四国太平洋沖から和歌山、長野県川上村、宮城にかけて直上を宇宙ステーション通過します。早起きして見てねん♪",181,99
"Thanks 0.5 M followers!",30,86
"City lights, Tokyo nights. http://t.co/8TslMukmIK",1477,1673
"Festive Season in #Space Station 松竹たてて 門ごとに 祝う今日こそ 楽しけれ http://t.co/iWSGTHc896",137,205
"My new year's resolution - Peace, Dream, and Hope. Seasons greetings from #space 書初めました http://t.co/qPovrSfH7D",428,575
"#newyear tradition - zero-G self badminton. ひとり羽根つき #お正月 http://t.co/es17xmnu8M",518,466
"#happynewyear 2015! あけましておめでとうございます。今年もこの星を一緒にまわろう！ http://t.co/10BmDKJNKf",1481,2150
"5 more nights to 2K15 もう「いつつ」寝ると　お正月 http://t.co/JVzKPF3o4H",444,400
"#ISS flies over Japan tonight Dec 27 5:46 - 52 PM 石川県から静岡県にかけて今夜宇宙ステーション日本縦断！夕方5:46．",114,64
"Season's greetings! Santa came to town @Space_Station サンタが街にやってきた♪ http://t.co/YM4HrrAohz",78,118
"Ho Ho Ho http://t.co/PsMSoILWVL",820,751
"RT @tx_spacenews: 1968年の今日、アポロ８号が人類史上初めて月を周回。その乗組員ラヴェル宇宙飛行士の言葉…「月で親指を立てると、親指の先で地球が隠れる。 我々はなんて小さな存在だろう…だが何て幸せなんだろう！」 🎄⭐️Merry Xmas⭐️🎄 http:/…",1161,0
"Dear Santa, you are cleared for touch &amp; go @Space_Station ! 今宵サンタが街にやってくる。そう、宇宙の駅にも。 http://t.co/8DRwS05oZ3",338,364
"#Seychelles natural beauty. Happy Holidays! http://t.co/29yoqnFWb3",112,139
"RT @NASA_Johnson: On Jan. 15, meet @StationCDRKelly and go #BTS of @ISS_Research at a @NASASocial. Apply now: http://t.co/7sKTTU9spE http:/…",234,0
"RT @NASA: Send holiday greetings to @NASA_Astronauts @AstroTerry &amp; #AstroButch on @Space_Station: http://t.co/iMeARA2lUv http://t.co/1NXjST…",482,0
"Better be good tonite! Track down Santa on @NoradSanta 良い子は必見！北米航空宇宙防衛司令部が聖夜に大真面目にサンタを追跡するサイト。http://t.co/H4u2GDkzSL",289,157
"RT @spacemen1969: Conférence #ISS1year à Unesco avec @StationCDRKelly Mikhail Kornienko @Astro_Andreas @Astro_Soichi et @Astro_Jeremy http:…",18,0
"RT @NASA: Earth from space! Here's 15 amazing things in 15 years: http://t.co/voDhkUhLai #OTD #EarthRightNow #TBT #BlueDot http://t.co/2sEM…",1214,0
"Watch me @unesco new conf on #ISS1year mission, 4pm CET, 10am EST, midnight Japan. http://t.co/dzSvt3XQ7O 今晩零時ユネスコ本部での記者会見に参加します",43,40
"RT @esa: Today: News conf at @UNESCO with 4 #ISS partners, on year-long ISS expedition, streaming from 16:00 CET http://t.co/nyF4gZNGFe #IS…",21,0
"RT @NASAhistory: 1st powered controlled airplane flight #OTD in 1903, flown by Orville Wright. http://t.co/K4HkUy0tQk http://t.co/okvpyMKKZN",237,0
"RT @NASAhistory: #Today in 1992,the  Galileo probe takes this photo of the Earth-Moon system http://t.co/FR6lJZd8nr http://t.co/fmsumHv57Q",284,0
"RT @SpaceSafety: Happy to share in a good cause! #ISS #ISS4NobelPrize @jeff_foust @ponder68 @SpaceArtAl @bnjacobs http://t.co/IgYaGdJY4B",6,0
"RT @ISSNobelPrize: We've been asking politicians to nominate the ISS Partnership for the 2015 Nobel Peace Prize. Who should we ask next? #i…",13,0
"Healing moon http://t.co/bBVvHJOHUF",183,278
"月の癒し　～ http://t.co/DyRiD0QvFJ",336,472
"Breathtaking view from space http://t.co/STfVa0vr6H",157,216
"ウォッチ！ #iss が関東平野の真上を通るのね、そうなのね。　4:47 PMから３分間。",371,220
"RT @AstroTerry: Best #Aurora that I've seen- very clear even to the naked eye http://t.co/N9OVjcynlh",1946,0
"今日の夕方、日本の太平洋沖を宇宙ステーションが通過します。5:38 PM-5:42 PM　南の上空を見上げよう。",523,261
"Watch @Space_Station fy by Japan today 17:38 JST. #ISS",36,24
"RT @NASASocial: Orion's Flight Test: 320k tweets about #Orion today via @TwitterReverb http://t.co/1EcNRP818G http://t.co/HVFB0UcNtL",424,0
"RT @NASA: Miss today's #Orion post-mission briefing? Hear from our managers about today's flight test: http://t.co/YQGx6c64vA http://t.co/D…",762,0
"This is the LIVE view from #Orion window.Wish I were there. http://t.co/qBuO66bt0k",146,150
"RT @NASA_Orion: The Ikhana remotely piloted aircraft is currently circling the landing site to capture #Orion return http://t.co/dnaQ99TQiE",445,0
"RT @elmo: LIFTOFF!!!!! YAAAAYY!!!! 🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀 #Orion",895,0
"RT @NASA: As #Orion finishes its 1st lap of Earth, an engine burn will propel it to an elliptical orbit http://t.co/6XtjOi1yJo http://t.co/…",921,0
"RT @NASA: A perfect second stage burn, pushing #Orion toward an altitude of about 3,630 miles. Watch live coverage: http://t.co/6XtjOi1yJo",533,0
