tweet,retweetsCount,favoritesCount
"RT @NASA: We've got 3 upcoming spacewalks! Learn about them today at 2pm ET on NASA TV: http://t.co/TZKSZN8lbU Q? Use #askNASA http://t.co/…",698,0
"Space Historians:  85 years ago today, Pluto was discovered by Clyde W. Tombaugh of the Lowell Observatory, Flagstaff Arizona.",10,6
"@anamgren WHEW!!!   Thanks for letting me know.  AND, thanks on the kind words too.",0,0
"@anamgren No no... it was sent in 2010, and received milliseconds later that same day.",0,1
"@eleannoorrr Which ever engineering you love and enjoy!!!!",0,1
"@emmanuelortiz86 You are very welcome!",0,1
"RT @neiltyson: Not enough of us reflect on how modern civilization pivots on the discoveries of just a few intellectually restless people.",7526,0
"RT @ShuttleCDRKelly: My brother @StationCDRKelly &amp; I talked to @CBSThisMorning about why @NASA is studying us. Watch it here: http://t.co/Z…",181,0
"@emmanuelortiz86 You are most welcome!",0,1
"RT @NASAhistory: #TBT @Astro_TJ sends 1st live tweet from space in 2010. What would you tweet from space? http://t.co/0IVKfXwLDe http://t.c…",25,0
"Space Historians: Today is Buzz Aldrin’s birthday! http://t.co/8N91F7t9eN  Hope today is an OUT OF THIS WORLD day for him! Happy bday,Buzz!",7,8
"RT @StarTalkRadio: Last for #MLKDay: Nichelle Nichols shares Dr. Martin Luther King’s impact on Gene Roddenberry &amp; Star Trek https://t.co/e…",20,0
"RT @ISS_Research: Why do astronauts eat tortillas in space instead of bread? http://t.co/lJTHFysinQ",52,0
"NASA has taken largest picture ever: http://t.co/Jko2h6woUa Watch, be amazed, be in wonder, be ever so humbled. It will rock your world!",15,18
"Space Historians: 2006 -- Launch of New Horizons to Pluto http://t.co/lRieh6u51P",3,2
"RT @NASA_Johnson: Identical twins, one on Earth and one in space. After a year, are they still…identical? We will find out. #ISS1Year http:…",196,0
"The “1-year Crew”: NASA has two new briefings today.  Exciting stuff! One step closer to understanding Mars mission...http://t.co/81tC1KJWXh",3,4
"SpaceHistorians: 2006 Stardust probe successfully returns comet &amp; interstellar dust samples to Earth http://t.co/UPR7Jq9V1f",6,6
"SpaceHistorians: 1917-Treasury Comptroller announced that NACA was an independent agency!   And so it began... http://t.co/01Xdm81Cdt",5,3
"RT @NASA: Missed launch of the @SpaceX #ISScargo mission or want to see it again? Watch it on @YouTube: http://t.co/ulOFF4KwGC http://t.co/…",1088,0
"SpaceHistorians: in 1969 on this day, NASA announced the crew of Apollo 11 http://t.co/0OymUgIlmT",19,15
"SpaceHistorians: 1994-Cosmonaut Valeri Polyakov launched on the (as yet) longest spaceflight. Guess how many days? http://t.co/E89XR2HdKF",3,2
"H.G. Wells will be happy!!  Potential signs of ancient life in Mars rover photos: http://t.co/VsP9dAUG3y",7,10
"SpaceHistorians: 1968 - launch of Surveyor 7, last in series, had most extensive instruments to analyze Lunar soil: http://t.co/FcyynMgAfO",4,4
"SpaceHistorians:  In 1998, we launched Lunar Prospector to map Moon’s surface, look for polar ice, &amp; more:  http://t.co/LDyHX9L7wJ",3,5
"@HBSastrowardoyo Not really. My training flow was wonderful. No regrets. I went Soyuz, because of the timing &amp; international agreements.",0,0
"@dicreamio Thank you.  You too.",0,0
"@Joseflor238 no. Time is not an absolute, by any means.",0,1
"RT @NASA_Marshall: Scott Kelly &amp; Mikhail Kornienko to spend 1 yr in space to help learn how the body adapts: http://t.co/P2oofpbXhM http://…",24,0
"Space historians: big day today in 1972, when President Nixon announced the approval of the Space Shuttle Program! http://t.co/E7UlY6ZO2y",8,6
"@Favstar250 Thanks bunches!",0,0
"RT @neiltyson: If interested, my four fave Twilight Zone Episodes: “The Invaders” “To Serve Man” “Monsters on Maple Street” &amp; “The Shelter”.",919,0
