tweet,retweetsCount,favoritesCount
"RT @JAXA_jp: [ファン！ファン！JAXA！] [JAXA TV]【宇宙教育テレビ】宇宙飛行士と考える「放物線と直線運動の関係」 http://t.co/ixf0rQ0nC5",38,0
"@PC0101 Thank YOU for giving us great suggestions and information for taking earth observation photos on the ISS!",1,6
"Cool time-lapse video of thrusters firing during the departure of ATV-5 Georges Lemaître from the ISS on Saturday. https://t.co/a5wiJ73SZk",73,87
"RT @nhk_space: ☆あした何の日☆２０１４年２月１０日、ＩＳＳ滞在中の若田光一宇宙飛行士が４Ｋ超高精細・超高感度カメラで、夜のアメリカの他、昼間のインド、南米、アフリカ大地溝帯を撮影。ＣＦ「若田飛行士がみた“宇宙絶景”」はＮＯＤでご覧いただけます。http://t.…",43,0
"RT @astro_reid: #Maryland to #Maine at night. MT: “#AstroButch: '#sunrise touches #aurora. All we need now are angels singing.' https://t.c…",777,0
"RT @JAXA_en: Congratulations! The Brazilian CubeSat was deployed from Kibo. We'll keep enhancing the cooperation with Brazil. http://t.co/z…",165,0
"「きぼう」からブラジルの宇宙機関が開発した超小型衛星を放出。今回で「きぼう」からの超小型衛星放出は6回目（56基目）となりました。http://t.co/zGoMw6EqRb http://t.co/z317yEEveA",199,215
"RT @NASA: Today #NASARemembers those who gave their lives to push the boundaries of human achievement: http://t.co/NxJcEfQzJ5 http://t.co/j…",7165,0
"It was an honor to participate in the 2015 Astronaut Ellison Onizuka Science Day at UH Hilo.  Big thanks to all who supported the events!",30,60
"RT @AstroTerry: Moon setting almost immediately after the sun, at just 3% illumination http://t.co/dSRzq5X2oJ",3015,0
"週刊若田のISSツアー（全3編）です。ISSの中の様子をじっくりお楽しみ下さい。   前編:http://t.co/kQ6LWqQHde、中編:http://t.co/JFbCrLY642   、後編:http://t.co/a5L3LHcaTX",221,499
"Space Navi@Kibo 星出宇宙飛行士との特別対談企画　第2夜です。: http://t.co/5o4c1JAiMO via @YouTube",93,143
"ISS内での有毒なアンモニア漏れの恐れがあったためクルーはロシア区画に避難していましたが、誤報である事がわかりました。緊迫した一日でしたが無事で何よりです。https://t.co/UTRQGZ1ZkP",320,221
"RT @Tungsten_Flight: “Earth is alive with energy! Massive lightning display across #Africa seen in this #SpaceVine” #AstroButch https://t.c…",149,0
"@0space0 応援有難うございます。SFUの写真を拝見しますと、とても懐かしく感じます。",2,11
"RT @NASA: The @Space_Station is easy to see if you know when to look up. See when it's flying over you: http://t.co/ALrzz92zUW http://t.co/…",1146,0
"19 years ago today STS-72 launched on Endeavour. Vividly remember the incredible views &amp; acceleration during ascent. http://t.co/wWbeaZwYjP",256,486
"「宇宙から見たオーロラ展2015」開催中です。入場無料。ISS滞在中に私が撮影したオーロラの写真も展示されています。http://t.co/Jdx1TFaWWr http://t.co/8bYSBXbSds",577,771
"RT @NASA: Full moon setting as seen by @AstroTerry from the @Space_Station. http://t.co/oYSqLxJitL",3232,0
"NASA T38練習機による操縦訓練を再開しています。今日はメキシコ湾上空の訓練空域で失速状態からのリカバリーやエンジン停止時などの対応について教官パイロットとレビューを行った後、夜間の操縦訓練を実施し、明朝は技量試験に臨みます。 http://t.co/r5Mo1frgAo",368,559
"@Yano_Akiko 矢野さん、いつも有人宇宙活動を応援して下さり有難うございます。益々のご活躍をお祈りします！",5,18
"Great to visit Steve Cole's farm in Alvin, TX. His tasty oranges were launched on #SpaceX-3 to us on ISS last April. http://t.co/xk7rjYnSJA",51,110
"RT @NASA_Astronauts: '#Strangelights in desert as we approach West U.S. coast. Turns out to be #Ivanpah Solar Elec project' #AstroButch htt…",178,0
"新年明けましておめでとうございます。今年はいよいよ＠Astro_Kimiya油井亀美也JAXA宇宙飛行士がISS長期滞在飛行に出発します。皆さん応援して下さいね。 http://t.co/1mnbxFFJ48",378,527
"爽やかでとても魅力溢れるお話をなさる元メジャーリーガーの田口壮さんとNASAジョンソン宇宙センターで対談させて戴いた内容が、1/2(金)18:05のNHK総合の正月特番で放送されます。http://t.co/yd8GdmQz8W http://t.co/6GfrG5wRBy",265,295
"RT @AstroTerry: Sunrise on Christmas morning- better than any present I could ask for!!!! http://t.co/RtzUSZc7Ns",3676,0
"RT @NASAhistory: #Remembering Michael P. Anderson on his #birthday; perished on STS-107. This image of Earth was taken by the crew. http://…",160,0
"RT @AstroTerry: #Florida and the #Bahamas from a new perspective http://t.co/tVyitz0vQR",1543,0
"Google - Year in Search: 検索で振り返る 2014: http://t.co/sCIzAaFNjE via @YouTube 国際宇宙ステーションの長期滞在では多くの皆さんに本当にお世話になりありがとうございました。",78,97
"1月3日放送予定のNHK「SWITCHインタビュー達人達」の収録で小説家の平野啓一郎さんと対談させて戴き光栄です。以前平野さん著「ドーン」を拝読し火星飛行に向け大きなチャレンジを感じました。http://t.co/zf1pAjmlOM http://t.co/IJYG3TsHhf",219,309
"NASA Johnson Space Center 2014 Highlights: http://t.co/FL387PAHoz via @YouTube 2014 has been an exciting year!",55,82
"Congratulations to the entire team on the launch of the #Orion spacecraft.  Spectacular view! http://t.co/untIK9JRZ2",164,165
"RT @AstroTerry: Looking back at the east coast on a moonlit night http://t.co/4Kvve8hrpC",1031,0
"長い旅を始めた#はやぶさ2 のミッションでは、国際宇宙探査計画に向けて日本が強みとして技術的に世界をリードできるGPSなしのランデブー、小惑星着陸、深宇宙誘導制御といったはやぶさ2が持つ優れた技術にも注目しています。http://t.co/zsjt1NIJPQ",221,220
"#Hayabusa2 - a machine for scientific discovery and a testbed for new technologies to advance space exploration. http://t.co/fKFrrCItAY",32,47
"Congratulations on the successful launch of #Hayabusa2 Asteroid Explorer on H-IIA F26 from Tanegashima. http://t.co/yw8kv4DtXu",287,234
"Due to strong winds, the launch of #Hayabusa2 and piggyback payloads by the H-IIA F26 was postponed to 1:22:04 pm on Wednesday, Dec 3 (JST).",117,83
"The launch of Asteroid Explorer #Hayabusa2 on H-IIA rocket will be at 1:22:43 pm JST(GMT+9hrs) on Monday, Dec 1. http://t.co/eCydAa0Fcu",84,81
"宇宙日本食3品目が新たに認証され、合計 31品目になりました。http://t.co/qSUC6QFaJQ 私もISS長期滞在飛行中、数多くの宇宙日本食を美味しく戴きました。",313,275
"Congrats to @AntonAstrey, @AstroSamantha, and @AstroTerry on the successful launch and docking to the ISS!",36,81
"「志」----日本の有人宇宙活動をたどる、285秒のものがたり   http://t.co/HPH68P98QG",146,237
"Thank you, the JCCI of New York, for the opportunity to share the excitement of human space exploration at the JCCI's 30th Annual Dinner.",17,41
"＃BSフジLIVEプライムニュース　では山口俊一内閣府特命担当大臣（宇宙政策担当）から今後の宇宙開発に関して力強いご意見を伺う事ができ有意義でした。反町さん、秋元さん、宇宙活動の課題と次の夢に関する興味深い話題を提供戴き有難うございました。",34,39
"LINEQ「私に聞いて」のコーナーに1600を超える沢山の質問をして戴きありがとうございました。全ての質問にお答えできず残念でしたが、楽しく読ませて戴きました。http://t.co/LnHgKEjRHH",34,70
"新しい宇宙基本計画の素案が公開されました。今後の日本の宇宙活動の指針となる重要な計画であり、注意深く見守っています。",150,188
"One year ago today, Misha, @AstroRM, and I started on an incredible journey in space. http://t.co/g6uIUsMzDM",214,407
"Ambassador @CarolineKennedy,thank you for hosting a wonderful reception.I felt our partnership in space exploration has never been stronger.",20,36
"ライブ中継された昨日の沖縄県西原町でのミッション報告会には、宮古島、石垣のサテライト会場も含め、たくさんの皆さんにお越し戴きありがとうございました。有人宇宙活動と共にエネルギー、環境問題についても皆さんとお話する事ができ、有意義な時間を過ごさせて戴きました。",56,68
"@EH_007 素敵な写真ですね。ありがとうございます。",1,2
"富山市大沢野文化会館でのミッション報告会にお越し下さった皆様、有り難うございました。トークショーの「宇宙のどうぐ」では素晴らしい発明アイデアに感激しました。",40,46
"北海道情報大学でのミッション報告会には多く皆さんに来て戴き有り難うございました。",41,71
"RT @NASA_Astronauts: 'Saudi Arabia, Kuwait Dust Storm' #AstroButch http://t.co/I4x6cHR1FQ",315,0
"先週に引き続いて10月23日午後10時からのNHK BSプレミアム「コズミック フロント」に出演させて戴きます。昨年11月7日からの188日間に渡る国際宇宙ステーション長期滞在飛行での活動をご覧戴けます。   http://t.co/bPz1sGtnCN",189,154
"RT @astro_reid: Wild swirling ocean currents in sunglint near #CapeTown South Africa. http://t.co/f46zEEWhC5",723,0
"11/13（木）にニューヨーク日本クラブ、ニューヨーク日本商工会議所の主催で国際宇宙ステーション長期滞在飛行の報告をさせて戴きます。詳しくはこちらをご覧ください。http://t.co/NYLz7aQ61O http://t.co/a1NtDbRdsy",89,115
"11/2（日）沖縄県西原町での国際宇宙ステーション長期滞在のミッション報告会で多くの皆さんとお話できることを楽しみにしています。http://t.co/k1hsA5jqwX",52,38
"RT @astro_reid: There is no room with a finer view than the #Cupola on the #ISS http://t.co/aK5ZnBZlGO",577,0
"RT @CommanderMLA: #FlashbackFriday Astro Jeff Wisoff and I circa 2000 completing a test flight of the SAFER jet pack! http://t.co/L85qlq9BIO",33,0
"10/16午後10時～NHK BSプレミアム「コズミックフロント 若田飛行士が見た'宇宙絶景”」http://t.co/bPz1sGtnCNに出演します。昨年11から半年間のISS長期滞在飛行では世界初の宇宙からの4Kカメラによる撮影ミッションにも参加しました。",292,282
"だいち2号による御嶽山の緊急観測結果です。http://t.co/QSnyQ9XG3W 犠牲者の方々のご冥福をお祈りし、ご家族の皆様に心よりお見舞い申し上げます。",334,161
"@noblefoundation A sincere Thank You for the impressive tour of the research lab.  I truly enjoyed talking with the audience in Ardmore.",0,3
"RT @astro_reid: Awesome view of the Soyuz with only one array deployed. Flown by the best! http://t.co/2V6FaypPtW",941,0
"昨年11月7日からの188日間に渡るISS長期滞在を振り返るビデオ映像です。 http://t.co/DD73vcMNU4",227,481
"Congratulations on the successful #SoyuzTMA14M launch!  Go #Exp41 Alexander, Elena, and Barry!",58,90
"ヒューストン日本語補習校の皆さん、ISS長期滞在時の応援有難うございました。補習校での第3回宇宙セミナーでISS 長期滞在飛行の報告ができたことを嬉しく思います。皆さん一人一人の目標に向って頑張って下さい。",37,67
"JAXA野口宇宙飛行士、アジア初の宇宙探検家協会会長就任おめでとうございます！http://t.co/Ktmzk8cjw7",171,151
"RT @NASA: SUNDAY: Mars! #MAVEN will arrive at the Red Planet Sept 21. #FF @MAVEN2Mars for updates. http://t.co/eY2OxMpc2c   http://t.co/xHy…",872,0
"Enjoyed talking with the students at St. Albans School  @StAlbans_STA in Washington DC.  Thank you for the great questions!",18,43
"Thank you to all who joined us at the 'Space Exploration Lecture' this evening at JICC in Washington DC!. http://t.co/4BF3vTNA6g",19,46
"Enjoyed &amp; learned a lot at G+ hangout on Observing Earth from Space with @AstroRM, Gail Skofronick Jackson &amp; @EricHolthaus.  Thanks!",31,55
"@NASAGoddard @AstroRM @NASA_Rain  Big thanks to the GPM team at NASA Goddard for the great tour of the GPM mission control.",4,10
"在アメリカ合衆国日本国大使公邸でのレセプションでＩＳＳ長期滞在飛行の報告をさせて戴きました。佐々江賢一郎特命全権大使、ＮＡＳＡオブライアン局長からも貴重なお話を伺う事ができ大変有意義でした。関係者の皆様のご支援に感謝致します。",75,94
"Congrats on the success of ASE Congress 27 in China. Thank you,Yang Liwei and his team for the wonderful hospitality. http://t.co/vvflMus3zA",60,120
"10/25（土）北海道江別市、10/26（日）富山市、11/2（日）沖縄県西原町でミッション報告会を開催させて戴く事になりました。多くの皆さんとお話できることを楽しみにしています。http://t.co/zNcl6vmDm5",106,93
"明日9/3（水）13:00～13:40に宇宙博イベント広場でJAXA星出彰彦宇宙飛行士による特別トークショーが開催されます！http://t.co/2DeJZZm72J",128,76
"国立天文台ハワイ観測所の藤原英明さんから、すばる望遠鏡ドーム の上空を通過するISSの素敵な写真をご紹介戴きました。私がISS滞在中に撮影された写真です。ハワイ観測所の皆さんの益々のご活躍をお祈りします。 http://t.co/JpEOWNNxs2",240,246
"8/21の日本科学未来館、昨日の浅草公会堂でのミッション報告会には、多くの皆さんに来て戴き有り難うございました。阿川さんや佐々木監督からも興味深いお話しを伺う事ができ有意義でした。インターネット中継をご覧になった方もいらっしゃると思いますが、ご感想をお聞かせ下さい。",96,130
"@Go_wakata_uchu 若田光一★宇宙飛行士を応援する会の皆さん、とても素敵なフォトモザイクですね。昨日のミッション報告会でもお世話になり、有難うございました。",9,13
"さいたま市でのミッション報告会、祝賀パレードには本当に多くの方々に来て戴き、感激しました。やっぱりふるさとはいいですね。宇宙飛行中にも皆さんから応援戴きました事に心より感謝致します。",115,151
"昨日の岩手県奥州市でのミッション報告会には沢山の方々に来て戴き有り難うございました。宇宙を語るトークセッションでは松山桃世さん、松本晃治さん、本間季樹さんから興味深いお話しを伺う事ができ、大変有意義でした。スタッフの皆さん、御支援有り難うございました。",66,90
"宮城県の亘理町と山元町で今日講演会を行います。皆さんにISS長期滞在ミッションの報告ができる事を楽しみにしています。",112,91
"@ofunato_city 大船渡の皆さん、ミニ講演会でお会いできて嬉しかったです。",8,9
"8月22日（金）19時から浅草公会堂でISS長期滞在ミッション報告会を行います。阿川佐和子さんや佐々木則夫監督とのトークセッションが楽しみです。皆さん浅草でお会いしましょう！  http://t.co/ot8MLiCpst",245,201
"昨日の福岡での帰還報告会に参加してくださった皆さん、素晴らしい質問を有難うございました！",98,151
"国際宇宙探査シンポジウム２０１４を7/31(木）に幕張メッセ国際会議場で開催します。宇宙博会場の隣です。入場無料です。私もパネラー参加します。インターネット中継も実施予定。是非ご参加ください！！ ＨＰ及び申し込みはこちら。http://t.co/p7h2MRfFUK",197,160
"RT @Aki_Hoshide: フロリダの海底研究室「アクエリアス」から生中継！7/25（金）21:00～21:30放送予定。NEEMO訓練の内容や海底研究室での生活など、あなたの質問を7/24(木)17:00まで受付中。詳しくは、http://t.co/X3sVMWFJPS…",156,0
"国際宇宙探査シンポジウム２０１４が７/３１(木）  に幕張メッセ国際会議場で開催されます。宇宙博会場の隣ですのでぜひご参加下さい。入場無料です。私もパネラー参加します。インターネット中継も実施予定です。HP及び申し込みはこちら。  http://t.co/QT1EKmdbMg",266,188
"Thank you @DaveAtCOGS!  This is a very nice map with the photos of Japan I enjoyed taking onboard the ISS. http://t.co/oyzz8rKOaa",112,184
"国内でのミッション報告会の開催地を公募中です。  http://t.co/c0jNpa9L6Z 多くの皆さんに宇宙飛行の報告ができることを楽しみにしています。",237,141
"Enjoyed participating in a variety of human research projects post-landing such as this 'Manual Control' experiment. http://t.co/Vzk6xviNM8",153,250
"Great to be back in the Earth gravity. Rehabilitation at NASA JSC is going well.  Technical debriefings in Houston continues.",148,228
"今日ISSを発ち、地球に帰還します。暗黒の宇宙に浮かぶこの青く美しい惑星が故郷であることを有難く感じます。半年間の滞在中応援有難うございました。 http://t.co/UxcQba4PSi",12794,12270
