tweet,retweetsCount,favoritesCount
"Join us for a stroll in the vacuum of space! MT @NASA @Commercial_Crew https://t.co/e5CMvh3YMi http://t.co/n1muuPyn7x http://t.co/rMU22E94YL",37,47
"RT @ZINTechnologies: Good to see @Astro_Wheels today! Big part of our ZIN @NASAglenn #ISSFCF Team success! http://t.co/RKuYfsRm1O",4,0
"Thanks @Stanford &amp; @StanfordSSI for launching dreams &amp; investing in tomorrow! @Space_Station @MadeInSpace @ISS_CASIS http://t.co/qXBePjvpyO",12,33
"Excited to be with you to share our #JourneytoMars MT @scottbudman: @Astro_Wheels on living aboard the @Space_Station http://t.co/s4cjDC7lMS",8,15
"RT @getricknow: Great talk by astronaut @Astro_Wheels about life on the #ISS and microgravity research deployment @Stanford  #science http:…",8,0
"On campus at @stanford storytelling &amp; working with @StanfordSSI to turn innovative ideas into revolutionary science! http://t.co/BC1KvapA9R",41,69
"RT @Space_Station: Briefing on #NASATV today at 2pm ET to look at 3 upcoming spacewalks. Have a question? Use #askNASA and watch on http://…",31,0
"RT @NASA_Astronauts: .@Astro_Wheels faces off with a future Explorer at the start of Destination Station Bay Area #ISSfan http://t.co/MWVGV…",70,0
"RT @KPGarfield: We're proud to welcome @NASA, @Astro_Wheels, @ISS_CASIS to GC today!  @KPDigitalHealth @KPShare #DestinationStation",15,0
"There is a bright new dawn breaking for the bold and daring; join @NASA_Johnson &amp; @ISS_CASIS as we accelerate dreams! http://t.co/wAF6fY971Q",25,44
"RT @NASA_Johnson: #BayArea from space! See @astro_reid, @Astro_Wheels &amp; learn about #ISS in the area this week: http://t.co/nzsbfJEKCG http…",220,0
"Excited to join with dreamers at @KPShare @Stanford &amp; @StanfordSSI Imagining the endless possibilities! #SanFrancisco http://t.co/HpuDnXnn9R",62,129
"Congratulations, Chris! We are proud of you &amp; miss you in Houston! MRT: @Astro_DavidS: Order of Canada @Cmdr_Hadfield http://t.co/CTTuJJZryq",2,7
"RT @foreman_mike: ATV-5 undocking filmed by @AstroTerry  http://t.co/E8XkAftgVG",18,0
"Thank you, @swedishgurl I feel there is poetry in all of us, we just need to be still, notice the beauty in simple moments &amp; tell our story.",4,12
"Stardust in a vast sea...on a mote of dust...in a sunbeam - Happy Valentine's Day!  Ever thine Ever mine Ever ours http://t.co/3POdKpSUVq",110,193
"I didn't make the calendar @AstroDocScott @geoffryken But way down in the bottom left corner of our STS-120 montage.. http://t.co/f8Gak5Wd8o",3,10
"Resistance exercise is also a critically important part of our countermeasures in space. http://t.co/CBLUDOcIqi @bodyfit67 cc: @ISS_Research",27,29
"I was hiding &amp; took this photo of my buddy @AstroDocScott saving the #ISS! ;-) MT @geoffryken: http://t.co/qpP3HmpT1f http://t.co/9P7C4QBYTt",106,167
"RT @tariqjmalik: Everything about these @SpaceX photos of #Earth from #space is awesome  http://t.co/x1ZQqyZj2U http://t.co/TOxALRjnQf #Dsc…",28,0
"We plan a cardio workout daily in space &amp; February is 'Cardio Month' on the #ISS. Here is a look at our T2 treadmill. http://t.co/ltU75BDEP1",35,41
"RT @elonmusk: Rocket soft landed in the ocean within 10m of target &amp; nicely vertical! High probability of good droneship landing in non-sto…",4403,0
"RT @NASA: Are you watching? Live coverage of @NOAA &amp; @NOAASatellites' #DSCOVR launch, set for 6:03pm ET: http://t.co/TZKSZMQKkm http://t.co…",559,0
"RT @NOAASatellites: #DSCOVR: Picture perfect day at the CCAFS.  http://t.co/MnZ0j9rocK http://t.co/vFLTEBTiPY",78,0
"Bringing space to the San Francisco Bay Area! Join us &amp; explore the endless possibilities! @Space_Station @NASA #ISS http://t.co/qMw53jdrud",9,21
"RT @esa: CORR tme : Lift off for #Vega VV04 with #IXV at 14:40 CET ! http://t.co/9CWiKxJ4TU",89,0
"RT @esa: LIVE NOW: Follow the launch of #Vega VV04 with @ESA_IXV #IXV http://t.co/PPxhN7tuPq http://t.co/bZXDzBZUia",149,0
"RT @Space_Station: NASA is bringing wonders of #ISS &amp; @Astro_Wheels and @astro_reid to the Bay Area Feb. 17-20: http://t.co/zXdr6ZtURw http…",68,0
"@Ian_Benecken ~17:12 GMT @Cosmic_Penguin  We must be precise with the release, and plan for ~2 hours of margin from the umberthing sequence.",1,1
"@Brigitte_Ba  It is a SpaceX shirt...and time will tell if I'll get a chance to ride to space on a Dragon...stay tuned...  ;-)",2,4
