tweet,retweetsCount,favoritesCount
"RT @Landshovding: På plats på @skolverket med @Anna_Ekstrom o @CFuglesang för att berätta om Astronautkonferensen o #motnyahöjder http://t.…",3,0
"Bra möte på Skolverket om hur vi kan använda inspiration från rymden för att stimulera elever och lärare på alla nivåer.",10,15
"ElFy - arbetsmarkmadsdag. Info on KTH Rymdcenter, MIST &amp; Aerospace engineering master. MIST team lead Vincent värvar http://t.co/2MGvJBXQ73",0,0
"MIST payload kick-off at KTH. 8 p/l:s to fit on our 3U Cubesat, built by students. P/l fr scientists and industry http://t.co/YvyL9RJgzk",1,1
"Umeå Univ 50 Jag hedersDr där 1999. De satsar på prog att stödja elitidrottare&amp; studier. Rektor&amp; 2 elitidrottsstud. http://t.co/wx0rokJRQO",1,1
"RT @Malin_2013: @CFuglesang hälsning till Hackebackeskolan i @Lessebokommun uppmärksammas av @Smalandsposten  http://t.co/naNVNkrkum #motny…",6,0
"@HenkeSderlund Man blir längre i rymdens tyngdlöshet. Nu är jag tillbaka till normallängd:-)",0,1
"Nya 'rymdministern' Helen Hellmarrk Knutsson &amp; jag &amp; jag vid bra besök på Utbild.dep. idag. Känns spm stöd finns! http://t.co/NxqhKrQDur",3,11
"MIST KTH student satellite Kick-off today. Program manager Sven Grahn has started  blog about https://t.co/5zG2PCd6yD",1,0
"@JJarnald oj så många fina rymdraketer! Bra jobbat, klass 1C",0,2
"Bra att alternativmediciner diskuteras igen. Noterade att vår debattartikel fr 2011 är igen en av de mest lästa http://t.co/GmQ2oEOr6F",2,2
"RT @carlbildt: Here Hans Rosling on some of the trends shaping our world. Always interesting. #wef15 http://t.co/vBXWx3B8WO",61,0
"RT @rymdkanalen: Pluto får ny horizont! Farkost på väg mot yttre solsystemet! http://t.co/hbVevLh6mP #space",1,0
"New term at KTH. I'm going to 1st lecture of my course on Human Spaceflight. This yr the students will design a moon base",5,10
"RT @rymdkanalen: Rymdfarkosten #Beagle2 hittat på #Mars efter 12 år! Den verkar ha landat oskadd http://t.co/fooP6ufVgU #rymden http://t.co…",3,0
"RT @SPACEdotcom: See @SpaceX's Rocket Landing Crash Up Close with These Photos &amp; Video http://t.co/nVPBrXGFvG http://t.co/2yLgeN9FiG",86,0
"Bra skrivet om GMO av @AnnaMariaCB http://t.co/YlGYIa9fpz  GMO behövs och vi måste förklara för de som oroar sig, inte böja för ovetenskapen",23,18
"RT @magdarasmusson: Idag på rymdcentret vid KTH. Många spännande diskussioner om hur forskning och observationer av rymden… http://t.co/zNI…",2,0
"Tycks ha varit falskt alarm på ISS. Skönt inget värre, men detta ledde till ovanligt mycket besvär.",4,1
"@ShuttleAlmanac Thanks. ISS is a fabolous place/construction/lab/home for astronauts",5,6
"Alltid säkerheten först! Därför utrymde &amp; isolerade ISS-besättningen delen där det möjligen kunde varit en ammoniakläcka vid larmsignal.",4,0
"RT @BreakingNews: NASA clarifies no ammonia leak has been confirmed on ISS; crew responded to water loop and cabin pressure - @NASA http://…",135,0
