tweet,retweetsCount,favoritesCount
"Well done Terry &amp; Doug! MT @Honeywell_Aero: 2 recieve @NASA_Astronauts' #SilverSnoopy award:  http://t.co/SSHf3jQ6qS http://t.co/VmwG2yN1GC'",4,7
"Good Luck Scott, looking fwd to your launch next month! MT @StationCDRKelly: Goodbye #USA. See you in 2016! #ISS1Year http://t.co/79cuSbTr3B",14,28
"W/@CommercialCrew  &amp; @NASA_Orion more than any time in my career ! MT @BessieElder: What are you building these days? http://t.co/rsjl0lJ82Z",13,15
"Cool time-lapse of Pluto &amp; wobble caused by #Texas sized moon Charon! Via @NASANewHorizons: http://t.co/CCC5R5J4Ly http://t.co/ecBPEh6yQa",55,60
"You can go about your business. Move along... MT @StationCDRKelly: These are not the droids you are looking for. http://t.co/cMiesGh9nn",8,12
"How many Missourians knew the Spirit of St Louis impact crater was along @MarsRovers marathon? http://t.co/9HtQpGnZX9 http://t.co/YJDzpfKQAW",43,47
".@NASA_Hubble finds a galactic cluster smiling back: http://t.co/NwtdhNsm1x http://t.co/zyPF9zniBX",31,37
"Awesome these made it to the #Smithsonian! MT @airandspace: Armstrong's #Apollo11 'purse': http://t.co/99ESopkf4f http://t.co/3VJmwqN3rK",8,12
"Great work @AstroSamantha, @AstroTerry, &amp; #AstroButch! MT @Space_Station: @SpaceX #Dragon headed for the Pacific: http://t.co/65oH1tkvQt",40,62
"Congratulations to @Astro_Kate7, Kimbrough, Whitson, &amp; the rest of the new #Soyuz crewmembers! http://t.co/128T9iI0I3 http://t.co/S0sDcG9DoQ",15,17
"Looking fwd to the view from out there! MT @NOAA: Will take ~110 days for #DSCOVR to reach L1. http://t.co/6h5zT2gWkl http://t.co/qd05fFKOi3",4,11
"1st images from STS-130 showed discarded tank venting propellant. Found out I'd captured this rare treat post flight! http://t.co/dEwuqtFkyD",28,45
"Our Earth's color palette is amazing! MT @NASA_Astronauts: “As far as the eye can see #Africa” #AstroButch http://t.co/PLmYk3WB45",24,23
"RT @NASA: What's up for February? Planetary pairs grace the sky in time for Valentine’s Day: [video] http://t.co/VNWK8I2FXE http://t.co/J07…",1189,0
"We've got a few more #Soyuz crews headed to #ISS that we'll be adding here soon: http://t.co/BVWdICmlKM",4,5
"Mapping lakes of methane via sunglint, ingenious! MT @apod: Titan Seas Reflect Sunlight: http://t.co/O1o7WLwPts  http://t.co/okpuqxw5JX",17,16
"Honored to carry on their legacy. MT @NASAhistory: #Remembering the crew of Space Shuttle Columbia STS-107 http://t.co/hsQxI1apfL",6,23
"RT @nasahqphoto: The @ulalaunch Delta II rocket launches with @NASASMAP! #EarthRightNow See other photos: https://t.co/XMAZdejRRO http://t.…",509,0
"So much captured in single shot, nice one Sam! MT @AstroSamantha: Good night from #space! Buona notte dallo spazio! http://t.co/jzd6WyTXWD",46,58
"Seven astronauts flew in this year's tribute to honor our own. MT @SpaceCenterHou: Missing man formation over JSC. https://t.co/zh8XW7OJOF",12,21
