tweet,retweetsCount,favoritesCount
"RT @ESA_de: Raumfahrtkoordinatorin @brigittezypries freut sich auf @Astro_Alex vor 500 Schuelern in #darmstadt ! #BlueDot http://t.co/RflCm…",10,0
"RT @esa: Hmmm, seems to be something afoot at @ESA_EAC this weekend... #SpaceInvader #space2iss https://t.co/sQoBgsCBs9 http://t.co/pBWkgQ0…",48,0
"Today, 16 years ago, Léopold Eyharts launched on his 1st space flight, Franco-Russian Pégase mission to MIR.   http://t.co/ff7cmEquhj",4,3
"Today, 15 years ago, Claude Nicollier and Jean-François Clervoy lifted-off on STS-103, 3rd Hubble Servicing Mission. http://t.co/HGmzwpUNrM",3,0
"RT @GrandsireESA: If U want 2 watch again this unique event #ISS1year feat. @StationCDRKelly @Astro_Andreas @Astro_Soichi @Astro_Jeremy htt…",27,0
"Today, 4 years ago, ESA astronaut Paolo Nespoli, launched on Soyuz TMA-20 for his MagISStra mission to the ISS. http://t.co/yAoLzAUd7g",2,5
"Today, 8 years ago, ESA astronaut Christer Fuglesang launched on ISS mission 'Celsius'-becoming 1st Swedish in space. http://t.co/nR6qvNDcuZ",1,2
"Today, 31 years ago, Ulf Merbold launched on STS-9/Spacelab-1, becoming the first ESA astronaut on a Space Shuttle. http://t.co/B42J6FkR1Y",6,5
"Today, 26 years ago, Jean-Loup Chrétien launched for his 25 day-long Aragatz mission to Mir orbital complex. http://t.co/XKP1LUo7ed",2,2
"Do not miss: Journey to the ISS Part 2: Soyuz rendezvous and docking explained: http://t.co/cXkKbK3oaB",11,14
"Today, 20 years ago, Jean-François Clervoy launched on Space Shuttle Atlantis STS-66 for his ATLAS-3 mission.    http://t.co/a2OOjY8oMQ",3,3
"Today, 12 years ago, ESA astronaut Frank De Winne launched on Soyuz TMA-1 for his Odissea mission to the ISS. http://t.co/07FZaTPO9Y",3,3
"Today, 29 years ago, Reinhold Furrer, Ernst Messerschmid and Wubbo Ockels launched on Spacelab D-1 STS-61 A mission. http://t.co/tcOxr4I2aB",2,2
"Today, 16 years ago, Pedro Duque launched on board Shuttle Discovery STS-95 making him the first Spaniard in space. http://t.co/g5nsqa4t1L",2,2
"Today, 7 years ago, ESA astronaut Paolo Nespoli launched with STS-120 on his Esperia mission delivering ISS-Node 2. http://t.co/X8I3NqkR6T",4,1
"Today, 13 years ago, ESA astronaut Claudie Haigneré launched on Soyuz TM-33 for her Andromède mission to the ISS. http://t.co/Qhy3nuKZTM",3,3
"Today, 19 years ago, Thomas Reiter launched on his record-breaking 179 days Euromir’95 mission to Mir orbital complex.http://t.co/MD9hKZRHl3",25,20
"Today, 5 years ago, Christer Fuglesang launched with SpaceShuttle Discovery STS-128 on his Alissé mission to the ISS. http://t.co/Qgrzxjijmk",3,6
"Today, 36 years ago, Sigmund Jähn launched with Soyuz 31 to Salyut 6 space station, becoming the 1st German in space. http://t.co/F7mNCt7LLb",6,5
"Today, 18 years ago Claudie André-Deshays launched on her 1st space flight - 16-day Cassiopée mission to Mir station. http://t.co/jWX53x7jVT",4,4
"Today, 15 years ago, Michel Tognini, launched on Space Shuttle Columbia STS-93, deploying Chandra X-ray Observatory. http://t.co/hDtD5SNqTn",1,2
"Today, 45 years ago, Apollo astronauts Armstrong &amp; Aldrin set foot on Moon. Nice remarks by mission pilot Collins: http://t.co/l4JMdzbTsX",3,2
"Today, 45 years ago, Apollo 11 launched from Cape Canaveral to aim for the first human lander mission on the Moon.  http://t.co/9e7CCFGBQ8",41,24
"8 years ago, Thomas Reiter launched with his Astrolab mission on the first European long-duration flight to the ISS. http://t.co/bY4CgQkPRW",1,2
"21 years ago, Jean-Pierre Haigneré launched on board Soyuz TM-17 to Mir orbital complex on his 21-day Altair mission. http://t.co/ouWkKDSqe7",0,0
"Today, 36 years ago, Miroslav Hermaszevski flew onboard Soyuz 30 to Salyut 6, becoming the 1st Polish in space. http://t.co/Ien8Sk9Olk",1,1
"32 years ago, Jean-Loup Chrétien became the first French in space - flying with Soyuz T-6 to Salyut 7 space station. http://t.co/jkAROnwJkl",3,1
"Today, 29 years ago second French astronaut Patrick Baudry flew on mission STS-51G, deploying Spartan-1 free-flyer. http://t.co/DSPv3UUEDR",1,1
"Congratulations Valentina! Your milestone mission 51 years ago paved the way for all the women who have been flying into space after you!",2,3
"Today, 12 years ago ESA astronaut Philippe Perrin flew on mission STS-111 Space Shuttle Endeavour to the ISS (UF-2). http://t.co/SdcY6kddze",5,5
"@_SamJacob @Astro_Alex thank you Sam, it is a about takink a peice of our identity to space!",0,0
"Today, 5 years ago, Frank DeWinne, took-off for his 6 month OasISS mission becoming the first European ISS Commander. http://t.co/xyQTDGHGDV",0,2
"Today, 3 years ago, Roberto Vittori launched on STS-134 to the ISS. His DAMA mission installed AMS-02 to the Station. http://t.co/SVy05Te8An",0,1
"Today, 17 years ago, Jean-François Clervoy launched on STS-84 - NASA's 6th Shuttle mission to MIR orbital complex. http://t.co/CZorCeGq7u",2,0
"Today, 33 years ago, 1st Romanian cosmonaut Dumitru Dorin Prunariu launched to the Russian Salyut 6 space station. http://t.co/wmXWUAPUc8",2,0
"Today, 12 years ago, ESA astronaut Roberto Vittori returned from his 10-day mission Marco Polo. http://t.co/af7dEZx95F",0,0
"21 years ago, Hans Schlegel &amp; Ulrich Walter launched on STS-55 Spacelab D2 mission conducting 88 intern. experiments. http://t.co/4SwomdnQ5J",6,9
"RT @DLR_de: Vorsommer auf dem DLR-Gelände in #Köln (+Europäisches Astronautenzentrum  @ESA_EAC) #MeteoFriday @EU_Commission (FW) http://t.c…",6,0
"Today, 9 years ago, ESA astronaut Roberto Vittori returned from the ISS ending his 10-day Eneide mission. http://t.co/b2abhqFfl9",3,2
"Today, 10 years ago, André Kuipers launched for his DELTA mission to the ISS becoming the second Dutch man in space. http://t.co/dFZRT1mq6e",1,1
"Today, 13 years ago, Umberto Guidoni launched with STS-100 to the ISS, making him the first European on the Station. http://t.co/uGFU38nNVM",4,2
"Congratulations @Astro_Alex on finishing your mission training. We look forward to your #BlueDot launch in 47 days! http://t.co/Duv4O4KJJK",12,9
"RT @social4space: Our blog update w/ links to all the channels you can use to follow today's #LucaTweetUp http://t.co/Q12Z7IMwYv http://t.c…",31,0
"RT @Astro_Alex: Actually, this was my favorite slide! @ESA_EAC @ISS_Research http://t.co/FNL9cqT6UW",16,0
"@Litsas Of course, we are both right! Luca launched 28 May at 20:31 GMT and Kazahkstan is 5 hours ahead which would make it 29 May :)",1,0
"@minlarrycornel Hi! @Astro_Alex tweets in both English and his native German so everyone gets a chance to be part of his #BlueDot adventure.",0,1
"For our German speakers, @p_remke has created a Storify timeline of @astro_luca's #Volare mission launch in May 2013: http://t.co/mUizEx1Wab",4,2
"Did you know @Astro_Alex will be launching his #BlueDot mission on May 28, the same date @astro_luca launched his #Volare mission in 2013?",1,4
"L- 48: @Astro_Alex prepares for a Space Headaches experiment; a test to see if zero-G causes headaches. @ISS_Research http://t.co/xDM3rKcXzV",19,17
"With only 48 days until launch, @Astro_Alex is here for his final week of @ESA_EAC training: http://t.co/g0s7cwpZAg http://t.co/lLWqmwtWuP",17,16
"Speaking of @astro_timpeake, here he tells @Raleigh_ how #sustainability is at the heart of #space travel. Article: http://t.co/lLwLsvU9Cs",3,3
".@Astro_TimPeake is here this week training for his 2015 #ISS mission. Follow his activities: http://t.co/CN14QLPDuF http://t.co/AIeAxYjWDy",19,22
"Today, 22 years ago, 1st Belgian in space Dirk Frimout returned from his 9 day-long STS-45 ATLAS-1 Spacelab mission. http://t.co/HDjdRhUz0K",0,0
"Did you know our #astronauts have their very own social media hub? Bookmark it, share it with your friends, enjoy!  http://t.co/3EEm4tNZLy",4,3
"Both the #BlueDot and #Futura missions will have over 39 #ISS experiments each. Here are a few of them: https://t.co/Rj316BvVv6",2,3
"@JustBe74 @AstroSamantha @Astro_Alex We're already looking into it :) @esa",0,0
"An experiment to be done on @AstroSamantha's #Futura mission is Brain-DTI; how the brain is transformed after a long duration spaceflight.",3,4
"Learning how our skin ages in zero-gravity - one of the experiments to be done during @Astro_Alex's #Bluedot mission: http://t.co/aDI4XetboP",1,1
"RT @Romain_CHARLES First time that @esa has 2 missions back to back: #Bluedot &amp; #Futura. A lot of science for 12 months",1,1
