tweet,retweetsCount,favoritesCount
"@The_Mynxie_one @smartereveryday You are tweeting @ISS_Research (and we are exited that @smartereveryday will be sharing space with YOU)!",0,0
"@paulwiedemeier @smartereveryday And see this answer by @Cmdr_Hadfield: https://t.co/6PuKmoWn9Z",0,0
"@paulwiedemeier @smartereveryday Or there's spaceball: https://t.co/Qzs0qluMe7",0,0
"@paulwiedemeier @smartereveryday Here's a little chess game in space: http://t.co/e5eM1ayT5l",0,0
"@cncmasterw @smartereveryday The idea is for YOU to suggest an experiment to do in space!",0,0
"@justbraff @smartereveryday Hi Brian! The idea is for YOU to suggest an experiment!",0,0
"@WinstonChiang1 @smartereveryday The book is a very good depiction of moving in microgravity!",0,0
"@drassenov @NASA The information is publicly available, though this particular journal article may not be free.",0,1
"@drassenov @NASA These publications should have abstracts available to read: http://t.co/SVPdMMqE6m",0,1
"@zootalors @smartereveryday We have brought jellies to space! http://t.co/GutOL2OPFC",1,1
"@CoryFaris @smartereveryday We are definitely still thinking about this one!",0,2
"RT @AstroSamantha: Sometimes to look things #upsidedown is the only way to see them for what they really are.Happy birthday #Copernicus! ht…",345,0
"RT @MadeInSpace: This CubeSat clip 3D printed on @Space_Station can be used to assemble electronics boards on-orbit Image credit @NASA http…",46,0
"@RogueVampyre @smartereveryday Great! Ready for a weekend spacewalk!",0,0
"RT @tweetsoutloud: My friend @astro_kjell, ladies and gentlemen. #Expedition45 is going to be fun. http://t.co/aUfrqzN24H",12,0
"RT @ISS_CASIS: DYK: Studying worms in space can help us better understand how to counteract foodborne illness http://t.co/5HdlNKBedd http:/…",26,0
"RT @ISS_CASIS: .@Asto_Reid stopped by @BloombergWest to talk space station life, rockets, and space science: http://t.co/hdosVw6Bw8 http://…",35,0
"@AliFejzagic @smartereveryday The idea is for YOU to suggest an experiment!",0,0
"RT @Space_Station: Scientist studies #cardiovascular health in @NASA_Astronauts on @Space_Station which benefits people on Earth... http://…",73,0
"@ozzyawesome @smartereveryday Hi Ozzy! What's your suggestion?",0,0
"@ronfurg @smartereveryday Oh come on - I'm sure you can think of a good idea!",0,0
"@JulienLucot @smartereveryday Julien - do you have an idea for an experiment?",0,0
"Hear about one of our #ISS #heart health investigations #OffTheEarthForTheEarth in today's Space Station Live! http://t.co/sQb9U9HShY",9,15
"@ronfurg @smartereveryday Ron, do you have any ideas?",0,0
"@ibrahimsofii @smartereveryday The idea is for YOU to suggest an experiment! What do you think we should do?",0,0
"@RichardFPenn @UKSpaceEA @NASA Hmm. We have grown many types of plants in space - so I bet it would!",0,1
"@michielh @smartereveryday Partial answer: http://t.co/QcPKoEJzBg",0,0
"@MightyFine89 Yes!  Spice it up, please!",0,3
"@littlemrsmonkey @smartereveryday Mmm, good idea! How should we do it?",0,0
"@jakootako @smartereveryday Jako - what is YOUR idea for a cool science experiment in space?",0,0
"@ianu_goanta @smartereveryday What is YOUR suggestion?",0,0
"RT @AstroTerry: New #moon setting behind the Progress solar arrays http://t.co/vODQl7dmg3",351,0
"@Cody_Manshack @smartereveryday How about a zucchini? https://t.co/hSNapvdKGk",0,0
"@GamingAtheist @smartereveryday Hi Chris! It's your turn to pick an experiment to do in space.",0,0
"RT @AstroTerry: #SpaceCheeseburger.  Beef patties, Russian mustard, tomato paste, cheese paste, and tortilla. VERY TASTY! http://t.co/OrJ7K…",339,0
"@MightyFine89 They don't lose sense of smell, but aromas don't rise from food to the nose. Convection doesn't occur in microgravity!",1,4
"@Ghunisht @smartereveryday Ghunisht - do you have any good ideas for an experiment to do in space?",0,0
"@CosmosCraig @ForgetAmnesia @AstroTerry @adam_orth 3) Perhaps taste bud physiology is different in microgravity?",0,1
"@CosmosCraig @ForgetAmnesia @AstroTerry @adam_orth 2) Stuffy sinuses due to fluid shift in body, like having a head cold!",0,2
"@CosmosCraig @ForgetAmnesia @AstroTerry @adam_orth 1) Lack of convection preventing aroma delivery to nasal passages.",0,3
"@CosmosCraig @ForgetAmnesia @AstroTerry @adam_orth Yes! Taste is diminished in space but we don't know why! Could be because of...",0,3
