tweet,retweetsCount,favoritesCount
"[release] Mutual Cooperation Agreement between Japan Aerospace Exploration Agency and Japan… http://t.co/0AycuH7U5x http://t.co/LBZi1Icqhz",7,10
"[International Space Station (ISS) / Kibo Site] ISS R&amp;D Conference 2015 (July 7-9, 2015, in Boston) http://t.co/sjsOkDKxD4",7,4
"[JAXA President Monthly Press Conference] JAXA President Monthly Regular Press Conference January 2015 http://t.co/XYWQEZZtVQ",3,7
"[International Space Station (ISS) / Kibo Site] JAXA Astronaut Activity Report, December, 2014 http://t.co/dGLlcKuwwM",10,7
"[release] Venus Climate Orbiter “AKATSUKI” Re-injection to Venus Orbit and Observation Plan http://t.co/mB0v9NMBaV http://t.co/6dBIofwAAJ",42,32
"[release] Venus Climate Orbiter “AKATSUKI” Re-injection to Venus Orbit and Observation Plan http://t.co/pW36uI6Lt8 http://t.co/JJvIGoVjsU",26,15
"[Aerospace Research and Development Directorate] Component catalog http://t.co/DcB2lTEyH2",5,5
"[International Space Station (ISS) / Kibo Site] Brazilian AESP-14 CubeSat was deployed from Kibo http://t.co/wEpvoRmaXs",11,10
"Congratulations! The Brazilian CubeSat was deployed from Kibo. We'll keep enhancing the cooperation with Brazil. http://t.co/zhzDwfYgY1",165,187
"[New Enterprise Promotion Center] JAXA Showcased the latest technologies available for Industry at the APRSAF-21 http://t.co/jbuChPGiA2",7,4
"[Topics in Your Area] CubeSat deployment from Kibo http://t.co/3Z6eFq9QXj",7,12
"[Satellites and Spacecraft] Hayabusa2 in great shape – Initial functional confirmation going smoothly #hayabusa2 http://t.co/ao0ijuoxAu",22,14
"[Institute of Aeronautical Technology] Numerical analysis technology http://t.co/MEchShRVn7",2,2
"[Earth Observation Research Center (EORC)] ALOS-2/CIRC data is open to public! http://t.co/bf5OMxqXD4",13,8
"[Special] Interview: Thomas Djamaluddin, Chairman of the LAPAN, Using Space Science to Solve Problems Across the… http://t.co/HHVKR0X8DD",6,4
"[Institute of Aeronautical Technology] [FEATHER] JAXA begins flight tests on its electric propulsion system for… http://t.co/wdz0TcduEg",8,9
"[Topics in Your Area] SSPS to be exhibited at JAXA booth at WFES2015 (in Abu Dhabi) http://t.co/8LWxa1ISmr",9,8
"[Topics in Your Area] SSPS to be exhibited at JAXA booth at WFES2015 (in Abu Dhabi) http://t.co/C29YWys2Zi",3,4
"[International Space Station (ISS) / Kibo Site] JAXA Astronaut Activity Report, November, 2014 http://t.co/0FGmoCaUID",5,5
"[Organization] JAXA Organization Chart (As of January 1, 2015) http://t.co/RCElPKRrHf",4,3
"[International Space Station (ISS) / Kibo Site] Call for proposals on 'Try Zero-G' http://t.co/LmgFOBwuKk",3,7
"[Gender Equality Office] Results from networking events http://t.co/8wpCGiq0ik",1,1
"[International Cooperation] APRSAF-21 successfully held in Tokyo http://t.co/yqjyyPKqwP",7,5
"[release] How is Solar Wind Caused? Venus Climate Orbiter 'AKATSUKI' Elucidated Solar Wind… http://t.co/xntmIUvNhr http://t.co/9u0Zndacjf",17,15
"[release] Launch Result of S-520-29 Sounding Rocket http://t.co/GdmQUruFgu http://t.co/Hl7qjJSoju",7,7
"[release] 'IBUKI' (GOSAT) Satellite's Historically Unprecedented Observation of… http://t.co/xDATFz7Zxp http://t.co/i3dCIG8wbH",5,9
"[Special] Interview: Hitoshi Kuninaka, Project Manager, Asteroid Explorer Hayabusa2 #hayabusa2 http://t.co/06dsHP3tqD",3,3
"[Coglatulations MESSENGER!] Join the clebration by entering competition to name a crater on Mercury. http://t.co/KCv72aM4rJ",7,6
"[International Space Station (ISS) / Kibo Site] 'Pride' Tracing Japan's manned space activities http://t.co/3Y0tbT0jDa",7,9
"[JAXA President Monthly Press Conference] JAXA President Monthly Regular Press Conference November 2014 http://t.co/2Vv2D8fiGb",2,6
"[JAXA President Monthly Press Conference] JAXA President Monthly Regular Press Conference October 2014 http://t.co/Dzg0gO8rwW",1,3
"[International Space Station (ISS) / Kibo Site] JAXA Astronaut Activity Report, October 2014 http://t.co/Gwq2uanMDX",6,8
"[International Cooperation] -Strengthen Relationships in Asteroid Exploration- http://t.co/dXbmtCYJ9a",5,5
"[Satellites and Spacecraft] Launch of Hayabusa2 Quick reviewed movie #hayabusa2 http://t.co/woobBJYq9p",25,20
