tweet,retweetsCount,favoritesCount
"RT @NASAexplores: Today we honor the legacy of those who gave their lives to push the boundaries of space exploration. #NASARemembers http:…",170,0
"RT @NASA: DOWNLOAD our new #iOS 3DV app, previewing our #JourneyToMars! http://t.co/Gi9VHA4Ccd  #Android version is work. http://t.co/1I2KZ…",268,0
"RT @NASA_NTL: NEW @NASA CHALLENGE! Can you design a handrail clamp assembly for the @Space_Station w/ @NASA3DPrinter?! http://t.co/u4asOxPG…",15,0
"RT @SpaceDigest: 2014 Space Review in Cakes, Sweeties and Toys https://t.co/cPI9CwSZj0 @MorpheusLander @ATK @NASAKennedy @DigitalGlobe http…",5,0
"RT @DiegoArgus: See CAI's post on the #ALHAT test aboard the @MorpheusLander @jmcarson3 @jayestes https://t.co/qiAwoiJMg0",2,0
"RT @timmermansr: The 1954 Rolls Royce 'Flying Bedstead' must be the grandfather of @MorpheusLander! Similar in size, but manned! http://t.c…",6,0
"Thank you ALHAT! “@OperationMars: @MorpheusLander Awesome.  I love that the lander selects it's own landing spot and lands itself.”",4,7
"@TrevorMahlmann We typically always have interns working on Morpheus, but with tests winding down, not sure about this coming summer.",0,1
"@astronomeara Great question for @jmcarson3 of ALHAT!",0,0
"@Ottrocity Not exactly sure, but probably in the 120 - 130 db range.",0,0
"@theglitzkrieg AKA #spitstorm",1,2
"VIDEO! Watch official Morpheus video showing ALHAT scan, select, &amp; land the vehicle! AMAZING TECHNOLOGY! #321TechOff http://t.co/lj4NnZtFmM",85,55
"RT @NASA: What's that in the sky? Our @MorpheusLander soaring 800 feet for test @NASAKennedy. Watch: http://t.co/0UlewKlVOi http://t.co/REq…",766,0
"RT @KuantumwithaK: @MorpheusLander The best looking test platform in @NASA history I think. Can't wait to see what Morpheus and ALHAT leads…",3,0
"RT @bonzack: 2 photographs I took collaged with other images posted by @MorpheusLander. Check out the dust cloud it kicked up! http://t.co/…",1,0
"Memories of yesterday. Enjoy these photos from Free Flight 15... #JourneytoMars http://t.co/omlyDmAJwo",13,21
"RT @NASAexplores: Garden robots &amp; collapsible 3D printers?! Congrats student teams completing the 2014 X-Hab Challenge. #Journeytomars http…",15,0
"Never know!! ;) “@flatoday_jdean: Encore? Yesterday's @MorpheusLander flight might not have been last at KSC after all...stay tuned.”",7,5
"Great Article! “@Florida_Today: NASA's @MorpheusLander completes successful final test at KSC http://t.co/4dcEPC3QKG http://t.co/GBhbeimpZF”",42,42
"@AmyAmylou1993 @SANEAlex_ You did, but we will post video later, right Alex?!",0,1
"@MrTBshaw That's a very good question! I've been yelling as loud as I can about Morpheus! ;)",0,3
"@MichaelPelleti5 If they wanted it, I suppose! Not sure of the rules there though.",0,0
"RT @NASAexplores: Congrats @MorpheusLander for a successful Free Flight w/ALHAT successfully navigating &amp; landing vehicle! #321TechOff http…",43,0
"@cosmos4u Check @NASAexplores for other advanced exploration systems projects. It's a new account that will ramp up to highlight technology.",0,1
"@cosmos4u going beyond low Earth orbit. The fuels are such that they could potentially be mined (ISRU) on other planetary bodies.",0,0
"@cosmos4u The technologies are scalable to other vehicles, not just this lander design, so ultimately they can be used on other crafts...",0,0
"@cosmos4u ...with commercial companies thru a Space Act Agreement",0,0
"@cosmos4u ALHAT is our primary payload for these tests - and hopefully that will move forward to become flight hardware. We also tech-share",0,0
"THIS“@timmermansr: The NASA @MorpheusLander is a Lunar/Mars/Asteroid lander technology testbed. Read all about it at http://t.co/l6Lqm0a0jV”",11,11
"@cosmos4u @timmermansr Thanks Remco! We mention it often. Not in every tweet. We are a technology testbed. http://t.co/yQdImwjfwu",0,0
"Want more Morpheus?! Support the Lego Ideas set &amp; maybe we can get enough support to get it produced http://t.co/Tx5chBhZow Need 10K people!",19,12
"@hamrickisms Go support the Lego Ideas set, and maybe you can get one (if they produce it!) https://t.co/VguL59SJ7u",1,1
"@sofia_marka The test is complete. We can only hear some chatter between pad crew &amp; test conductor. We'll post a video soon.",1,1
"YES! “@Skye_Schwartz: For those of you asking and do not know what Project Morpheus is, here you go! @MorpheusLander http://t.co/VCgxmJdyAU”",21,24
"@pinkshamrock Oh! You will enjoy it!! TONS of videos! Yeah!",0,1
"@AnneJoLee @SpaceDigest @NASAKennedy Thanks for joining us!!",0,1
"@AtomicD_ Bwhaaa! The lady on the left just looks bored. She didn't help much.",0,1
"@ottaross DOH!",0,0
"@K7al_L3afta Oooh! That would be cool, huh?!",0,0
"@doemaar It appears so! As well as the gal of ALHAT controlling the vehicle for the entire test &amp; choosing a landing spot &amp; flying to it!",0,2
"@DanSpace77 Ooooh! Impressive! On your PHONE!",0,1
"@Koln We wish! No plans yet, but we will continue use Morpheus as a technology tested when we can here on Earth",0,2
"Not to worry! If you missed the test, we will have video later! We'll post here &amp; it will be on our YouTube Channel http://t.co/SukEoEn0OY",19,17
"@pinkshamrock We will have video posted later today or early tomorrow! keep an eye out! It will be on our YouTube too http://t.co/SukEoEn0OY",1,0
"http://t.co/nWvBkxqF6b",58,75
"By the way... WE LANDED ON ALHAT NAV according to @jmcarson3 from ALHAT. 👍",23,34
"RT @SpaceDigest: Go, @MorpheusLander! Good luck with your 15th free-flight test at @NASAKennedy! http://t.co/4LvAA7rIiJ",30,0
"@TacticalAlpha DOH!!!",1,0
"@Koln Jenny. She is also our Systems Engineering &amp; Integration Lead.",0,2
"@JimWay You are wicked smart!",1,0
"@BMdevon When we do go/no go poll, Jenny will do countdown over audio. It varies by minutes when it will start.",0,1
".@Blackprojects Yes! Testing technologies on the lander. Will go ~245m high &amp; ~407m down range!",4,11
"Or this!! “@JenSchuld: Hey guys if you can't get @MorpheusLander live on your mobile devices try @SpaceflightNow. http://t.co/obMZITrMBk”",8,7
"Getting varying reports on live feed. Some excellent, some not great. Sorry we cannot control it, but try this link - http://t.co/5N6v7hcDSq",9,6
"@longtreeroad Sorry! Try this one… http://t.co/5N6v7hcDSq",0,0
"RT @queenborgtweets: @MorpheusLander - streaming fine here - like it's next door. Awesome to watch",3,0
"@filkerdave minutes!",0,0
"@JasonLaneUK So sorry! We know it's piped through many channels to get to the output. We take what they will give us.",0,0
"@longtreeroad Jumpy for some, great for others. Getting varying reports.",0,0
"@Tooboldlygo @CharlesSpearma2 @Koln WOOOHOOO!",1,1
"@egprentice We'd love that. Hard to countdown until after go/no go. It changes a lot.",0,0
"@GianlucaCasponi In minutes. Tune in to hear count! http://t.co/MvLapWjoLp",1,0
"@starmanjb In less than 20 minutes",1,1
"RT @Restrantek: @MorpheusLander @SpaceflightNow is streaming nicely too!",4,0
"@CTFxC_Forever In the hazard field about 407 meters from launch site",0,0
"ALHAT systems powered up and ready for flight. Evacuated pad crew view... http://t.co/0pdSnYlJgT",24,25
"@Tooboldlygo @Koln It's hasn't worked on apart phones or tablets for the last few attempts.",0,0
"@unknownsymmetry Some are and some report excellent feed. Unfortunately it varies, and we don't control it.",0,0
"Big shout out to our friends locked away @HI_SEAS watching the test from afar (simulated Mars?!)!",1,4
"@Koln We get reports of excellent streaming for some and laggy stream for others. It varies, unfortunately.",0,0
"@dogzdad @Gangstalin Nothing so far! Not even mosquitos!",0,1
"Tune in NOW to watch the 15th Free Flight of Morpheus @NASAKennedy ALHAT is driving! http://t.co/hx2XwuoE2J Ignition in ~20mins.",24,13
"@Gangstalin LIVE NOW!  ;)",2,1
"AND WE ARE LIVE NOW! http://t.co/hx2XwuoE2J",25,14
"@Gangstalin There will be - around 20 mins before ignition. The usual spot... http://t.co/MvLapWjoLp",1,1
"RT @jayestes: @MorpheusLander 10mins to hand-valve closure and pad evacuation",4,0
"“@jayestes: @MorpheusLander Leak Checks and Torque Checks are complete!  No issues!”",3,4
"@NickBrockis Targeting 4pm EST. Live stream starts about 20 mins prior. Hasn't been working on smart phones or tablets the last few times",1,0
"RT @jayestes: @jlangdale @MorpheusLander Our loading ports close automatically - just for that reason. But we must close the handvalves, fo…",2,0
"Fuel loads complete... http://t.co/1rNkYmDNxB",33,36
"Target ignition time is 4pm EST (9pm GMT/UTC). We will stream live appx 20 mins before ignition! http://t.co/MvLapWjoLp",42,17
"There is no horsing around allowed at the test site! http://t.co/i39LX1t9G8",13,39
"@rocketcurds Yes! We are coordinating to have one! It should go live ~20 minutes before ignition on our website at http://t.co/MvLapWjoLp",0,0
"RT @jayestes: @MorpheusLander Again, u guys know your rocket testing! Here they are: 1)LOX &amp; 2)CH4 tankers, 3)Vehicle frame 4)batt cart, 5)…",2,0
"Loading fuel! http://t.co/GLdlc52NPF",22,22
"RT @jayestes: @MorpheusLander pic is of our static ground rod just off the edge of the pad.  5 field connections - each to a different thin…",1,0
"Our informed followers rock! Now name the 5 things that have to be electrically grounded in the field. cc: @jayestes http://t.co/ThBqjtHoCo",1,5
"RT @jayestes: @MorpheusLander Its quiet out there right now... The team got ahead in the preps and is pausing operations so we can stay on …",1,0
"@baaspole Audrey would love that!",0,0
"@baaspole That's good and bad?",0,0
"@filkerdave Many of our followers ask for their specific time zones, so we try to post them all at some point or another.",0,1
"Next up!! What in the heck is this?! Name it, and you will get accolades from @jayestes &amp; bragging rights. http://t.co/cIJUMl0VNE",3,5
"@K7al_L3afta It could be that we are piped through so many connections to get to the output. :(",0,1
"@baaspole It'll be our secret! ;)",0,1
"“@jayestes: @MorpheusLander The team is now working a whole series of ALHAT checks on flight batteries to ensure that system is healthy”",0,3
"@baaspole @jayestes Add that to the texts he's sending me Paul! Haha! Whatcha making?",0,0
"@K7al_L3afta Unfortunately that's beyond us. The streaming is controlled at a higher level - we just get what they let us have.",0,0
"RT @jayestes: @MorpheusLander Crew is currently working the 'click checks', ensuring valves and actuators are all responding properly.",2,0
".@K7al_L3afta Targeting 8:30pm GMT!",3,6
"We are working to coordinate live stream. It would go live around 20 minutes before ignition at the usual place... http://t.co/MvLapWjoLp",4,6
"RT @jayestes: @MorpheusLander We can't be close to the vehicle when it's at high pressure so that pull line is over 1000ft long!",2,0
"RT @jayestes: @MorpheusLander It is a valve.  One of these on each tank.  They are used for opening pressure system so we can fill them wit…",3,0
"Deploying the Helium disconnect retract line. (That thing you see 'crawling' away from vehicle just before ignition.) http://t.co/49r6fZcAsY",4,2
"I will pic my favorite answer &amp; @jayestes  will pic the correct answer! “@miryuz_: @MorpheusLander Easy, that's the steering wheel. ;-)”",0,3
"NAME THE PART! See how well you know your vehicle... http://t.co/3Ur6FTfk6f",1,3
