tweet,retweetsCount,favoritesCount
"RT @NASA_Johnson: #Exp40 poses inside #ISS Harmony node. http://t.co/AqA5ShsTag http://t.co/iq1yQydIr0",110,0
"Побалую вас видами космоса #SurMax http://t.co/yLynqhyjQL",136,175
"Ну вот еще кое-что интересное #SurMax http://t.co/G4ParBLY4D",164,180
"Космические пейзажи МКС #SurMax http://t.co/0maI18O12i",108,132
"А вот наш красавец Союз. Самая надежная машина в мире. Будет все время с нами и в ноябре вернёт нас обратно на землю. http://t.co/S2aJqwJpPO",241,161
"Вот вам очередной фотофакт космической действительности http://t.co/7DIUOxOe0r",148,135
"Вот вам очередной фотофакт космической действительности http://t.co/qQSYEiIsXX",88,82
"Еще мы здесь ставим эксперименты над людьми :) #SurMax  http://t.co/4sXsNB2HIa с помощью @YouTube",28,28
"На борту космической станции есть свои архивы #SurMax Вот кое-что из них:) http://t.co/YJqn9M6c7U с помощью @YouTube",35,38
"вот вам еще одно мгновение #SurMax http://t.co/leGFogs1NB",147,152
"А теперь начинаю публиковать фотофиксацию действительности без фотошопа #SurMax http://t.co/PF9knUxm1t",371,311
"Мое обращение к коллегам из #ОПМО #SurMax: http://t.co/vz48eXEdbn с помощью @YouTube",12,11
"Снег среди лета http://t.co/HiUdSL4fs5 с помощью @YouTube",29,24
"Олег @OlegMKS работает с научной аппаратурой «Спектрометр» которую мы используем для изучения  Земли. http://t.co/aSKIOzmbQk",22,34
"Но перед серией фото немного моей реальности #SurMax http://t.co/crpKsCcHJc.",51,38
"Начинаю публикацию снимков которые мне удалось сделать на МКС. Думаю, может быть интересно будет посмотреть. Всё живое никакого монтажа.",41,22
"Всем доброе, дорогие друзья! Долго не писал. Было много работы. Вот кое-что из этого #SurMax  http://t.co/DEQRRp5h5m с помощью @YouTube",46,26
"Некотрые размышления : http://t.co/fwV24tLy5c с помощью @YouTube #SurMax",32,23
"RT @amicableru: ВАЖНО: Губернаторская премия #НашеПодмосковье – новый призыв http://t.co/nRRC3K22d5 #ПремияГубернатора @nashepodmoskove  Уч…",20,0
"Продолжая тему космического здоровья и бодрости духа  http://t.co/AFed07amjU с помощью @YouTube Бодрое утро от #SurMax",20,22
