tweet,retweetsCount,favoritesCount
"See @astro_reid at @ChabotSpace tonight and get a first-hand take on life in space. Details: http://t.co/Y3jZYhfStW http://t.co/vQCQmz0beF",39,72
"RT @AstroTerry: #SpaceCheeseburger.  Beef patties, Russian mustard, tomato paste, cheese paste, and tortilla. VERY TASTY! http://t.co/OrJ7K…",339,0
"RT @AstroTerry: New #moon setting behind the Progress solar arrays http://t.co/vODQl7dmg3",351,0
"RT @astro_aggie: Exciting day @sciencemuseummn today! New #ISS exhibit is amazing!! Fun to film some Q&amp;A w my co-host!! http://t.co/Cchr0Qv…",21,0
"RT @ISS_CASIS: .@Asto_Reid stopped by @BloombergWest to talk space station life, rockets, and space science: http://t.co/hdosVw6Bw8 http://…",35,0
"RT @Astro_Wheels: Join us for a stroll in the vacuum of space! MT @NASA @Commercial_Crew https://t.co/e5CMvh3YMi http://t.co/n1muuPyn7x htt…",37,0
"RT @astro_reid: Not quite a #SpaceVine, but first time flying a drone rocked! Thanks @romeoch https://t.co/o5x0nwgSiL",60,0
"RT @NASA_Johnson: .@astro_reid at the anti-gravity room at @facebook &amp; @instagram while sharing his mission. Tonight, @ChabotSpace! http://…",59,0
"RT @Space_Station: .@AstroTerry &amp; #AstroButch walk outside Saturday to set up #ISS for @Commercial_Crew ports... http://t.co/EvlGbI1DVL htt…",243,0
"RT @Space_Station: @AstroTerry, #AstroButch #suitup for 1st spacewalk on Sat. Botany, medical science for #Exp42. http://t.co/2KbcNqDzJ3 ht…",46,0
"RT @Space_Station: .@NASA mgrs talk about 3 spacewalks to be conducted by @AstroTerry &amp; #AstroButch setting up #ISS for 2 docking ports. ht…",37,0
"RT @Space_Station: Scientist studies #cardiovascular health in @NASA_Astronauts on @Space_Station which benefits people on Earth... http://…",73,0
"RT @Space_Station: Watch @NASA TV at 2pm ET today for US Spacewalk Briefing. #Exp42 conducts spacewalk Friday... http://t.co/ShwzbSM2WB htt…",141,0
"“Ocean #thunderstorm at #sunset” #AstroButch http://t.co/8v7T3jBp0z",113,144
"Join astronaut Wilson at 5:30pm EST, Feb. 18 for Havard's Askwtih STEM forum http://t.co/Won4JNtSeZ http://t.co/q4tXHNiZ4w",31,41
"RT @Space_Station: “It looks like #Earth is pulling these clouds across the ocean.” #AstroButch #SpaceVine timelapse https://t.co/2DD9UElOLy",645,0
"RT @astro_kjell: L-98: Suited descent sim today. Wondering if I can trade in miles for more legroom? #upgrades http://t.co/1o6fUitkva",119,0
"RT @AstroTerry: Growing morning glory to learn how to better grow plants in space- next we will be growing rice http://t.co/yYiufpBAdE",951,0
"RT @AstroKarenN: Have seen it w/ my own eyes, yet still amazed w/ every photo/video. “#Aurora drifts over a cold tundra.” #AstroButch https…",218,0
"RT @foreman_mike: [ISS] Launch of Progress M-26M on way to Space Station http://t.co/RhCu48ACCX",21,0
"RT @KPGarfield: We're proud to welcome @NASA, @Astro_Wheels, @ISS_CASIS to GC today!  @KPDigitalHealth @KPShare #DestinationStation",15,0
"RT @astro_reid: Fun chat with Red Bull- Meet the astronaut who spent 6 months in space http://t.co/5zQtbLYUje",63,0
"RT @astro_aggie: My hands were shaking! “@NASASpaceflight: My favorite entry footage was of Atlantis making her return during STS-135 http:…",155,0
"RT @AstroTerry: #AstroButch and I tried on our spacesuits during a 'dry run' today.  The real thing is scheduled for this Friday! http://t.…",252,0
"RT @AstroTerry: Good morning!  #sunrise http://t.co/AjJmubq1xB",945,0
".@BMSscienceteach Find out how to submit a request for a virtual astronaut appearance here: http://t.co/ARmcaRgGVQ",10,9
".@Astro_Wheels faces off with a future Explorer at the start of Destination Station Bay Area #ISSfan http://t.co/MWVGVtMojl",70,138
"RT @Space_Station: Progress 58 #ISScargo craft docks to @Space_Station at 11:57am ET completing 4-orbit, near 6-hour trip after launch. htt…",217,0
"RT @Space_Station: Cosmonauts @AntonAstrey &amp; A. Samokutyaev monitoring arrival of Progress #ISScargo craft during flyaround. http://t.co/bI…",77,0
"RT @Space_Station: Progress #ISScargo craft closing in on @Space_Station 7/10 of a meter per second. http://t.co/hrCO4Yc1gy",72,0
"RT @Space_Station: Watch @NASA TV now for live coverage of 11:58am ET docking of Progress #ISScargo craft... http://t.co/QJteaQfm4R http://…",117,0
"RT @Space_Station: “#Aurora drifts over a cold tundra.” #AstroButch https://t.co/pf3R0VhhsI",294,0
"“#Aurora over #HudsonBay, video upcoming!” #AstroButch http://t.co/fMNBJxzlto",175,225
"“#ISpy a very #blue Eye?” #AstroButch http://t.co/eEnh2u6kDu",155,240
"RT @Space_Station: #ISScargo craft reaches orbit, deploys solar arrays. Headed for 11:58am ET docking to the @Space_Station... http://t.co/…",43,0
"RT @Space_Station: #ISS Progress 58 spacecraft launches at 6am ET carrying more than 3,300 lbs of #ISScargo to @Space_Station. http://t.co/…",103,0
"RT @Astro_Wheels: Stardust in a vast sea...on a mote of dust...in a sunbeam - Happy Valentine's Day!  Ever thine Ever mine Ever ours http:/…",110,0
"RT @Chief_Astronaut: Cool time-lapse of Pluto &amp; wobble caused by #Texas sized moon Charon! Via @NASANewHorizons: http://t.co/CCC5R5J4Ly htt…",55,0
"RT @Astro_Wheels: Excited to join with dreamers at @KPShare @Stanford &amp; @StanfordSSI Imagining the endless possibilities! #SanFrancisco htt…",62,0
"RT @Space_Station: “#Taiwan to #Japan with fishing boats along the way” #AstroButch #SpaceVine timelapse https://t.co/QS1llA6ja2",82,0
"“When cities shine like stars #NewYorkCity” #AstroButch http://t.co/G89KwKDVVS",255,374
"“Know where it is? Hint: That big white thing next to the island through the clouds is a huge #iceberg.” #AstroButch http://t.co/J0tpG0gUzk",88,171
"RT @StationCDRKelly: Shutting down the office @NASA_Johnson for a while #ISS1Year http://t.co/y6qdCzfSnP http://t.co/gQxPMT9U1B",658,0
"RT @Space_Station: .@ESA #ATV5 descends into atmosphere as Russia's #ISS Progress 58 rolls out to launch pad... http://t.co/DpBSQyJHfa http…",113,0
"“Only one place on Earth where you can spot this shade of #blue.  #Bahamas” #AstroButch http://t.co/JzVFL45QuB",382,501
"“Tiny clouds trying to grow in the dry air of the #Egypt #desert.” http://t.co/86o4TfYiu3",79,165
"“#Italy seems to be crackling with energy all the way to #Switzerland and #Austria” #AstroButch http://t.co/fuofCWGj1Z",993,1541
"“#Himalayas on a clear day” #AstroButch http://t.co/gkcCpNW5wc",135,212
"RT @kevin_astro7: http://t.co/A6O2gpEVP1",50,0
"RT @AstroTerry: #ATV departing #ISS today- it looked like an 'X-wing fighter' leaving. #SpaceVine timelapse https://t.co/WjmdQ4pBAT",1026,0
"RT @Astro_Nicole: My annual space pic valentine favorite (This year in b&amp;w to mix it up a little) Happy Valentine's Day! #DohulRedSea http:…",29,0
"RT @NASA_Orion: Dear @NASA_Astronauts, be my #Valentine! http://t.co/OVUtSNBA43",887,0
"“Every human has a finite number of heartbeats. I don’t intend to waste any of mine. #AstroQuote #VDay” #AstroButch http://t.co/EvdtPmhp8N",274,348
"“Children’s healthy #hearts are vital for the bright future ahead!  Watch: http://t.co/aLM4XVFGn2  #VDay” #AstroButch http://t.co/7eWO9rYQu8",55,90
"RT @Space_Station: 'ATV cargo vehicle released today! #SpaceVine timelapse of it departing Russian aft segment' #AstroButch https://t.co/fk…",210,0
"“How to keep a #healthyheart in Zero-G?  Check out @ISS_Research or here: http://t.co/hDg03HgWBy  #VDay”  #AstroButch http://t.co/kJm4z9SBKA",51,107
"“Thinking of all our loved ones on #Earth. #HeartsInOrbit #ValentinesDay” #AstroButch http://t.co/3IYhKLnmao",82,155
"RT @Space_Station: Mission controllers @NASA_Johnson monitor the undocking of @ESA #ATV5 from @Space_Station Saturday morning. http://t.co/…",78,0
"“#HappyValentinesDay #Earth! We are always thinking of you. #HeartsInOrbit #vday2015” #AstroButch http://t.co/HJFdk1rUkn",672,1124
"RT @Space_Station: .@ESA fifth and final #ATV5 leaves #ISS at 8:42am ET. Now 3 spacecraft @Space_Station... http://t.co/3qATq8E2Ay http://t…",181,0
"RT @Space_Station: .@esa #ATV5 leaves #ISS at 8:42am ET.",50,0
"RT @Space_Station: Watch @NASA TV now to see @esa #ATV5 undock from #ISS at 8:40am ET... http://t.co/C7LVQGQ6Xn http://t.co/GkoXKnzMJj",147,0
"“Do you like the #pink as much as the plants? Check out the science! http://t.co/WV71MGlyRT #VDay” #AstroButch http://t.co/8i1Q7ZIaT4",133,211
"RT @Space_Station: On this week's #SpaceToGround: @SpaceX #Dragon returns to Earth &amp; @ESA #ATV5 gets ready to leave #ISS... http://t.co/JyL…",38,0
"“#Science is not just for #astronauts! @NASA is thinking of our future #OffTheEarthForTheEarth #VDay” #AstroButch http://t.co/xALmWxnV4Z",82,117
"“#ISS studies plant growth in space to benefit #humanity! #OffTheEarthForTheEarth #VDay #HeartsinOrbit” #AstroButch http://t.co/Z0E1ptycTu",110,155
"“The #pink light is a mixture of red, blue, and green LED's. #HeartsInOrbit #ValentinesDay” #AstroButch http://t.co/PHYIorkc1A",89,134
"RT @astro_reid: I love it when @esa turns photos @Astro_Alex and I took into hardcore #science - this is cool data analysis! http://t.co/2z…",368,0
"RT @Astro_Wheels: Resistance exercise is also a critically important part of our countermeasures in space. http://t.co/CBLUDOcIqi @bodyfit6…",27,0
"RT @Astro_Wheels: I was hiding &amp; took this photo of my buddy @AstroDocScott saving the #ISS! ;-) MT @geoffryken: http://t.co/qpP3HmpT1f htt…",106,0
"RT @Chief_Astronaut: How many Missourians knew the Spirit of St Louis impact crater was along @MarsRovers marathon? http://t.co/9HtQpGnZX9 …",43,0
"“What does the #ISS look like in the dark? Yes our home can be #pink! #HeartsInOrbit #VDay” #AstroButch http://t.co/bILRJeMLTi",246,355
"RT @Space_Station: 1. #ISS config today 2. @SpaceX #Dragon heads home 3. @ESA #ATV5 w/moon 4. ISS Progress 58... http://t.co/pepTqKAb4h htt…",134,0
"RT @Space_Station: Busy #ISS traffic. @ESA #ATV5 leaves Saturday Russian spacecraft preps for Tuesday launch... http://t.co/VjnFnkx3Y0 http…",99,0
"“The #brilliance of #Spain and beyond” #AstroButch http://t.co/zxMvqknpjM",300,314
"“#Dubai and other cities at night followed closely by approaching sun” #AstroButch http://t.co/n4sHe1ffNm",75,118
"“#EarthArt looks like dripping paint.  Central #Australia Simpson Desert to Lake Koolivoo.” #AstroButch http://t.co/foRYMVE5lx",154,196
"RT @AstroTerry: 'Keep your face to the sunshine and you cannot see the shadows' ... Helen Keller http://t.co/CkmoGUQueA",348,0
"“#Delhi, #India” #AstroButch http://t.co/PnBhLD6VmR",428,602
"“#Dazzling sights in #Australia” #AstroButch http://t.co/LOxDTYHktr",64,121
"“#Alaska sleeping under #Aurora” #AstroButch http://t.co/JnUL07pal6",278,367
"“#Pyramids of #Giza. Can you find them?” #AstroButch http://t.co/B3XixhSPhg",113,164
"RT @Space_Station: 'The #NileRiver, life force of #Egypt, with #Eurasia on the horizon' #AstroButch #SpaceVine timelapse https://t.co/G6UEX…",220,0
"RT @Astro_Wheels: We plan a cardio workout daily in space &amp; February is 'Cardio Month' on the #ISS. Here is a look at our T2 treadmill. htt…",35,0
"RT @AstroTerry: These clouds seem to enjoy basking in the #sunlight. http://t.co/zjrcSvnAnO",920,0
"RT @AstroTerry: Is the #moon half-full or half-empty? http://t.co/1lUEEEn57X",1226,0
"RT @AstroTerry: Tiny seedlings grown for the 'ANISO' Japanese plant experiment- now they are being analyzed under a microscope. http://t.co…",161,0
"RT @Space_Station: '#Aurora = #Dancing #Swirling #Swimming #Pulsing #Bridging #Amazing' #AstroButch #SpaceVine timelapse https://t.co/UTtJR…",1552,0
"RT @Space_Station: MT: @SpaceX #Dragon recovered after splashdown in Pacific. 'Coming home' @elonmusk http://t.co/A2d4iEw01p",157,0
"“These #NewZealand pictures were taken on two separate passes. One was #cloudy one was #clear.” #AstroButch http://t.co/7uCATipxS8",116,182
"“#Madagascar dissolves into ocean while little #island remains”#AstroButch http://t.co/BPufubT5zl",127,217
"“African #clouds receding” #AstroButch http://t.co/BFawsBHU9P",68,134
"“The #planet is #rippling!” #AstroButch http://t.co/tBQvhSIImz",306,448
"“#Baltimore reaching toward #WashingtonDC. They look like #yellow #spiderwebs with #blue water droplets” #AstroButch http://t.co/kTTFoqcsX0",149,233
"RT @Space_Station: &gt;@SpaceX #Dragon splashdown at 7:44pm ET ending #ISS mission. 3,700 pounds of @NASA cargo &amp; @ISS_Research returned... ht…",46,0
"RT @StationCDRKelly: .@SpaceX #Dragon success! 5Klbs supplies &amp; my 3rd-time flyer space sweatshirt now on #ISS w ISS_Research home Look fwd…",55,0
"RT @Space_Station: NASA is bringing wonders of #ISS &amp; @Astro_Wheels and @astro_reid to the Bay Area Feb. 17-20: http://t.co/zXdr6ZtURw http…",68,0
"RT @AstroTerry: #Dragon flying in close formation at 17,500 MPH shortly after release. http://t.co/09W6TsMCZP",246,0
"RT @Space_Station: &gt;@SpaceX #Dragon headed to Pacific Ocean splashdown after 2:10pm ET release from #ISS... http://t.co/EwUNVU56lM http://t…",230,0
"RT @Space_Station: &gt;@SpaceX #Dragon safely departing #ISS vicinity. #ISScargo ops complete. Ground now controlling @CSA_ASC #Canadarm2. htt…",376,0
