tweet,retweetsCount,favoritesCount
"RT @Commercial_Crew: Listen to astronaut Jeanette Epps describe the excitement of launching from America.  http://t.co/gtvR9mVpSZ http://t.…",71,0
"RT @star_avi8r: Hangout with @NASA_NEEMO alum &amp; future @ISS astronaut @astro_timpeake Feb 25! https://t.co/Urx2FyNiRV http://t.co/GRcEXPhU9d",12,0
"CONGRATS NEEMO AQUANAUTS! Peggy Whitson, Kate Rubins &amp; Takuya Onishi on your upcoming #ISS Mission assignments! From #SeaToSpace once again!",19,15
"RT @NASAexplores: Today we honor the legacy of those who gave their lives to push the boundaries of space exploration. #NASARemembers http:…",170,0
"RT @NASA: DOWNLOAD our new #iOS 3DV app, previewing our #JourneyToMars! http://t.co/Gi9VHA4Ccd  #Android version is work. http://t.co/1I2KZ…",268,0
"RT @ReefBase: Stoked about the premier of 'Space School' - Jonathan Bird's fulldome film featuring Aquarius and @NASA_NEEMO http://t.co/5vN…",6,0
"RT @NASA: K-12 student in the US? Challenge: Design a tool for @Space_Station's @NASA3DPrinter: http://t.co/lu0z3Tga9u http://t.co/d4wVVnmZ…",270,0
"RT @NASAexplores: #ICYMI Miss the historical #Orion #EFT1 launch this morning? Watch it here! As many times as you like! http://t.co/qwNUzD…",23,0
"RT @NASAexplores: Tune in NOW http://t.co/hVyGxl8drz to hear about #NASA's #JourneytoMars including the #Orion  #EFT1 test flight tomorrow!…",5,0
"RT @NASAexplores: @__Stellaaaar Definitely have to agree on that, but check out @nasa_neemo &amp; @ReefBase too... Equally dope!",2,0
"@NASA3DPrinter So many potential needs! We can ask @ReefBase what we could 3D print for the #Aquarius Habitat! Similar to #ISS but undersea!",1,1
"RT @NASAexplores: NEW opportunities to partner w/ @NASA on propulsion, habitation, &amp; CubeSats in deep space! Check out the #NextSTEP http:/…",25,0
"#ICYMI AWESOME article from @KatieLinendoll on @NASA NEEMO! Hello?! It's the FRONT PAGE! Thanks for joining us Katie! http://t.co/bxQT1vdSld",4,5
"RT @KatieLinendoll: A firsthand deep dive seeing astronauts train &amp; simulate microgravity... underwater! http://t.co/zKovl2M0uO @NBCNews @N…",11,0
"What's up at NASA?! Check out this video about the Orion TEST FLIGHT planned in Dec to see! AMAZING!  #JourneyToMars http://t.co/gvedgiOUKi",14,7
"RT @JasonKring: @Astro_Andreas &amp; @ESAstro_trainer deploy top of #CORAL during @NASA_NEEMO 19 in great photo by @mwidick http://t.co/RAsxfHc…",12,0
"Wouldn't be the same w/o you! MT @mwidick: @JasonKring @EmbryRiddle #NEEMO I am so happy to be on the NEEMO dive team. Hope to do it again.",1,3
"RT @JasonKring: One of many amazing pics by @mwidick  of #CORAL submersion during @NASA_NEEMO 19 @ReefBase http://t.co/OOEZmOLhnx",1,0
"RT @ESAstro_trainer: Thanks a lot @SpaceUpTLS for your interest in @NASA_NEEMO @ReefBase #NEEMO19 #SpaceUpTLS @esa. pic via @Brigitte_Ba : …",7,0
"RT @ESAstro_trainer: French TV news on Sept. 11 about my PAO event @ReefBase @NASA_NEEMO: select '19/20 11/09/2014' http://t.co/Ty2whFgnmd …",4,0
"RT @JasonKring: ICYMI here's 2nd article about @ERAU_Daytona &amp; @NASA_NEEMO 19 mission from @Dustin_WyattNJ  http://t.co/whvKgUKphU",4,0
"RT @howellspace: My interview with @nasa_neemo 19 commander Randy Bresnik (while he was underwater) is published on @spacedotcom! http://t.…",8,0
"RT @WatchCTVNews: Back from #NASA mission @Astro_Jeremy on living on the bottom of the ocean: http://t.co/wak5IAxWs0 @CTVCanadaAM http://t.…",22,0
"RT @esaoperations: @Astro_Andreas @ESAstro_trainer @Astro_Jeremy &amp; Randy testing @esa technology for #NEEMO19 http://t.co/rowYLFiJHB http:/…",29,0
"RT @KatieLinendoll: Definitely one of the coolest stories to ever cover! Tx @NASA_NEEMO can't wait to share the experience on CNN http://t.…",2,0
"Roger from @ReefBase recognizes all of the hard work &amp; dedication of everyone who made #NEEMO19 possible! http://t.co/Uym0JSj0QB",9,24
"Splash up celebration &amp; recognition of all the folks who make #NEEMO possible! Amazing team, amazing mission! http://t.co/gpThrRDmFw",9,18
"YESSS! MT @AstroGingerSnap: @NASA_NEEMO @SpaceGirlWendy so happy to see that - you guys are trending &amp; #1! #NEEMO19 http://t.co/ARWXCyiiiw",2,8
"RT @JasonKring: Thank you @Astro_Jeremy for talking w/ @ERAU_Daytona students about @NASA_NEEMO mission! http://t.co/2wLfaAQN9h",3,0
"RT @JasonKring: Thank you @Astro_Andreas for sharing your @NASA_NEEMO 19 experiences with @ERAU_Daytona students today! http://t.co/xjSuxPH…",3,0
"Go Ivy! “@JasonKring: @astroivy @NASA_NEEMO @Astro_Jeremy @Astro_Andreas @ESAstro_trainer - Playbook was awesome!! http://t.co/AVNW4XlC9y”",3,9
"RT @JasonKring: @NASA_NEEMO Crew returned to surface &amp; talked w/ @ERAU_Daytona students. Congrats #NEEMO19 Team on a job well done! http://…",5,0
"LAND! “@astroivy: The @NASA_NEEMO 19 aquanauts are back on shore! So proud to be part of this mission. &lt;3 #NEEMO19 http://t.co/8eQpnqWXWD”",9,8
"RT @teens4oceansfl: @NASA_NEEMO surfaced today at FIU's #MedinaAquariusProgram! Congrats to all of you &amp; good job!!! http://t.co/Z6hii6AB41",2,0
"@taliaeliana Thanks!!",0,1
