tweet,retweetsCount,favoritesCount
"What did we learn from #Orion's first flight? http://t.co/47TetjvNUY http://t.co/iEzDJ2K4gS",61,86
"RT @NASA_SLS: Questions about #SLS boosters? Join in the webcast at 3 p.m. CST Feb. 23 with Bruce Tiller: http://t.co/oVcTBFeI5H http://t.c…",60,0
"RT @LockheedMartin: Optimal performance. #Orion's first flight yields 600 gigabytes of data: http://t.co/56pj4gqCv1 (via @denverpost) http:…",123,0
"RT @NASA: Our @MAVEN2Mars spacecraft  completed its first deep-dip campaign of Mars' upper atmosphere: http://t.co/UHjFxTO3Yn http://t.co/M…",497,0
"RT @NASA: For us, #MyDreamIn5Words: To send humans to Mars. Learn more about our #JourneyToMars: http://t.co/ykK5nz5vqv http://t.co/1l9SYGs…",1618,0
"RT @NASA: Start your engines! @NASA_go4launch tests changes to the Crawler that'll carry @NASA_SLS, @NASA_Orion to launch pad http://t.co/n…",440,0
"RT @NASAKennedy: Kennedy's transformation is not finished yet, but you can see the future from here! http://t.co/hVXY8gDgHO http://t.co/XRN…",280,0
"RT @SpaceCoastDaily: Craig Technologies To Support @NASA_Orion Space Project. http://t.co/t1f4ErmF5D http://t.co/ve17UGDUWD",11,0
"RT @esa: @NASA_Orion Always better when we're together!",22,0
"Dear @NASA_Astronauts, be my #Valentine! http://t.co/OVUtSNBA43",887,1353
"RT @NASA_go4launch: #Mars is red #Earth's sky is blue We put you together And launch you too  Happy #ValentinesDay @NASA_SLS @NASA_Orion ht…",84,0
"RT @NASA_APPEL: @NASA_go4launch @NASA_Orion @NASA_SLS Yeah, get a 129,482,000 cubic foot room, guys.",10,0
"RT @NASA_go4launch: @NASA_Orion @NASA_SLS ...and we will provide the place for your first date!!! How about the #VAB",17,0
"We'll be together soon! Happy #Valentine's Day @NASA_SLS! http://t.co/7lUjnJSPwI",551,861
"The start of a beautiful friendship! Happy #ValentinesDay @ESA! http://t.co/qIiB0Jb0EL",923,1148
"RT @NASA: Tech, expertise gained thru 5 ATV #ISScargo missions to be used by @esa to develop the service module for @NASA_Orion http://t.co…",335,0
"@JamesStewart97 Landing on water allows us to reduce mass and adds safety margin to the crew return.",2,2
"RT @flatoday_jdean: At @NSCFL, Lockheed Martin's Larry Price says @NASA_Orion's heat shield performed 'flawlessly' during Exploration Fligh…",12,0
