tweet,retweetsCount,favoritesCount
"RT @NASASolarSystem: After sunset the next few nights, look in the western sky to catch Mars &amp; Venus together. http://t.co/BsyOly4e52 http:…",1246,0
"New @NASA_Hubble pic is most detailed of gas &amp; dust encircling a 20 million year-old star http://t.co/1cBhOeawik http://t.co/zNMNLss5c8",472,679
".@NASANuSTAR &amp; @ESA's XMM-Newton telescopes give shape to furious black hole winds http://t.co/6l7K39zUIG http://t.co/NlwjIjZHH6",1166,1468
".@NASA_Orion continues the #JourneytoMars as engineers analyze Dec test data, build next Orion http://t.co/Psjf41mYe0 http://t.co/aUnXJPkvQm",402,658
"@mohrinkd @RaganComms @MarkRaganCEO 3 spacewalks soon (Feb 21, 25, March 1) you can watch on NASA TV at http://t.co/qrm0Dz4jPE #RaganDisney",5,15
"@SamanthaHPR We have three spacewalks coming up (1st on Saturday!) that you can stream online from http://t.co/KX5g7zfYQe #RaganDisney",9,9
"@allifromcali @foreman_mike we're often seeking excellent communicators, too. http://t.co/ihBKBnP9Pp",0,1
"@LotusMystique @foreman_mike lucky for you, it's all available free on http://t.co/IpvHUzr4tm and NASA TV! :)",1,2
"First of three spacewalks to prepare for @Commercial_Crew now set for Saturday: https://t.co/lmAY7bPYb4 http://t.co/PhfvtDUqXr",308,554
"@FabrorFrej @AstroTerry pictures that focus on Earth have such a bright foreground, so the stars don't show up in images like this one.",6,2
"Four @NASA_MMS spacecraft launch March 12 to study a phenomenon called magnetic reconnection. Learn more: [video] http://t.co/Ni0fBBKLPS",175,223
"@HenryBottjer Max altitude may not be high enough to see in the city, but good passes Friday &amp; Sunday. Info here: http://t.co/y8p4r2IDue",2,1
"@Taylor_Cottrell we're not taking applications currently, but learn what you need to qualify at http://t.co/K0OIDlCMVS",1,1
"@Kerry6868 not yet, but you can follow @NASANewHorizons for updates along the way!",1,1
"@Kerry6868 we love space fans of all ages! We have lots of fun activities and info for Harry and other students: http://t.co/MfyH7mHsqm",4,2
"Our @MAVEN2Mars spacecraft  completed its first deep-dip campaign of Mars' upper atmosphere: http://t.co/UHjFxTO3Yn http://t.co/MvL17pb4SN",497,657
"RT @AstroTerry: Amazing ice flows in the Eastern provinces of #Canada http://t.co/a9aK0nCodq",1219,0
"RT @AstroSamantha: Good night from #space. Buona notte dallo spazio. http://t.co/e9C9nsTblv",1638,0
"For us, #MyDreamIn5Words: To send humans to Mars. Learn more about our #JourneyToMars: http://t.co/ykK5nz5vqv http://t.co/1l9SYGsbsv",1618,1792
".@Space_Station's @NASA3DPrinter items &amp; @ISS_Research return in the belly of @SpaceX #Dragon: http://t.co/gw0Rdetq5c http://t.co/xUSA4ma3PW",430,575
"Pluto was discovered #OTD in 1930. 85 years later, @NASANewHorizons spots Pluto's small moons: http://t.co/9yd9B8hmQR http://t.co/L5Y4bRGKpl",978,950
"RT @EarthVitalSigns: The Soil Moisture Active Passive (SMAP) satellite's boom was successfully deployed earlier today. https://t.co/sWF3pYx…",246,0
"Start your engines! @NASA_go4launch tests changes to the Crawler that'll carry @NASA_SLS, @NASA_Orion to launch pad http://t.co/nU3UahtPe2",440,761
"@Trap__Advisor this video should help explain: http://t.co/uYSm5GzTly",5,3
"@Sharma_S5 on Earth, a suit weighs ~113 kg/225 pounds, but in space it has no weight, just mass. http://t.co/mmR4SrFCio",7,4
"@BigBossManNewby @AndrewMNewby Info about visiting NASA's locations is available at http://t.co/wsLvU5Cnjs",5,1
"@Alan94943888 well, the technical term is 'extravehicular activity' or EVA, but 'spacewalk' is a more of a common term.",5,2
"LIVE NOW: We've got 3 upcoming spacewalks! Learn about them. Watch: http://t.co/TZKSZN8lbU   Have a Q? Use #askNASA http://t.co/t248oqhPNa",573,838
"RT @NASAKennedy: Kennedy's transformation is not finished yet, but you can see the future from here! http://t.co/hVXY8gDgHO http://t.co/XRN…",280,0
"We've got 3 upcoming spacewalks! Learn about them today at 2pm ET on NASA TV: http://t.co/TZKSZN8lbU Q? Use #askNASA http://t.co/yxukm1L14v",698,1070
"RT @AstroTerry: #TodaySunrise  Hopefully everybody in the #USA gets to enjoy a little #sunshine today or tomorrow! http://t.co/4yfAz7G9eU",1060,0
"RT @Space_Station: “It looks like #Earth is pulling these clouds across the ocean.” #AstroButch #SpaceVine timelapse https://t.co/2DD9UElOLy",645,0
"RT @AstroSamantha: Good night from #space. Buona notte dallo spazio. http://t.co/ErTPqFIYDV",1777,0
"Happy #MardiGras2015! Here's 2 photos of #NewOrleans from the @Space_Station. #FatTuesday #MardiGras @AstroTerry http://t.co/CruzJEwk2D",1186,1741
"Have a question about the @Space_Station? Use #SpaceToGround &amp; watch our Friday update to see if it's answered! http://t.co/XNj9f3O9lO",404,592
"We turned a rocket booster case into spaghetti to understand strains of a launch: http://t.co/HBhqg1obnt @NASA_SLS http://t.co/DxdU00xaHU",292,487
"Winter storm blanketed some states &amp; extended the northeastern U.S. snowcover farther south: http://t.co/zGvjPYlu8L http://t.co/T7k75qWP13",577,609
"Growing bone on demand sounds like science fiction. Our @ISS_Research isn't. Learn more: http://t.co/Hy7TowUl1G http://t.co/OKicvW8Uso",512,662
"RT @NASAGISS: .@NASA science leads NY City Panel on #ClimateChange 2015 report #EarthRightNow  http://t.co/StcGSH6tuP http://t.co/FO6sV7hv3g",261,0
"As the dwarf planet turns! @NASA_Dawn sees 2 faces of #Ceres &amp; captures sharper images: http://t.co/eSXPEuJetm http://t.co/7AyvaSNA1v",760,902
"@FindingAda thanks for the plug! Unfortunately, snow in DC caused the event to be canceled, but we'll record the talk and make it available.",3,3
"#ISScargo craft with 3 tons of food, fuel, supplies &amp; experiment hardware for @space_station  crew docked at 11:57aET http://t.co/tED05jtQQ5",279,486
"Progress #ISScargo craft with 3 tons of supplies scheduled to dock at 11:58aET. Watch: http://t.co/KX5g7yYnYG http://t.co/jlCx2504tL",394,621
"LIVE on NASA TV: Progress #ISScargo ship launched at 6amET is ready to dock to @Space_Station: http://t.co/KX5g7yYnYG http://t.co/mxROeY6pKE",307,456
"@historytoby @NASA_Johnson You can watch the docking from 16:30 UTC on NASA TV at http://t.co/KX5g7yYnYG",10,7
"@alsalmi_alharbi No. Earth completes one rotation every 24 hours.",11,9
"@OmegaTough @NASA_MMS we have hosted events from @NASA_Wallops before.",3,4
"@alejandrina_gr @NASA_MMS Because registration is for only one person, and you need to be able to be legally responsible for yourself.",2,2
"@NoMoreNASA @KeshmarOrange @WilliamShatner @neiltyson NASA's budget is &lt;0.5% of federal funding. In addition, you get http://t.co/35kTkJlLBA",2,2
