tweet,retweetsCount,favoritesCount
"'Взвешивание' космонавтов на #МКС (Measuring the Cosmonaut's Weight on the #ISS) http://t.co/nxjZFtY9ff http://t.co/O5Hgpfl1zG",15,14
"Космонавт-испытатель Олег Артемьев принял участие в учениях ЦВО В Челябинской области - http://t.co/p5XiPjATZL http://t.co/uur9VM2GL9",19,23
"Средиземное море и #Гибралтар #МКС (Mediterranean Sea, Strait of #Gibraltar #ISS) #BlueDot http://t.co/ntEHKmyDq8 http://t.co/YfltSPJOya",47,47
"#Гавайские острова #Ланаи и #Мауи (#Hawaiian Islands Lana'i &amp; #Maui) #BlueDot http://t.co/sR0NvsMs2D http://t.co/xcQgw01cyI",27,40
"Города мира - Нью-Йорк, #США  #МКС (Cities of the World - New York, #USA #ISS)  #BlueDot http://t.co/rOt3kb95hs http://t.co/YkcsuoqYBr",24,33
"#Турция, Мраморное море и пролив #Босфор (#Turkey, #Sea of #Marmara &amp; #Bosphorus) #BlueDot http://t.co/4iR5NvYXps http://t.co/oGzRriLwAZ",28,34
"Визит в #СГАУ (#Самара) 24 ноября 2014 (Visit to #Samara. Nov. 24, 2014. only in rus) http://t.co/zHoNL7yrDd",6,9
"RT @riascience: «Эсквайр» перевел дневники астронавтов на МКС: http://t.co/UYGA3P0MWG оригинал: http://t.co/5jBUjQyy1X http://t.co/4gDjPv4E…",22,0
"Города #Россия — #Липецк #МКС (Cities in #Russia - #Lipetsk #ISS) #BlueDot http://t.co/fDqzMas1IA http://t.co/Wb1jT8ydRk",27,29
"Полное видеоинтервью Russia Touday 17 ноября 2014 г. (full interview to RT nov. 17 2014, only in rus) http://t.co/54JGUXt9aw",5,16
"@ruslan7tv через пресс-службу Роскосмоса",0,0
"#Залив #Аляска. #Остров #Кадьяк (Gulf of #Alaska. #Kodiak #Island) #BlueDot http://t.co/6IekpPCJfv http://t.co/OVSaGzKuMr",26,35
"Быт на  #МКС - Космическая зубная паста (Space Toothpaste #ISS) http://t.co/NavrMqxZKN http://t.co/XZKvoX1uEf",28,37
"Видео 2 визита в #Курск (ЮЗГУ) 5 фев (Video 2 - Visit to #Kursk feb 5) http://t.co/MC4q7bzEtM",1,12
"Видео 1 визита в #Курск (ЮЗГУ) 5 фев (Video 1 - Visit to #Kursk feb 5) http://t.co/3lEOaKPlJW",1,10
"Визит в #Курск (ЮЗГУ) 5 фев подр. в блоге (Visit to #Kursk feb 5. detail in blog, only in rus) http://t.co/IOnnsTNmTm http://t.co/9KDpZ6de9g",5,20
"Интересный фильм о физ. процессах в невесомости #МКС (Lesson from Space. Zero Gravity Physics. only in rus #ISS) http://t.co/tWsM2ItmZg",20,41
"#Озёра #Тибет. #Tibet #Lakes (Chamu Cuo, Kahu Cuo, 查木错 喀湖错) #BlueDot http://t.co/foyw4rCZ3D http://t.co/V5iSS84h8e",48,60
"Над #Африка #МКС (Over the #Africa #ISS) #BlueDot http://t.co/DKrn6qPEVf http://t.co/31O7LVrQFJ",48,85
"Укладки для шитья на #МКС (#ISS's Sewing Kit) http://t.co/39ROBCSTMM http://t.co/dKY7Iq7dgf",31,41
"На Земле облачно… #МКС (Under a cloudy sky… #ISS) #BlueDot http://t.co/4SiVSVff6p http://t.co/rZCl1F0vO3",59,56
"#Атолл #Табитеуэа Респ. #Кирибати #МКС (#Tabiteuea #Atoll Republic of #Kiribati #ISS) #BlueDot http://t.co/eXfreuApYj http://t.co/xWvQPfqkuM",41,43
"@Javigoro2012 No, perdonen. En septiembre 2014 he vuelto a la tierra.",0,0
"#Ледники Южной #Патагония #МКС (Southern #Patagonia Glacial Field #ISS) #BlueDot http://t.co/kge7Eh4Xg0 http://t.co/S6BcFqDWYb",41,59
"140 тыс. подп. в инстаграм. Спасибо Всем за интерес. (140k Followers in Instagram Thank you!)  http://t.co/2nRi4tH5jP http://t.co/VejfQrpTxa",12,26
"@sbassi yes. no problem",1,1
"@sanchezberger 27.05.2014",0,3
"Фолклендские (Мальвинские) #острова #МКС (#Falkland (#Malvinas) #Islands #ISS ) #BlueDot http://t.co/JwK1a7xZ5u http://t.co/M91OV7nuOZ",651,476
"@LaoneHuman glare from the sun",0,0
"#Аденский Залив, #Йемен и #Оман (Gulf of #Aden, #Yemen and #Oman) #BlueDot http://t.co/O73FTvg3nj http://t.co/Ob0OE1CZ6o",48,63
"Виталий Петров, рос. пилот Формулы-1 вручает авторскую книгу (Vitaly Petrov Russian racing driver Formula One) http://t.co/Ce359IkIqj",37,36
"Визит в #Выборг. Программа 'Город. Новости по-выборгски' от 28 января 2015 года (Visit to #Vyborg) https://t.co/2GlsMa80AR",7,10
"Интервью газете «Южноуральская Панорама» (Interview to the newspaper. only russian) http://t.co/EEVS2DWnMQ http://t.co/baUsT5r3go",6,17
"#Облака #МКС (#Clouds... #ISS) #BlueDot http://t.co/7YWRy3CMFn http://t.co/hVzwvMyJfA",29,38
"Ночное побережье Персидского залива (Persian Gulf at Night) #BlueDot http://t.co/E7XCrsGFgi http://t.co/le9EgJ4WzV",42,59
"27 января. Годовщина прорыва фашистской блокады #Ленинград в городе #Выборг. Торж. мероприятия, возложение цветов. http://t.co/XqWLjv7OcI",31,40
"предыд. фото - правильный ответ - Доминиканская Республика и #Гаити (correct answer is #Dominican Сepublic &amp; #Haiti) http://t.co/107BEi28va",23,35
"Где-то в океане. Кто угадает где это? (Somewhere in the ocean. Who can guess where?) #BlueDot http://t.co/11tf4YIroS http://t.co/oneMyEVCt5",29,39
"#Облака #МКС (#Clouds... #ISS) #BlueDot http://t.co/edlHvA0usj http://t.co/XYye7YLkWP",57,62
"Визит в #Костанай #Казахстан 14 января (Visit to #Kostanay #Kazakhstan. Jan 14) http://t.co/RTxn2Jd3l6 http://t.co/N6eEoR76rF",10,27
"Ночная станция #МКС (Night on the #ISS) http://t.co/DzkN9PKRc4 http://t.co/DnDNy4R4UZ",28,42
"Как проходит тренировка на выживание (Survival Training) #space #космос http://t.co/5wlfgMT2Lb http://t.co/PEoQU3Lvgm",27,31
"RT @RT_russian: Готовясь полететь в космос, Сара Брайтман разводит костры и строит укрытия в подмосковном лесу http://t.co/rKhT2gXvTr http:…",60,0
"Визит в #Челябинск 14 января. (Visit to #Chelyabinsk. jan 14) http://t.co/rjUDwMfosI",6,14
"Визит в Челябинск 14 янв. 'Российские космонавты навестили челябинский метеорит' http://t.co/srsVsatxu3 http://t.co/BxAOcgntki",17,27
"Над горами Алтая #МКС (Over the #Altai #Mountains #ISS) #BlueDot http://t.co/61zBAw079L http://t.co/17omP9FtMv",54,47
"Облака над голубым океаном #МКС (Clouds over the Blue Ocean #ISS) #BlueDot http://t.co/iOIQiSKzwG http://t.co/KQGoJBEkBd",31,41
"#Атолл #Лаэ в Тихом #океане #МКС (#Lae #Atoll in the Pacific #Ocean #ISS) #BlueDot http://t.co/xyI8gGGNKN http://t.co/6G2cbCqykQ",37,57
"@mishkapotapich как повезет, обычно от 3 до 6-10 лет между полетами, если здоровье позволяет",0,3
"Новая #Зеландия #МКС (New #Zealand #ISS) #BlueDot http://t.co/NddhbCr3I7 http://t.co/FlVYxdalnJ",52,68
"Перед восходом... #МКС (Sunrise from the #ISS) #BlueDot http://t.co/ZWLBZSLfvE http://t.co/KzcGsgjsrC",64,92
"Города мира - ночной Эр-Рияд #МКС (Cities of the World - Night Riyadh #ISS) #BlueDot http://t.co/tZntNFmXns http://t.co/XRmvlWul0t",25,37
"Удивительные #облака #МКС (Amazing #Clouds #ISS) #BlueDot http://t.co/0Dgr6yDwEh http://t.co/XRs2X5Ph1T",47,71
"RT @riascience: «Я думаю, что человечество может заниматься этим вообще в любых местах» - космонавт Виноградов отвечает на вопросы: http://…",12,0
"Новая Каледония #МКС (New Caledonia #ISS) #BlueDot http://t.co/dDVjOr17AS http://t.co/nTVoc5TqBS",55,79
"Звёздное #небо на #МКС (Starry #Sky on the #ISS) http://t.co/h8h09UA33w http://t.co/ZPH06AZgI4",59,91
"Где-то в Бразилии... #МКС (Somewhere in Brazil #ISS) #BlueDot http://t.co/hB4Tg7HP98 http://t.co/yfxmo7JbUU",21,54
"@islandniver можно, но только через пресс-службу Роскосмоса",0,0
"@JohnOOOSmith да, не проблема",0,0
"Восточная #Африка. Дельта реки #Рувума #МКС (East #Africa. #Ruvuma River Delta #ISS) #BlueDot http://t.co/uNppdnpsfT http://t.co/6RnzalWaME",28,46
"RT @NASA: 'America has begun an exciting new chapter in human space exploration,' Admin. Charles Bolden http://t.co/22ekGvZP3f http://t.co/…",2647,0
"Галапагосские острова #галапагосы #МКС (#Galapagos Islands #ISS) #BlueDot http://t.co/kOFjHXv6EL http://t.co/ly55rIpM1d",72,94
"#Мадагаскар Дельта реки #Мангуки и озеро #Ихутри (#Mangoky River &amp; #Ihotry Lake #Madagascar) http://t.co/Em8tqHdfLx http://t.co/qnsTczE6Cn",26,50
"My videointerview to RT - 'Invest in space, not war' (only in english)  http://t.co/nmw17QMore http://t.co/0JctWYc1w2",64,88
"Над Землёй (Over the #Earth) #BlueDot http://t.co/Nk3H85TCQj http://t.co/s585vU5h4C",58,81
"Озёра #Балхаш и #Алаколь. #Казахстан (#Balkhash &amp; #Alakol #Lakes in southeastern #Kazakhstan) http://t.co/19SSJ31o5n http://t.co/degyM3h4ym",29,60
"#Kamchatska. #Petropavlovsk-Kamchatsky. #Avacha Bay. #Koryaksky &amp; #Avachinsky #Volcanos http://t.co/2QpCQfF7cN http://t.co/0vD7UEbs0g",45,65
"#Камчатка #Петропавловск-Камчатский. Вулканы #Корякская и #Авачинская сопки #BlueDot http://t.co/2QpCQfF7cN http://t.co/SnecFmPFZ4",31,42
"#Атолл #Тарава, республика #Кирибати (#Tarawa #Atoll, #Kiribati) #BlueDot http://t.co/OrecMMnur8 http://t.co/aIMgzqCXBr",51,57
"#Ледники Южной Америки #МКС (South American #Glaciers #ISS)  #BlueDot http://t.co/6T2H8D0Bfo http://t.co/unPRZNHCMa",44,60
"Над океаном #МКС (Over the #Ocean #ISS) #BlueDot http://t.co/JRm1k2FA3W http://t.co/CxvD3dICgG",50,49
"#Камчатка #МКС (#Kamchatka #ISS) #BlueDot http://t.co/gtaUMUBW95 http://t.co/5dOxJ9FJQb",75,72
"#Алеутские #острова #МКС (#Aleutian #Islands #ISS) #BlueDot http://t.co/m5fILyDPu1 http://t.co/DSVbDtdXzA",36,56
"Земля в иллюминаторе #МКС (The Window to Earth #ISS) #BlueDot http://t.co/456GFTMvYU http://t.co/FzcouFr45J",72,82
"#Камчатка Одинокий #вулкан в море облаков (#Kamchatka Lonely #Volcano  Sea of #Clouds #ISS) http://t.co/PIcE1yDhHq http://t.co/hoaj195C85",143,107
"@totalshowman ok",0,1
"Ледники Южной Америки - озеро #Вьедма #МКС (South American #Glaciers. #Viedma Lake #ISS) http://t.co/MPYGU5o4EG http://t.co/BdizwDBCh5",69,87
"Краски Земли #атолл #Аранука #Кирибати #МКС (#Paints #Aranuka #atoll #Kiribati #ISS) #BlueDot http://t.co/9i2M9iZCpY http://t.co/UjyZWhUbn2",44,66
"Пылевая буря на границе пустыни и моря #МКС (Dust Storm #ISS) #BlueDot http://t.co/TmhXPzYlD5 http://t.co/odbvreAHMy",32,38
"#Ледники Южной Америки #МКС (South American #Glaciers #ISS) #BlueDot http://t.co/wXNd7pG9sN http://t.co/r8vUSrCDYg",46,70
"Ещё один отчёт о поездке в СГАУ 24 ноября http://t.co/oHElHYH1v0",5,13
"На границе дня и ночи #МКС (The Border of Day and Night #ISS) #BlueDot http://t.co/vLoO8zvugd http://t.co/1Fa3ZWqMNr",96,110
"Облака #МКС (Clouds #ISS) #BlueDot http://t.co/qiKOu3pVbl http://t.co/oZZoPRtSYy",33,52
"Интервью телеканалу Russia Today (Interview to Russia Today (only in russian)) http://t.co/GU3zHDZgfO",5,15
"Наступление зимы в Южной Америке. 23 мая #МКС (Winter in South America. May 23 #ISS) #BlueDot http://t.co/piVtXK80fx http://t.co/Z8n7TOG5yj",32,72
"Наступление зимы в Южной Америке. 19 мая #МКС (Winter in South America. May 19 #ISS) #BlueDot http://t.co/piVtXK80fx http://t.co/ld7ltNdB85",16,42
"Подготовка экипажа #МКС-39/40 к космическому полету (#ISS Expedition 39/40 Crew Training) http://t.co/wl6IehOvbC http://t.co/eeZfPtxkws",13,16
"Утро на #МКС. Пора за работу... (Morning on the #ISS) http://t.co/5NwCCJHxqp http://t.co/mNhf1zajj3",21,57
"Пролив #Дарданеллы #МКС (#Dardanelles #ISS) #BlueDot http://t.co/onLuKuUime http://t.co/ET5mD3jxK9",42,56
"#Облака над голубым океаном #МКС (#Clouds over the Blue #Ocean #ISS) #BlueDot http://t.co/eYJfWJBCit http://t.co/LpXTWdeq22",27,63
"#Греция и остров #Крит #МКС (#Greece &amp; #Krit #Island #ISS) #BlueDot http://t.co/T97xNyYst5 http://t.co/VTWbGelmlq",100,127
"Видеоинтервью для видеоканала Russia Today. про мечты, лук, подготовку и фильмы http://t.co/bG8FDYY6K9 http://t.co/MMFPOla7M1",21,35
"Калифорнийский залив #МКС (Gulf of California #ISS) #BlueDot http://t.co/wC6xE8H2wy http://t.co/38C7YmPWMT",58,71
"#Вулканы #Камчатка #МКС (#Kamchatka #Volcanos #ISS) #BlueDot http://t.co/TsSAe7xNyQ http://t.co/vtM3awLxCW",105,120
"Полуостров Бэнкс, Новая Зеландия #МКС (Banks Peninsula, New Zealand #ISS) #BlueDot http://t.co/d3r6Kvw7hB http://t.co/fqKDTbHrd0",49,75
"Удивительные #облака #МКС (Amazing #Clouds #ISS) #BlueDot http://t.co/Qr3bd0qCMa http://t.co/QVjZWVym1Y",73,80
"Видеоотчёт о вчерашней поездке в Самару на фестиваль «Азбука науки» - http://t.co/urcjOYDqte",3,14
"Шлюзовая камера в японском модуле #Кибо #МКС (Airlock of Japanese Module #Kibo #ISS) http://t.co/h1DJHiuEmy http://t.co/vr9IyQxMuR",26,45
"На фестивале «Азбука науки» в Самаре 24 ноября в СГАУ. http://t.co/NPTPYMZQQM",6,7
"Сегодня был в Самаре на встрече со студентами и школьниками http://t.co/UVCDS37tOm",5,15
"RT @ISS101: The six Expedition 42 crew members inside the Zvezda Module. #ISS http://t.co/rZeI09MRx7 http://t.co/nUvOInd0dG",108,0
"RT @fka_roscosmos: В 5:48 мск транспортный пилотируемый корабль «Союз ТМА-15М» пристыковался к МКС:http://t.co/p5VmxFQqVJ http://t.co/TzWad…",133,0
