tweet,retweetsCount,favoritesCount
"RT @RBondarFdn: Fond memories of master #toy #educator Alfred Carlton Gilbert #inventions! http://t.co/qcJ2SeFNUb http://t.co/HHgTdk2hjV",1,0
"RT @RBondarFdn: . @RBondarFdn we ask “Where’s Robirda?” http://t.co/64DOBQj4uD",1,0
"RT @RBondarFdn: Main Wall @ArtAlgoma “Dreams &amp; Realities” – images by #Bondar &amp; #Sabiston – Now Open! http://t.co/CjnMiZijtP",4,0
"RT @RBondarFdn: Mayor Provenzano @CitySSM greets Dr Bondar @RobertaBondar at “Dreams &amp; Realities” Opener @ArtAlgoma http://t.co/gMI2v33aIg",7,0
"RT @RBondarFdn: What a #lesson! From Hobbyist to #Entomologist – the passionate Dru Drury! http://t.co/7o9NVkJ731 http://t.co/ihOlOSXg5i",1,0
"@RobertaBondar @RBondarFdn send thanks to my fellow Earthlings for the good wishes on the anniversary of STS 42 liftoff",5,4
"RT @doctorg007: On This Day in 1992: Dr. @RobertaBondar becomes the first Canadian woman and the first neurologist in space. #askdrg http:/…",8,0
"RT @SimonOstler: On This Day in 1992: Dr. @RobertaBondar becomes the first Canadian woman and the first neurologist in space. http://t.co/5…",79,0
"Lift Off anniversary. A remarkable pioneering adventure that inspires my Earth photography Check out http://t.co/rn8t2pM85E",15,8
"RT @RBondarFdn: Endless #Frisbee inspirations + the #Avrocar! http://t.co/juBat0Wmqw What’s yours? http://t.co/uqLK4YHHL1",1,0
"RT @RBondarFdn: After an amazing three months the Buhler Gallery St. Boniface General Hospital the Travelling Exhibition and... http://t.co…",1,0
".... .- .--. .--. -.-- / -. . .-- / -.-- . .- .-. If you can't read this check out why @RBondarFdn http://t.co/RDVdH4QAFf",2,0
"@AstroNutRayB Back to you All and to All a Good Night The best in 2015",0,0
"The Geminids are coming The #Geminids are coming Check out @RBondarFdn http://t.co/LhmYqxEX6Y  #astronomy #GeminidsMeteorShower",0,2
"@spencerwynn http://t.co/4q5BDYXCmZ and http://t.co/Ntzdd5C0ab Have a great day",0,0
"@spencerwynn @csa_asc Thanks for the note Now photographing birds and animals against the backdrop of their environments",0,1
"Ah the great Southwest USA @PetrifiedNPS #southwest Check out @RBondarFdn http://t.co/3SP2lZfiX9",0,0
"@yvrblogger Thanks for the music and BD wishes. Great fun.",0,0
"@CBCMusic A big interstellar thanks. A BD treat and not too alien.",1,1
"Thanks @RBondarFdn for the colourful birthday wishes http://t.co/uPYMw6lUcE",1,0
"@MACMVB @CIS_SIC @McMasterSports @McMasterU SOOOOOOO CLOSE Congrats on playing such an exciting game #proudtobeamarauder",1,6
"@AtomBombshell No problem Fill in details at http://t.co/9UL8UzHV4c",0,0
"Hidden treasure extraordinary #environmental otherworld Check out the Torngats @RBondarFdn http://t.co/mDHK8AKWHi",0,0
"White Ribbon November 25 - December 10 - Get Involved - Do Something! - Status of Women Canada http://t.co/gCBsNUG0d9",5,3
"RT @RBondarFdn: Nod to #illustration+#Science – #Manchester #naturalist William Crawford #Williamson http://t.co/SB46ha9Bff http://t.co/Dtj…",2,0
"David and Roberta hang out. It's all golden http://t.co/5KslZDUK2U via @SooToday",0,2
"RT @RBondarFdn: Meet #ornithology pioneer Tso-hsin Cheng [Zheng Zuoxin] &amp; his work on #birds of #China http://t.co/94DdQcOlEv http://t.co/5…",4,0
"RT @TheCrownCa: Photos from the November 10 #royaltour events are now available on Flickr http://t.co/FuTKocZA8J  [photo 1 of 5] http://t.c…",14,0
"RT @VeteransENG_CA: #RememberThem  Canadian women who have played an important role in our country’s military efforts over the years https:…",2450,0
"RT @RideauHall: The National War Memorial was originally dedicated by King George the VI in 1939. #RememberThem #RoyalTour http://t.co/EMka…",46,0
"RT @GGDavidJohnston: It was touching to pay tribute to our veterans and to see you all in great numbers. #RememberThem http://t.co/lMZX2I7C…",63,0
"#RemembranceDay Gr Granddad Milburn Gibson Glamorgan Artillery Wales Black Watch Royal Highlanders Cdn #ArmisticeDay http://t.co/Ng2EAsctBb",2,1
"#RemembranceDay Granddad Robert Gourlay Jr 2nd (Tank) Battalion Canadian Grenadier Guards #ArmisticeDay http://t.co/SmxNi70hG5",1,2
"#RemembranceDay Edward Bondar Bombardier 49th Field Artillery RCA #ArmisticeDay  Dad returned WWII http://t.co/OHwXLjrejo",2,2
"#RemembranceDay Leslie Gardner Shaw 2ndLieutenant 5th Battalion S Staffordshire Regiment #RoyalInfantry #ArmisticeDay http://t.co/pLT2GTJEX7",0,0
"#RemembranceDay George Constable Royal Navy Telegraphist minesweeper HMCS Swift Current returned  WWII #ArmisticeDay http://t.co/WRouAWkUlv",0,0
"@RobertaBondar #ArmisticeDay #RemembranceDay",0,0
"RT @eftourscanada: We hosted our Leadership &amp; Innovation summit in #Berlin last year w/@RobertaBondar! #memories http://t.co/SDwQ3VBDmU",1,0
"#earthobs #space Check out Inland Delta of the Niger River : Image of the Day http://t.co/u7wi0UlcoS #NASA",0,1
"Our shared planet history Check out Retreat of the Columbia Glacier : Image of the Day http://t.co/pVXOg2tRV3 #NASA",0,0
"Milestone memory for #earthobs historic moment Check out Radarsat launch @RBondarFdn http://t.co/BOABCijJnk",1,0
"@kirkymon deep knee bends",0,0
"@AngusRM @csa_asc Out of this world cutie pies standing against the pull of gravity Intrepid explorers in search of treats",3,5
"@CH_Cartoon Bruce MacKinnon's powerful image Lest We Forget, for They do not #OttawaShooting http://t.co/yOqu9VZhBx",0,0
"My deepest condolences to the family of Cpl Cirillo This brave man is the face of our resilience and resolve #OttawaShooting",9,11
"Happy Birthday @frogsbottom  and thank you for your work as Director @RBondarFdn",0,0
"RT @RBondarFdn: Today's Bondar Challenge salutes Dr. Betty Roots! http://t.co/uE7rciXGwK",2,0
"Got to visit the formidable Gunnison NP @NatlParkService Check out @RBondar Fdn http://t.co/MxTbOWE83f",0,0
"RT @TrentUniversity: A once in a lifetime photo: @LGLizDowdeswell @RobertaBondar @BPattersonCOU @dtapscott and Leo Groarke. #trentu50 http:…",8,0
"Congratulations @BPattersonCOU Doctor of Laws Honoris Causa @RyersonU My honour to deliver the citation http://t.co/iwm2PhDmmy",3,1
"RT @BPattersonCOU: A fun, celebratory moment with @RobertaBondar @RyersonU’s convocation yesterday. #cdnpse http://t.co/H0XQc8mqiZ",3,0
"One of my favs @SaguaroNPS check out @RBondarFdn http://t.co/1pSaSIS5tP http://t.co/3OLQHpt8o1",0,2
"Including works loaned by @RBondarFdn See Worlds collide at local gallery - http://t.co/3SYPuXbVNR #GoogleAlerts",0,0
"@TheNRAO @VLArray @RBondarFdn Always visit the VLA on way to the Bosque del Apache for bird photography. Love the SW desert",0,0
"#radioastronomy @VLArray featured on @RBondarFdn http://t.co/bGSUuctlYq",0,1
"RT @BirdNoteRadio: Thx for following @BirdNoteRadio @chsaudubon @animalfac @AlbatrossTales @florangela @RobertaBondar And thx for the work …",1,0
"RT @RBondarFdn: Dr. Roberta Bondar and textile assemblage artist Carole Sabiston have come together at the Buhler Gallery in... http://t.co…",2,0
"RT @RBondarFdn: Download a copy of your Living Planet Report 2014 http://t.co/imqDrqvVYt via @wwf",1,0
"RT @RBondarFdn: The Bondar Challenge! http://t.co/GJ0tTkvHeD",1,0
"The first ring tone invented Check out  @RBondarFdn http://t.co/44tZpvfbJQ",0,0
"Sun sets on Ulysses #nasa #spacecraft Check out http://t.co/woS2yCwOMX",0,3
"Chilling thought. See Study Finds Earth’s Ocean Abyss Has Not Warmed - NASA Science http://t.co/quECpowSya",0,0
"@RobertaBondar  Thanks #aviation women on whose wings I fly @EMNLaward http://t.co/BiHgLigeV6 #aviation http://t.co/wyemIisLNM",1,1
"The demise of the Balinese Tiger Story @RBondarFdn  http://t.co/SlAtKcPKu2 @IUCNRedList @IUCN",0,0
"RT @EMNLaward: 2014 Elsie MacGill Northern Lights Award Recipients have been selected!  http://t.co/FFPqgaxGEo",2,0
"#birders worldwide in case you missed these  http://t.co/7depaRFTy8 http://t.co/660Q8aDuyP @ABA @RSPBbirders @BirdLife_News",1,1
