tweet,retweetsCount,favoritesCount
"Feeling the chill in the Northeast US?  Even so, the US is overall warmer than average. http://t.co/It71lW5Oay #EarthRightNow #NOAA",2,4
"Our best view of #Ceres yet! How will this compare to dwarf planet Pluto in July, time will tell. @NASA_Dawn http://t.co/53E7TMpaym",18,26
"#spacewalk50 Michael Soluri and curator Jennifer Levasseur. #NASM #NASA http://t.co/XrEIi5Zpxc",5,8
"#spacewalk50 at the #NASM where  I'm talking about photography in space with Michael Soluri http://t.co/oD2qXD90ox",6,10
"RT @BillNye: Feburary 12th is Charles Darwin's birthday. He sure affected me... 206 years later. Thank you sir! And wow:  http://t.co/IdQ95…",788,0
"RT @NASA: Hubble repairman John Grunsfeld, @SciAstro, among those selected for Astronaut Hall of Fame: http://t.co/5zMwlwv8qo http://t.co/X…",479,0
"Liftoff #DSCOVR",2,3
"Go for launch!  #DSCOVR",3,2
"Go #DSCOVR!   3 minutes to launch.",4,2
"On target for #DSCOVR launch at 6:03 EST.",5,3
"#DSCOVR back on the launch pad with 30 minutes to launch.  Go #DSCOVR go #Falcon9 #NOAA #EarthRightNow #NASA",1,3
"#DSCOVR scrubbed for today.  Try again tomorrow at 18:03 EST.  Launching rockets is complex both the technology and Mother Nature.",4,3
"RT @NOAASatellites: There's an 80 percent chance of good weather for DSCOVR's liftoff.  Watch NASA TV at 5 pm EST. http://t.co/L5Lav544li h…",342,0
"#DSCOVR back on the launch pad on the #SpaceX Falcon 9 ready to go tonight at 18:05:34 EST. #NOAA #NASA",2,5
"Tonight is the next #DSCOVR launch attempt on the #SpaceX  F9.  605p EST.  http://t.co/ysbP8e2shY #EarthRightNow #NOAA",8,9
"T-30 to #DSCOVR launch. Adam Szabo describes the science at a preflight briefing. @NOAA @NASA @USAF http://t.co/XyCTNxDxUX",3,3
"#DSCOVR launches on a #SpaceX Falcon 9.  After staging the booster will attempt to land on a barge. Go #DSCOVR go Falcon 9!",2,4
"It's DSCOVR day!   Launching the #NOAA #NASA #USAF space weather spacecraft at 610p EST. http://t.co/ysbP8dKQTo #EarthRightNow",7,5
"The State of the Universe: Chairman Lamar Smith at Rayburn with Dr Meg Urry #AWIS #AAS http://t.co/oPSLXhvLZP",1,2
"The Dawn of a new age of dwarf planet exploration is upon us! Best view of Ceres released. http://t.co/kumQa5lZiL",10,6
"#SMAP solar arrays deployed and power positive.  Now to start the hard work of commissioning the spacecraft. #SMAP #EarthRightNow",19,9
"RT @nasahqphoto: The @ulalaunch Delta II rocket launches with @NASASMAP! #EarthRightNow See other photos: https://t.co/XMAZdejRRO http://t.…",509,0
"Coasting to a global soil moisture map SMAP on second stage awaiting second burn. #SMAP #EarthRightNow",5,10
"RT @NASA: UPDATE: @NASASMAP launch is now Saturday at 9:20am ET, pending completion of minor repairs to @ulalaunch's Delta II. http://t.co/…",762,0
"in the final hold and polling for launch readiness.  Upper level winds are too high, so the launch has been scrubbed for today.  #SMAP",5,3
"The count has resumed coming out of the built in hold.  #SMAP",0,4
"Weather briefing for #SMAP launch.  So far all 'green'  chance of patchy fog 90% prob of launch #EarthRightNow http://t.co/Qj8itIlxzc",8,5
"#SMAP will be joined by 4 Cubesats on the Delta II launch vehicle on its flight to earth orbit.  See http://t.co/32tUOJaRLn",1,3
"In the control room with less than an hour to go.  #SMAP ready and waiting to head to orbit.   #EarthRightNow http://t.co/EOSR1jiVnI",7,8
"RT @NASASocial: .@ULALaunch's Delta II rocket is fully fueled &amp; ready to launch @NASASMAP at 9:20am ET: http://t.co/LfmugBApG5 http://t.co/…",44,0
"Final preparations for #SMAP launch.   Tomorrow 620am PST. #EarthRightNow http://t.co/CP7HA4yXUl",13,18
"NASA, NOAA Find 2014 Warmest Year in Modern Record | NASA http://t.co/Z9HUGbl7JG",6,0
"RT @astraughnomer: Kepler says ~10-20% of stars have rocky planets in the habitable zone, but we have no idea how many have biosignatures. …",44,0
"RT @NASA: Launching tomorrow on @SpaceX, CATS will measure atmospheric aerosols &amp; clouds from #ISS: http://t.co/F7hUTRwmyY http://t.co/JXGZ…",1271,0
"Dan Baker; impenetrable barrier to relativistic electrons in the Van Allen belts #AAS225 electrons feel the squeeze http://t.co/mGoFWj08QA",19,22
"Dan Baker's PhD advisor was James van Allen.   When asked what the van Allen belts were good for, van Allen replied: to hold up my pants",6,11
"Dan Baker giving @KavliFoundation lecture at #AAS2015 on van Allen Probes .lasp.colorado.edu. http://t.co/R3YZDXZLuP",2,5
"Isn't it fantastic that today we can have a credible discussion about the search for life in the cosmos!  #aas225 http://t.co/L7tyPtMAQA",20,26
"@SPIDER_CMB will help to unravel the mysteries of the cosmic background radiation. Just launched from  Antarctica  @NSF_OPP #NASASocial",1,3
"@SPIDER_CMB Beautiful Launch.  Have a great flight.  So glad I met you all.",0,0
"SPIDER is on its way to near-space to orbit the Earth around the south pole.  What a great New Years present.  @NSF_OPP @csbfops",2,11
"Moments to go to 2015 and the launch of the SPIDER balloon payload from Antarctica @NSF_OPP  http://t.co/DrMG8SG480  Go SPIDER!",1,6
"@neiltyson We have the Hubble Space Telescope for one!  #Hubble25",18,31
"How are the surface winds? (live at http://t.co/DURAuGCCwz)",1,1
"The ANITA III neutrino payload launched today from Antarctica.  Follow the flight at http://t.co/K90M8V8tP1  @csbfops @NSF_OPP",7,4
"With @NSF we’re exploring the universe from Antarctica with the Columbia Scientific Balloon Facility. http://t.co/2UkTkkP6Np @csbfops",1,4
"France Cordova, director of NSF and #SciAstro at the McMurdo @csbfops balloon facility.  @NSF_OPP @NASASocial http://t.co/Hzxe6KgV9M",10,12
"Made it to McMurdo station and ran into another astronaut Shannon Walker.  Small world. @NASASocial http://t.co/9NyCWoYUpm",5,18
"Boarded the C-130 to begin the 8+ hour flight to McMurdo. @NASASocial  @NSF_OPP #EarthRightNow http://t.co/D0plgJysyW",6,17
"RT @AstroTerry: #Sunset on #ISS http://t.co/CI2iAF9ZFz",1788,0
"Scrubbed for bad weather at  McMurdo.  Will try again tomorrow.  @NSF_OPP Antarctica may be close but seems a bit farther away today.",0,2
"With France Cordova Director of #NSF  as part of @NSF_OPP expedition to Antartica. Departing NZ today! http://t.co/kZpV4mbLLK",2,12
"RT @ScienceNews: IceCube snared high-energy neutrinos from beyond the solar system. No. 18 in #SNtop25 http://t.co/qCKWr9WtdT http://t.co/s…",44,0
"Where on Earth is @SciAstro? @NSF_OPP is a clue? http://t.co/nTkKssQnvw",1,4
"RT @SOFIAtelescope: SOFIA is back @NASAArmstrong http://t.co/YDXtNbKsrW",50,0
"President Obama:  'I'm intrinsically hopeful' at the WH Nat. Medals of Science and Tech ceremony today.  #STEM http://t.co/eHVY9hp7Nm",7,11
"shipping the Deep Space Climate Observatory, a #NASA #NOAA partnership, to the launch site in Florida today. http://t.co/vNvIU9Dg5q",5,15
"RT @SOFIAtelescope: We're nearing the end of maintenance in #Hamburg. #NASA747 http://t.co/YBscCElj4d",10,0
