tweet,retweetsCount,favoritesCount
"Goodbye #USA. See you in March 2016! (or from 250 miles up at 17,500 MPH) #ISS1Year http://t.co/epjXSDWX6S",388,614
"Shutting down the office @NASA_Johnson for a while #ISS1Year http://t.co/y6qdCzfSnP http://t.co/gQxPMT9U1B",658,1588
".@sammi_kelly94 Samantha, I am your father. You know it to be true. #ISS1Year",24,82
"@sammi_kelly94",1,3
"These are not the droids you are looking for. http://t.co/TPpd8sfEtM",446,573
"Back in H Town for a few more days. Then the #bigtrip. #ISS1Year",23,91
"From #Carnival to #Mardi Gras. #Cologne to #Galveston today. http://t.co/DR8LU6R3VB",16,31
"@romn8tr exactly.",0,2
"In my #ESA Eurocom (Capcom) briefing for comm preferences on #ISS they asked and generally ask if you, 'are a Don Pettit or Scott Kelly?'",18,45
".@SpaceX #Dragon success! 5Klbs supplies &amp; my 3rd-time flyer space sweatshirt now on #ISS w ISS_Research home Look fwd to more on #ISS1year!",55,121
"Headed to #germany for last #ESA training. Then 4 days back in #USA until the long one. #ISS1year @… http://t.co/IT7Jh82xBm",85,178
"RT @DaveWardABC13: @StationCDRKelly @NASA_Johnson Scott, saw your tweet.  Great talking w you &amp; we air interview next week at 10.  Have a g…",11,0
"Last workday @NASA_Johnson w a few media interviews Great talking w my friend Dave Ward about my upcoming #ISS1year http://t.co/RsnnRZjNh0",40,80
"RT @KHOULily: At home w/ @stationcdrkelly &amp; @amikokauderer before he's @nasa's 1st Astronaut in space for a year. My report @ 10pm. http://…",27,0
"RT @RobinA929: “@StationCDRKelly completes final underwater training in preparation for #ISS1Year mission to the @Space_Station. http://t.c…",29,0
"Let's cut the cake! Last NBL run before my #ISS1year starts Ready for the real deal #ISS1year http://t.co/0h23NSXTLm http://t.co/Oa8IXvd4s8",93,248
".@AlanPGross Alan, It was a true honor to be seated next to you at the #SOTU. Your sacrifice is commendable. @StationCDRKelly",6,36
"Honoring my astronaut colleagues who gave their lives in service to mankind. Reach for the stars. #NASARemembers http://t.co/2yuOCxRENl",447,531
"Condolences to former #astronaut Prince Sultan bin Salman bin Abdulaziz on the death of his uncle #SaudiArabia  #KingAbdullahBinAbdulaziz",41,70
"My 5th flight might be to #Mars (pending #NASA approval of course) http://t.co/dW5vbnO56L",267,406
"Morning call w @sentedcruz @billpascrell Congressman Brian Babin House &amp; Senate Science Staff re #ISS1year #science http://t.co/SvmtivbDGi",35,71
"@csm014 calculated, my 1st 4 flights of 8, 13, 159, and, 365 days are described by a 2nd-order polynomial. 5th flight would be 1987 days!",7,7
"RT @ShuttleCDRKelly: My brother @StationCDRKelly &amp; I talked to @CBSThisMorning about why @NASA is studying us. Watch it here: http://t.co/Z…",181,0
"Alan Gross and I at #SOTU. @amikokauderer couldn't get me to Instagram but #POTUS can http://t.co/6ObwMhsug6 http://t.co/VDgGS282rD",111,266
".@FLOTUS Honored to be your guest tonight at #SOTU. Look forward to flying the #ISS1year aboard @Space_Station on our nation's behalf.",550,839
"RT @FLOTUS: .@StationCDRKelly will be the 1st American to live on the @Space_Station for a year. First, he'll be a #SOTU guest → http://t.c…",177,0
"RT @NASA: .@StationCDRKelly joins @FLOTUS Tuesday at #SOTU to highlight science &amp; space exploration. http://t.co/khtAA6CViA http://t.co/Je1…",460,0
"@skip_morrow Sarah, Your education is the biggest investment you can make towards an exceptional life.",15,37
"@Scott__Kelly thank you #scottkelly",1,8
