tweet,retweetsCount,favoritesCount
"RT @LiNa8294: @Thom_astro @Astro_Andreas The different types of suits worn by astronauts and cosmonauts! http://t.co/yeSxLhzhxO http://t.co…",16,0
"RT @ESA_fr: Transfert de technologie: la @Ligne1_RATP du métro parisien dans l'ère spatiale grâce à l'ESA http://t.co/dgdGaLgUAj http://t.c…",18,0
"RT @esa: Cooler ride on the #Paris metro, with space tech #spacespinoff   http://t.co/bkUGAWIi5N http://t.co/MCUoDU4Em7",40,0
"Training never stops! In the ISS sim w/Shane, going through a day in orbit... only not floating. http://t.co/zMKJigdeG2",39,46
"Astros are also space plumbers! Hyd connectors trg w/crewmate Shane. Will be harder in the suit w/ pressurized lines! http://t.co/m880IG584m",14,21
"Cette scène pourrait se répéter en scaphandre, suspendu hors de l'ISS, avec 400PSI de pression hydraulique.. #Nov2016 http://t.co/bNdjzoJ86n",18,30
"A friend: 'now that the ATV prg is over, you're the standard-bearer of human spaceflight in France'.. No pressure! ;) http://t.co/u6gtTkWnqG",24,30
"RT @esaoperations: View of ATVCC: no more telemetry on screen, people hugging &amp; crying #ATV5 #teamwork #expertise #skill #success http://t.…",93,0
"RT @esa: Congratulations to @CNES, @AirbusDS &amp; ESA teams at ATV-CC for amazing success with #ATV5 &amp; 4 earlier flights to #ISS http://t.co/5…",52,0
".@esaoperations No astronaut is smart enough to know that (w/out cheating)! Ask the real X-wing pilot @LFRANCILLOUT ! http://t.co/lC7PJD30G5",3,7
".@esaoperations SOC SLEW! So I didn't forget everything about my ATV training CC @lionelferra",2,7
"RT @esaoperations: First #ATV5 deorbit burn complete and confirmed. George is on its way to destruction. 2nd and final burn at 17:26 GMT #B…",28,0
"À suivre comme la fin d'un très bon film MT @mgandrieau #ATV5 ré-entrée: 2 allumages 15:30 et 18:26; impact attendu 19:12 CET @esaoperations",9,5
"RT @AstroTerry: #ATV departing #ISS today- it looked like an 'X-wing fighter' leaving. #SpaceVine timelapse https://t.co/WjmdQ4pBAT",1026,0
"Farewell, #ATV5! Last flawless mission for the European X-winged spacecraft series. Proud of you and all your people http://t.co/UJ4awTmPfr",51,68
"First ISS routine ops sim! All the instructors have gathered to go through a day on orbit http://t.co/Ues5zy8YzV",16,15
"@Edo_Leonardi There will be, but no one knows exactly what or how much so far...",0,0
"Congrats to @esa for a flawless IXV launch! Way to pave the future of space exploration http://t.co/3Fu0o8VdwJ",23,30
"RT @esa: ESA astronaut @Thom_astro flying to #ISS with Peggy Whitson &amp; Oleg Novitsky, December 2016. http://t.co/3zlwDL1Ei0 http://t.co/RsX…",73,0
"Countdown to my launch: 645 days... Hardly enough time to train on everything! http://t.co/wJ74FKOnV2",42,73
"RT @ESA_History: Launched #OTD in 2008, #ESA's Columbus lab. This image from 2013 by @astro_luca #Volare http://t.co/TM0K6AEDzt http://t.co…",123,0
"RT @NASA_Astronauts: “As far as you can see over the horizon. #Moonrising” #AstroButch http://t.co/LyiA6gfN7P",615,0
"RT @jarimakinen: Breaking news: Competitor for @Thom_astro found from Roubaix. #Tourhivernal http://t.co/IdtkrGmZdT",1,0
"Today at @ESA_EAC we're performing maintenance on the emergency equipment in the Columbus laboratory w/@Astro_Andreas http://t.co/hUjRyiAe3k",29,47
"RT @Mehdin_France: Fermer les yeux et se pendre en arrière dans le vide &lt;3 '@parisavant La tour Eiffel vue depuis le sommet de l'antenne ht…",19,0
"Interesting figures, to say the least. Roughly the same in many countries. #education #science #ISS #journeytomars http://t.co/BjbCW10NtG",14,14
"@Astro_Andreas You were probably thinking about your phone bill",1,8
"RT @WilksJeremy: Thanks to @Thom_astro for giving @euronewsknwldge his vision of the future of space flight today! http://t.co/nfpZcvMCyN",4,0
"Back to EAC 2day, Columbus specialist trg w/ this very happy man sporting his new mission shirt #IRISS @Astro_Andreas http://t.co/jWNAen1MnA",15,30
"@yfouldrin Non c'était moi! Je passais échanger mon billet de train retour vers Cologne. J'espère que tout roule pour toi en tout cas.",0,0
"RT @AstroTerry: http://t.co/8L2pzBsIZS",132,0
"Bravo l'équipe de France @ffhandball champions du monde une 5ème fois, &amp; ajd n°1 Europe/JO/Monde! @Thierry_Omeyer @JrmeFernandez @NKARABATIC",9,12
"I see mine! :) MT @ObservingSpace: Rockets of the World, T. Skrabek http://t.co/aAiCDBv2Bz #rocket #rockets #space http://t.co/4UK5DdZa1l",55,62
"RT @asc_csa: TT @BI_Science On peut mettre 1 million de Terres dans le volume du Soleil - ça ressemble à ça http://t.co/yjFmoDkqhY http://t…",48,0
