tweet,retweetsCount,favoritesCount
"Hubble immortalise la violente fusion de deux galaxies http://t.co/fiAa6lobXp  http://t.co/n3XGxkMake (via @Maxisciences)",4,2
"TT @AstroTerry Des glaces impressionantes dans l'est du #Canada http://t.co/vJookwu5vq",2,3
"TT @Astro_Jeremy Je viens d'apercevoir ce rover à ma sortie d'une rencontre. Mon imagination se dit: 'et si...' http://t.co/AdLCZZyKlB",1,1
"RT @CanoeTec: Vidéo @NASAGoddard : 5 ans d'images du Soleil prises toutes les 8h. Résultat sublime, à voir!  http://t.co/pwTyuz5jug http://…",4,0
"RT @AuroraMAX_asc: #aurores à Whistler MT @triwhistler: The colours in tonight’s #Whistler sky have been off.the.celestial.charts! http://t…",7,0
"RT @AuroraMAX_asc: Clip : #aurores en Saskatchewan MT @DJHardwired: Late night Aurora - 17FEB2015 http://t.co/Yev1PPzLdg",3,0
"RT @AuroraMAX_asc: ALERTE AURORAMAX • En ce moment, une #aurore est visible au-dessus de #Yellowknife TNO http://t.co/BJA6CqW0Yj",2,0
"RT @AuroraMAX_asc: ALERTE! Une tempête géomagnétique de classe G1 est maintenant en cours! Plus d'infos : http://t.co/xy7FvEXPSY   … (site …",7,0
"Nous avons un nouveau résident mignon à l'ASC! http://t.co/yAMf6bJR48",1,3
"À l'affût des aurores boréales! #Encejour de 2007, le satellite Themis était lancé pour observer les #aurores! http://t.co/UYTVWrFjqA",0,0
"Wow! TT @_JeffNash Hier soir en revenant de Winnipeg. Ce que j'ai vu de mieux par la fenêtre!  #yeg #ywg http://t.co/NulUdIGDMw",3,7
"TT @AstroTerry #AstroButch et moi avons essayé nos combinaisons spatiales en vue de notre sortie de vendredi! http://t.co/PUsKw3ZVWA",1,2
"TT @universetoday La Lune rencontrera Mars et Venus le 20 fév., un événement à ne pas manquer! http://t.co/xZAwxnjlpJ http://t.co/FtDU3Dh1E2",2,0
"Pour célébrer le 5e anniversaire de son observatoire dédié au Soleil, la @NASA partage cette impressionante vidéo: http://t.co/bRfr0C2khT",2,1
"RT @futurasciences: La sonde @ESA_Rosetta se rapproche toujours plus de #Tchouri. Voici des images de son passage à 8,9 km de la comète ! h…",17,0
"#Dextre a réussi! Le robot à tout faire a remplacé avec succès deux boîtiers de disjoncteurs défectueux sur l'#ISS. http://t.co/IgGcUrcDA0",6,4
"RT @ESA_fr: TT @ESA_Rosetta Mosaïque 4 images NAVCAM à 8,9km de la  comète #67P le 14/02. Zone de 1,35km http://t.co/89zD3RoJ7m  http://t.c…",15,0
"RT @AuroraMAX_asc: MT @audrey19740719: #Auroresboréales le 14 février 2015 à minuit depuis  #whitehorse  http://t.co/3lBVGwfsX7",3,0
"Le mot-symbole Canada &amp; son #drapeau50 font du Canadarm l'un des symboles cdns le + reconnu: https://t.co/wft7lklW7N http://t.co/zs1gCfefZd",1,0
"L’Unifolié sur la main de #Dextre, opéré par un canadien pendant que l’#ISS survolait le #Canada. #Drapeau50 http://t.co/IMSTBLb3b1",1,1
"#Dextre a terminé l'installation du 2ieme boîtier. Le boîtier a été activé et le tout est 'nominal' (autrement dit, tout va bien!).",3,0
"Pourquoi les changer de place? 1 des boîtiers a perdu une partie de sa fonctionalité, mais demeure utilisable. Il y a 8 circuits dans chq.",0,0
"#Dextre relocalisera Boîte 2 à la place de Boîte 1, en ensuite, Boîte 1 à la place de Boîte 2. Fiou!",1,0
"#Dextre en action! http://t.co/rCab7YEQOR",0,0
"Et voilà! Le deuxième boitier de disjoncteurs est sorti! http://t.co/xW008FTRiM",0,0
"Comme vous l’avez probablement remarqué, les robots spatiaux bougent TRÈS LENTEMENT. La raison est fort simple : la sécurité avant tout!",0,0
"En 2010, #Dextre a commencé à remplacer les boîtiers afin de réduire les sorties spatiales pour l’entretien courant à l’extérieur de l’#ISS.",0,0
"Auparavant l’échange des boîtiers était effectué par des astros en sortie extravéhiculaire, ce qui comporte tjrs un certain niveau de risque",0,0
"Ces boîtiers contrôlent le débit de l’électricité dans le réseau secondaire de l’ISS et ont tendance à tomber en panne occasionnellement.",1,0
"Les boîtiers de disjoncteurs défectueux sont aussi connu sous le nom technique de « modules de télécommande d’alimentation (RPCM) »",0,0
"Suivez en direct les opérations robotiques de #Dextre à bord de l’#ISS : http://t.co/dXI1T1whAL",0,0
"Ce sont les contrôleurs en robotique qui commandent #Dextre, aucun astronaute nécessaire!",0,0
"Aujourd’hui #Dextre est opéré depuis l’#ASC à Saint-Hubert (Qc) avec la @NASA_Johnson à Houston.",0,0
"#Dextre a déjà relocalisé 1/3 boîtiers de disjoncteurs défectueux. En ce moment, il s’apprête à extraire le 2ième.  http://t.co/CnNFmNuJNz",1,0
"Les activités des robots canadiens se continuent sur l’ #ISS. #Dextre, l’électricien de l’espace, est au boulot ce soir!",0,0
"MT @ralfvandebergh: L'#ISS prise avec un télescope de 25cm 2 orbites après le départ d'#ATV5: http://t.co/AQB2TLvbaD",1,0
"L'unifolié est aussi sur Mars! Notre #drapeau50 se trouve sur les instruments canadiens de Phoenix &amp; @MarsCuriosity! http://t.co/AFdO24iQKb",0,2
"Les astronautes canadiens, arborant l'unifolié avec fierté sur Terre et dans l'espace depuis 1983! #drapeau50 http://t.co/ZvoqeB3QXL",7,5
"En direct depuis l’#ISS : le #Canadarm2 et #Dextre commencent leur journée d’opérations http://t.co/p596oAd5Xj",0,0
