tweet,retweetsCount,favoritesCount
"Great working w you! “@meeterica: What an amazing day filming with NASA Astronaut @astro_aggie @sciencemuseummn http://t.co/lHJwZgxiM4”",2,13
"I look forward to meeting you, too, Abby! Big night in St Paul, MN!! “@AstronautAbby: Looking forward to meeting @astro_aggie tonight!'",0,5
"RT @bebopified: Astronaut Mike Fossum @sciencemuseummn  for the new 'Space' show. http://t.co/bCTKVYN5tq",2,0
"Exciting day @sciencemuseummn today! New #ISS exhibit is amazing!! Fun to film some Q&amp;A w my co-host!! http://t.co/Cchr0QvdIF",21,44
"@LensPunk Great to work with both of you guys today at @sciencemuseummn !",0,1
"RT @LensPunk: Super proud of this kid shooting a promo today for the @sciencemuseummn #SpaceExhibit http://t.co/oBCQjoSGQt",3,0
"Wow!!! “@sciencemuseummn: You can't miss our new visitor. Assembly is almost complete! #giantastronaut http://t.co/EqfiULn9Il”",17,23
"@sciencemuseummn I can't wait to meet you at the Science Museum of Minnesota tomorrow!!",0,1
"@yatpay @nasaspaceflight We are moving together - Atlantis is lower/faster. Descending rapidly as digs into atmos &amp; slows. Curvature visible",0,0
"My hands were shaking! “@NASASpaceflight: My favorite entry footage was of Atlantis making her return during STS-135 http://t.co/gZERoRr7Iq”",155,207
"Harlingen, TX. Great visit to the Marine Military Academy today! Keep up the great work!! http://t.co/OoXLw3MPPp",5,10
"“@Astro_Ron: In honor of National #Pizza Day - Pizza #FromSpace [video] http://t.co/Cbs9vQUjMf”  We never did get that pizza!!!",7,6
"Congrats!  “@fossumfalconms1: Having a good time @ Fudds w/ bright students that made A/B honor roll! @McAllenISD http://t.co/aE8wep5HVV”",4,8
"Today we honor the crew of STS-107. We carry on because we must. http://t.co/ETFcr0fzea",57,64
"@nctowne With 16 sunrises &amp; sunsets, we live by clocks set to London time. Up at 6am and (supposedly) to bed at 9:30pm.",0,1
"Beautiful shot!! “@AstroSamantha: Good night from #space! Buona notte dallo spazio! http://t.co/rdym20XWF9”",33,50
"@kickinfour Kenneth Ruby - Welcome aboard as my 40,000th follower!!!",0,0
"@CariQMusic It was great to meet you at Solaro Estate Winery today!",1,1
"I've been on the road, but thinking all day about the friends lost 29 years ago on Challenger. The dream is still alive.",82,175
"RT @NASA: Administrator Bolden at @ArlingtonNatl as #NASARemembers. 'They have our eternal respect, love and gratitude.' http://t.co/OyqTjR…",413,0
"“@wgskinner: @astro_aggie kid is amazed the Dino is older than you”  So true!! Mad Dog liked the big teeth!!",1,2
"Loved the Museum of Natural Science in Raleigh, NC!! #WLDinoNC http://t.co/FPzO8RHAzz",3,18
"@texasmemstories Congratulations, Jose!! Way to reach for the stars!!",0,1
"“@THISISVT: Here's something awesome: Astronaut @astro_aggie will be visiting @norwichnews Feb 26 for Todd Lecture Series!” Can't wait!",4,9
"@brianamr140 For info on NASA Astronaut Appearance requests, best to start here: http://t.co/O6t2Ip0BzY",1,5
"RT @ShuttleCDRKelly: Great new @NASA_Hubble photos show the “Pillars of Creation,” columns of cold gas &amp; dust 7,000 light years away. http:…",29,0
"Fun work on ISS right now w @ZeroRobotics! May best team win, but also part luck!! #Exp42,  @MIT_Spheres #STEM @AstroSamantha, @AstroTerry",7,9
"“@RobertSGlick: Awesome to meet @astro_aggie at #ASU where he chatted about his #EVAs #ISS @KCbreak http://t.co/LAfdRpC3YV” Great to meet u!",3,9
"@projectmater Hold that thought!",0,0
"“@bsaswampbase: It's an absolute honor to hear @astro_aggie speak this afternoon at @SSBGalveston!”  Great to meet you, too!!",5,8
"“@TamithaSkov: Polar coronal holes mean #Sun's dipole is returning, moving us to declining phase http://t.co/8Ljjumcmpl” Too bad - been fun!",6,5
"“@GrangerSmith: Thanks for last night Webster TX! It's gunna be a good year. http://t.co/P1m2u2eC8K” Sorry to have missed you!",6,6
"RT @NASA_Astronauts: “Station #sunrise” #AstroButch http://t.co/MGc7xyls1x",469,0
"“@PC0101: @astro_aggie @Astro_Ron Did you get dizzie when looking down?” Never dizzy - just an urge to hold tight! Did enjoy view!!",6,9
"@Astro_Ron @bkpub Yes - indeed! Because 'down' is towards Earth - very disturbing view looking down 240 mi at a blue/white globe moving 5mps",2,5
"@CassieLaBeau It was great to meet you in the airport in Dallas! Safe travels and best of luck in the year ahead!!",0,1
"@Fuzzaldrin Done!",0,1
"@MS_cheerTX Happy 40th Birthday! And #gigem !",0,1
"@paginaskinner Thank you, my lovely niece, Paige!",0,0
"@wgskinner Thanks, Ice!",0,1
"@rosemary_welch Thanks, Rosemary!",0,0
"RT @StationCDRKelly: #OneYearExp news conf in Paris, @Time cover story out today. Keep calm, it's about to get real http://t.co/hDv0Dsm63q …",316,0
"RT @NicoleAtNASA: A touching tradition....Astronaut Memorial Grove lit up for the holidays... http://t.co/xykepz9UMC",38,0
"RT @AstroTerry: watching #Orion launch with our crew from the #ISS- awesome!!! http://t.co/10o0bqob3o",1865,0
"Perfect EFT-1 mission! Cheering for #Orion !!",43,66
"@HSandbach If your suit is in contact, you can pick up some of the vibrations as sound. Thru soft goods, like gloves, faint. Helmet clear.",1,0
"@rlcassidy Thanks!",0,1
"@AstroSamantha Samantha - Great to share the launch with your family &amp; friends. And awesome to see you up there!! Welcome to space!!!",1,3
"RT @spasmunkey: @Astro_Cady @slbscifi @drmlb It is extremely hard to watch our friends ride rockets. Seeing their smiles is pretty wonderfu…",3,0
"Baikonur Cosmodrome. Managers, family &amp; friends waiting for hatch opening any moment! http://t.co/1BvHBGjE39",33,22
"@GTGrimey Greg Too much for tweet! No guarantees, but all have technical or medical backgrounds. Work hard, be the best you can be, believe!",1,1
"Capture confirmed!!",23,34
"“@pcombo: @astro_aggie @brandonheath Mike, When are you going back to the space station :D”  In my heart, I just launched! Reality less sure",2,10
"“@SandyMcMahan: @astro_aggie prayers going with them!!”  Thanks for prayers - all great!",0,4
"Nice launch view with @BrandonHeath in foreground! http://t.co/1Ih0C8DEcb",6,17
"Getting close to launch! Crew is strapped in and doing leak checks about now.",20,65
"Prime &amp; Backup Soyuz crews facing a sea of reporters after the State Commission. http://t.co/j2uV7S4Not",7,10
"@BrandonHeath - It is great sharing the adventure of a launch in Kazakhstan with you! http://t.co/GLHnwOU3Y1",0,5
"@TALsite No - I'm not scheduled for another flight now, but the dream of going back is definitely alive!",0,3
"Baikonur Cosmodrome. Our group has arrived to participate in launch activities. Everyone excited! http://t.co/ywA0nsXAIc",17,27
"GCTC/ЦПК, Star City, Russia. Behind the scenes in suit room. Everything ready for sim the next day! http://t.co/gPvhS3dDOV",13,25
"@HWY_STR The new EEC at @TAMU will house undergraduate engineering programs and will be the largest academic building on campus.",0,0
"It's a great weekend to be out on the trail with my @boyscouts ! http://t.co/7IsJFx32A8",8,21
"Proud to be part of groundbreaking for new #TAMU Engineering Education Center today! #gigem ! http://t.co/u50I2U4WCM",15,31
"Bonnie - Great to meet you, too! #Gigem !  “@bonniebee23: @astro_aggie It was nice to meet you! #gigem http://t.co/Y65jglbBvY”",2,5
"On the road to #AggieLand for groundbreaking for new Engineering Education Center. Come on out to north side of Zachry at 3pm!!   #gigem",1,6
"“@branco_beel: We enjoyed sitting with Astronaut Mike Fossam at the @boyscouts Gala. Nice event! @astro_aggie @mattkatsarelis”  Great night!",0,2
"RT @daynasteele: Fellow Aggie @astro_aggie and wine. Yep. A good night. http://t.co/GLY8ix4sUe",1,0
"“@chronsciguy: An awesome surprise to find @astro_aggie speaking @ my daughters' school for Veteran's Day. They loved it.” Beautiful family!",1,1
"“@AnneKepplinger: @astro_aggie - so like an earthly workroom!!!”  The inside smells like workroom, exotic foods, and gymnasium. Very unique!",2,2
"“@AnneKepplinger:  what does it smell like in space?” When bringing crews in the airlock, there is a strange acrid electrical smell.",5,5
"Well done, compadre!  “@Astro_Alex: R-0: Touchdown! Earth smells amazing, it is good to be back on our #BlueDot http://t.co/z425OOzg1z”",43,129
"RT @AstroSamantha: Yes, that black capsule just 'fell' from space. Ah, those 3 guys too! Great job @astro_reid @Astro_Alex @MSuraev http://…",259,0
"“@astro_reid I have looked on in awe @ our planet for 166 days. #Sunset final #Exp41 #SpaceVine #Timelapse https://t.co/qTl458K5gt” CU soon!",32,28
"“@DavidPena5: @astro_aggie  where did the fireball land in Texas”  I'm sure they are looking and hoping to find it!",0,3
"RT @Chief_Astronaut: Outstanding mission @msuraev, @astro_reid, &amp; @Astro_Alex, looking forward to getting you home today! http://t.co/ixJLB…",27,0
"RT @Astro_Cady: Wow.Beautiful in so many ways: @astro_reid @Astro_Alex are handing over 'The View' to @AstroSamantha @AstroTerry   http://t…",247,0
"RT @NorthLightAlert: Did you see the #fireball tonight in Texas? It may have actually landed. If you saw it report it here: http://t.co/RO1…",7,0
"RT @chronsciguy: Wow. RT @ABC: Reports across Texas of a large fireball in sky Saturday night: http://t.co/FQqz7YByGt http://t.co/kOh7FYnzLV",49,0
"“@NicoleAtNASA: @astro_aggie thx! I bet you'd want to soak up views as much as possible. I'm sure Reid's doing the same.  = )” I know he is!",1,6
"“@NicoleAtNASA: @astro_aggie Did you sleep at all your last night on ISS or gaze out window?”  Reluctant to leave, enjoyed view, sleep later",5,16
"RT @NicoleAtNASA: Hard to believe its the last night in space for @astro_reid &amp; crew... Return to Earth planned for tmrrw  ~10p CT",4,0
"Looks like the @AggieFootball team showed up to play today! #whoop &amp; #gigem !",7,11
"Cool! “@astro_reid: #science #SpaceVine – drops are rejected by water bubble if force &lt; surface tension, added if &gt; https://t.co/6ag28Gs5UG”",26,19
