tweet,retweetsCount,favoritesCount
"Great day w/ Claude Nicollier Amsterdam #Hubble25 yrs TVspecial @dekennisvannu @omroepntr @Astroclaude @ESA_nl #dkvn http://t.co/rn7aKP0pKg",4,10
"@FluorCorp My pleasure!",0,1
"RT @sanderkoenen: Kom op 1 maart naar het #theatercollege van @astro_andre in #Rotterdam! Kaarten via http://t.co/xlCwn9NBZa http://t.co/Hr…",11,0
"RT @mvanimmerzeel: Ziet er zo vredig uit op grote hoogte #Tambora de #vulkaan die wereldwijd impact had #1815 via @astro_andre @Faqtman htt…",7,0
"RT @ToriHerridge: The perfect 1950s childhood toy: your own atomic energy lab! With polonium! At the Ulster Museum. Cc @alicebell http://t.…",58,0
"RT @PSHetParool: .@claudiadebreij staat deze week in @theatercarre met voorstelling Teerling. 'Hoe groter de zaal, hoe meer ik shine.' http…",19,0
"RT @dekennisvannu: In ongeveer een kwart van de gerechtelijke dwalingen speelt valse bekentenis een rol. Vanavond 19:20 op NPO2. http://t.c…",13,0
"Vanavond DeKennisVanNu: Dubieuze verhoormethoden. Ned Forensisch Inst 19:20 NPO2 @omroepntr @DiederikJekel @dekennisvannu @NedForInst #dkvn",10,1
"RT @astro_kjell: L-98: Suited descent sim today. Wondering if I can trade in miles for more legroom? #upgrades http://t.co/1o6fUitkva",119,0
"RT @StationCDRKelly: Shutting down the office @NASA_Johnson for a while #ISS1Year http://t.co/y6qdCzfSnP http://t.co/gQxPMT9U1B",658,0
"RT @NASAhistory: #Today in 1930, Clyde Tombaugh discovers Pluto; countdown to New Horizons arrival at Pluto: http://t.co/rpUeDZlKaa http://…",236,0
"RT @NL_Space: Wat biedt Nederland aan satelliet- en geo-infodiensten voor water en klimaat? 5 maart Waterinfodag @nwpnederland http://t.co/…",7,0
"@dacaldar Lucky 8: Luke and the Daltons. 3?",1,0
"@dacaldar Asterix",1,0
"RT @fokkesukke: #LEGO is het sterkste merk. Ik vind deze Lego-stripfiguren nog steeds geniaal. Herken jij ze allemaal? http://t.co/7h0Acilh…",431,0
"RT @NASA: In @NASAHistory: Today marks 25 years since @NASAVoyager saw Earth as a 'pale blue dot' http://t.co/tHKnBT0KSO http://t.co/juf8TR…",3197,0
"RT @VideosOfScience: Alignment and self-sorting of droplets based only on surface tension. Physics! http://t.co/R91b01Lk17",529,0
"RT @weermanreinier: Thx @kevviinnn0481 voor delen van deze onwaarschijnlijk mooie timelapse van zwaar onweer uit de kust Barcelona. https:/…",64,0
"RT @Marco_Langbroek: #ATV5 passeert Capella, tussen de wolken, vanuit #Leiden @esa_nl http://t.co/K075HL09Gq",16,0
"RT @Astro_Nicole: So long ATV! Thx for all deliveries! “@AstroTerry: #ATV departs #ISS today- like Xwing fighter #SpaceVine timelapse https…",20,0
"Prachtige tentoonstelling over de late Rembrandt. @rijksmuseum #Rembrandt http://t.co/yXFjuMxJ2l",61,37
"@RoyLammens Zit in elke lezing.",0,0
"@wilsonvh Zeker, het is voor alle leeftijden. Tot dan.",0,1
"RT @RichardKrajicek: Special guest at the @abnamrowtt : André Kuipers (@astro_andre) http://t.co/rhUaUFJ699",10,0
"RT @volkskrant: Veel meer plastic dan gedacht eindigt in zee http://t.co/kDahhuSkYN http://t.co/uqw9f7vFZz",137,0
"RT @Learn_Things: Cross-section Of entire human body http://t.co/LhaAWwdlIz",1323,0
"RT @Learn_Things: The evolution of lunar impacts. http://t.co/s6ei450PeS",775,0
"RT @esaoperations: On board #ATV5, the #BUC (Break-up Camera) - which will record Georges' demise from inside - has been switched ON http:/…",54,0
"RT @EiseEisinga: Morgen is het #Planetarium te zien bij @rtlkoffietijd met @lmschrijver . Uitzending tussen 11 en 12 uur. http://t.co/D8Ijk…",34,0
"RT @techniekevents: #Techniekpact #Techniek @AMSFraneker nieuw werkstukje Technics4U is groot succes! http://t.co/zDffMJrA2W",8,0
"RT @techniekevents: Ook @astro_andre is weer van de partij bij #Technics4U! #techniek http://t.co/bu6Te2ji0c",6,0
"RT @ESA_nl: Wat een ruimtevaartweek! Na #Dragon en #IXV gaat ook ESA's #ATV5 voor atmosferische reentry! http://t.co/9BOUgifRRU http://t.co…",14,0
"RT @DanSpace77: Still can't get over these inside fuel tank images.  #SpaceX #DSCOVR http://t.co/71jduklmFq",208,0
"RT @SpaceX: Sunset launch ✓ #DSCOVR on way to L1 in good health ✓ First deep-space mission for #Falcon9 ✓ http://t.co/REhNnuA0WB http://t.c…",1144,0
"RT @Spaceflight101: Photos: #Falcon9 thunders off at sunset, carrying #DSCOVR into Deep Space - http://t.co/lBSujef7rS | Credit: NASA http:…",25,0
"RT @mariekebaan: RT @alexwitze: #DSCOVR launch will be first by a private company beyond low-Earth orbit.",3,0
"RT @newscientist: Your phone, TV and lights would be duds without a host of hard-to-find elements. Worried? http://t.co/xA0xu0XLvD http://t…",54,0
"RT @NOAASatellites: #DSCOVR: The 'go' has been given to begin propellant loading at approx 3:03 pm EST. We are less than 3 hours from launc…",138,0
"RT @Arianespace: Thanks to the successful @ESA_IXV team:  @ESA @ThalesGroup @ASI_spazio #Avio #ELV @Arianespace #VV04 http://t.co/190CHQHZ3P",66,0
"RT @esa: Relive #IXV 's #100minutemission success from liftoff to splashdown, with our full launch replay http://t.co/0KtgfmJga6",38,0
"RT @3dprintindustry: .@SpaceXDragon Returns Carrying Precious Printed Cargo http://t.co/mJK8Jm7mpa via @3dprintindustry #3dprinting http://…",24,0
"RT @NASAJPL: Get happy! @NASA_Hubble smiley has galaxy eyes &amp; a gravitational lensing grin http://t.co/UtPFlMCK8A http://t.co/ZbHlREv7WZ",299,0
"W/ @astrodude Leroy Chiao (3x Shuttle, ISS exp10, back-up for my 1st Soyuz TMA-4) enjoying old + beautiful Amsterdam http://t.co/L4Ze1ZVWDo",10,15
"RT @SPACEdotcom: How Europe's IXV Space Plane Works (Infographic) http://t.co/0XKCUehuQz http://t.co/hdorOQaL6O",110,0
"RT @SpaceX: Busy Tuesday: #Dragon loaded w/return cargo, set for Earth return &amp; splashdown in Pacific tmrw just before 4:45pm PT. http://t.…",668,0
"@timmermansr Het is de 03M",0,2
"@NVR_Ruimtevaart @Spaceexpo   Het is de TMA-03M",3,0
"Once more: Come along on a tour through the amazing International Space Station https://t.co/1uV9razNcX",28,26
"RT @esascience: RT @ESA_Rosetta: Last look at #67P before leaving my bound orbit last week - #CometWatch 3 Feb http://t.co/DMNIGcRtQl http:…",56,0
"RT @WNLZoonZondag: En hoe toepasselijk; @astro_andre vraagt Rocket Man van Elton John aan: https://t.co/0cgfdsQa8H @NPORadio2 #WNL",4,0
"RT @mariekebaan: RT @apod: Layered Rocks near Mount Sharp on Mars: http://t.co/dLuYOdMkIu (follow link for explanation) http://t.co/eOqu17B…",18,0
"RT @Nerootje: Prachtig project: 'Breng de zon naar Leiden!'  #zonnaarleiden @SterrewachtNL @UniLeiden @LeidenScience http://t.co/dV78kdCuRl”",18,0
"RT @SteunEmma: Clip #Emma150jaar #kindergeneeskunde mmv @astro_andre @suuspliethoff @emmatvamc  @denkfabriek https://t.co/xoQ5wVVab0 http:/…",15,0
"Mooie sterrenkijkavond. Met 4 wetenschappers op dak Leidse Sterrenwacht DeKennisVanNu Hubble 25jr @omroepntr #dkvn http://t.co/DB2F4glsKh",44,28
"DeKennisVanNu over telescopen. @museumboerhaave Leiden @omroepntr @dekennisvannu #dkvn Hubble 25jr Wo 4/3 NPO2 19:20 http://t.co/3gf2WTccUi",18,11
"RT @ESA_nl: Spectaculaire start #MissionX campagne bij @NEMOamsterdam Succes deelnemers! @astro_andre https://t.co/A3vkB0pJBH http://t.co/z…",8,0
"RT @sanderkoenen: Supermooie collegetour met veel proefjes voor #missionx bij @NEMOamsterdam met @astro_andre  http://t.co/m077xQdmzJ",10,0
"RT @NEMOamsterdam: Leraren proeven #ruimtevoedsel tijdens de collegetour van @astro_andre en @sanderkoenen http://t.co/pIp9A0QG53",9,0
"RT @NLSpaceOffice: Opkomst @astro_andre bij kick off scholenproject MissionX in @NEMOamsterdam vol joelende kinderen. @Techniekpact http://…",17,0
"RT @InekeDezentje: De Stella, gezinsauto op zonnenenergie, wint in Silicon Valley de Oscar van de technologie! Hij rijdt prima! http://t.co…",35,0
"Getting ready for the start of the 5th edition of Mission-X, Train like an astronaut @NEMOamsterdam @ESA_nl @NL_Space @NLSpaceOffice",27,17
"RT @SPACEdotcom: Europe to Launch Its Own Mini-Space Shuttle http://t.co/TwoZJw9gLQ http://t.co/y1hXmmfRP4",41,0
"@JansenPiet iik denk dat mijn theater college wel wat voor haar is. http://t.co/T8oRUcejAZ voor de locaties en data",0,1
"RT @earthskyscience: Watch for the zodiacal light http://t.co/o54xqN1ji6 West after sunset N. Hemisphere. East before dawn S. Hemisphere. h…",48,0
"RT @mariekebaan: Mooi, zeg. Drie van Jupiters manen door Hubble gefotografeerd #transit http://t.co/JEJMY2QFyN http://t.co/cvNSqSctJ2",28,0
"Filming Hubble Space Telescope 25 yrs special. At ESTEC w/ Cheung, v/d Marel @dekennisvannu @omroepntr @ESA_nl #dkvn http://t.co/K8yLTYBKla",14,15
"RT @oldpicsarchive: 1956: A 5MB hard drive being loaded onto a PanAm plane. http://t.co/bPLrYWdNqZ",544,0
"RT @AstroTerry: Does this count as a sundial?  An entire orbit without a sunset  #cosmicclock #SpaceVine time-lapse https://t.co/f9HQ6eug2V",764,0
"RT @spacemanfellow: Have you seen @astro_andre at @Schiphol? http://t.co/PltDrJUsT5",2,0
"RT @ESA_nl: Woensdagmorgen.nl event 4 feb 8.30 @ESABICNoordwijk met Tim van Leeuwen van @NuonSolarTeam! http://t.co/S8UkyUA8jM http://t.co/…",18,0
"RT @Astro_Ron: We honor #Columbia crew, their legacy &amp; sacrifice by continuing 2 push boundries of human understanding &amp; exploration http:/…",208,0
"RT @Channy2106: @astro_andre Zou u de ongeneeslijke zieke Elynn een kaartje willen sturen? http://t.co/u6rwvZHvax RT =Lief http://t.co/AbJc…",180,0
"Interesting talks. Game changing technologies. Connecting the dots Raad voor de leefomgeving en infrastructuur. #TechandSociety @raadrli",4,3
"RT @AstroSamantha: L+59-65: Logbook. I made new space friends... the worms C. Elegans from the Epigenetics exp! https://t.co/panvfHvqZV htt…",213,0
"RT @CommanderMLA: #tbt A difficult week for the @NASA family. The Apollo1 fire was 48yrs ago Tues, Challenger &amp; Columbia accident anniversa…",11,0
"RT @esaoperations: C. Elegans worms are experienced #ISS travellers &amp; research shows they thrive in space: http://t.co/CClr5ZPZ7s http://t.…",67,0
"RT @newscientist: Despite huge, floating plastic graveyards at sea, we don't know where most dumped plastic is http://t.co/PLxLU2R63o http:…",203,0
"RT @DeWensVanBjorn: @NicoletteRTL5 Hoi Nicolette, help je mee om #dewensvanBjorn nog bekender te maken? Lees zijn verhaal hier: http://t.co…",75,0
"RT @freekjonge: 69 people can't be wrong!  https://t.co/xZr1Yx8fP1 en stuur 'm vandaag nog door naar je moeder in het kader van  #gedichten…",11,0
"RT @ESA_History: #OTD 29 January 1998, @CNES astronaut Léopold Eyharts (now @esa) made his 1st spaceflight, Soyuz TM-27 #Pégase http://t.co…",9,0
"Mooie presentatie van Nuon Solar Team @tudelft op de vroege ochtend. Historie en factoren. @NuonSolarTeam http://t.co/kOTCfCikqD",19,7
"RT @PC0101: Lightning over the Balkans, from #ISS by @astro_andre, 20120604, 28-mm, labeled @DaveAtCOGS @esa @cefalopodo http://t.co/F1Px85…",17,0
"Boeiende presentatie poolreizen @MarcCornelissen #arcticcircle @wilcovanrooijen  @wnfnederland @ESA_nl @esa_cryosat http://t.co/qtt8OM6098",11,14
"Samen voor de witte wereld. Arctic Circle bij Kenissenclub @coldfactsorg @wnfnederland @MarcCornelissen #arcticcircle http://t.co/f5aVjYgvUD",11,9
"Morgen 19:20 NPO2 De Kennis Van Nu. Het nut van spelen voor dieren, kinderen en volwassenen. Voorproefje op http://t.co/seoivEXvL7",32,7
"RT @martie08: Wat een mooi begin van het 150e jaar Emma KZH! Hier alvast een paar foto's. @SteunEmma @astro_andre @SuuSpliethoff http://t.c…",13,0
"RT @SteunEmma: Hier doen wij t voor; nieuwe afd #neonatologie ih Emma @AMC_NL ih kader #emma150jaar mmv @astro_andre @SuuSpliethoff http://…",25,0
"Onderweg naar @AMC_NL en@SteunEmma voor #emma150jaar Co-schappen kindergeneeskunde trouwens in jaren'80 in EKZ gelopen",12,8
"150 jaar geleden werd het 1ste kinderziekenhuis van Amsterdam opgericht. Vandaag viering #emma150jaar @SteunEmma",29,16
"Formidable. Mijn francofiele hart ging sneller kloppen bij  @Alderliefste3 in Coevorden #jeugdsentiment http://t.co/HQU5tjjYLZ",16,14
"RT @RWijngaarde: Mooi stuk #journalistiek #Haarlemsdagblad mbt #emma150jaar jubileum Emma Kzh @AMC_NL ism @astro_andre @SuuSpliethoff http:…",11,0
"RT @SteunEmma: Alle hens aan dek voor opening #emma150jaar met @astro_andre en @SuuSpliethoff op 26 januari..... http://t.co/Xa8vVKm9lI",18,0
"Schitterende samenvatting Rosetta/Philae spektakel door mission manager Fred Jansen @NL_Space #Rosetta @ESA_Rosetta http://t.co/wHCF2nc6KI",10,11
"Nieuwjaars bijeenkomst NL Space.  @NLSpaceOffice @spacened @SpaceCluster_NL @Spaceexpo http://t.co/IR5deEZBRy",9,5
"RT @earthskyscience: Sky alert!  Asteroid 2004 BL86 to sweep close on January 26 http://t.co/rNuqDP3h0Q http://t.co/stUo6ZPdwd",106,0
"RT @newscientist: Eating meat can be healthy and eco-friendly - but which meat you choose makes a big difference http://t.co/Yt8XTbtLYE htt…",391,0
"RT @earthskyscience: Young moon and Venus after sunset tonight!  Look west as soon as the sun goes down. http://t.co/b5a0UEWynN http://t.co…",63,0
