tweet,retweetsCount,favoritesCount
"@samueleviolante @frazsazsa interstellar è comunque un film di fantascienza - basato sulla scienza. È irrilevante parlare di inesattezze.",0,0
"RT @AstronautAbby: Coolest part of @sciencemuseummn #spaceexhibit my mentor @astro_luca was quoted! #FutureOfSpace http://t.co/pOfOa6zAHA",17,0
"RT @camurriusa: Ho fatto mie le parole nella foto,di un poeta.E mi meraviglio,e mi emoziono,ad ogni tramonto.GoodNight @astro_luca :) http:…",15,0
"RT @EdoardoSergi: @astro_luca, intervista bellissima. Complimenti!!! #TogetherForExpo #GalileoGalileiCatania http://t.co/WNEAoJ4Ha8",3,0
"@angelitakiz :)",1,0
"@frazsazsa l'ho visto. Bellissimo.",0,3
"RT @Space_Lectures: The different types of suits worn by astronauts and cosmonauts -  via @fcain http://t.co/VClDcX0AmW http://t.co/OKPnasG…",170,0
"RT @AccademiaCrusca: #dilloinitaliano! La Crusca condivide le ragioni della petizione lanciata da Annamaria Testa: http://t.co/FQg4IHqdTr.",84,0
"@camurriusa ? È grave?",0,1
"@t_aucone no, sono le stesse che abbiamo all'interno.",1,1
"@camurriusa ha!",0,4
"@dolcestrega09 @b0yle @MarsOneProject http://t.co/k2V5OKDqjk",1,3
"@angelitakiz qualche modella in bikini?",0,4
"@aborgnino @TeoBrex anche",1,1
"@TeoBrex proprio lei :)",1,2
"@SuperErmy Ha!",0,1
"RT @nicoladituri: Il cibo spaziale di @AstroSamantha e @astro_luca arriva sulle tavole di tutti gli italiani http://t.co/tFCVjXidXF http://…",13,0
"@SuperErmy @camurriusa @dolcestrega09 @frazsazsa @Andreifenomeni cos'altro aggiungere? :)",2,3
"@ployd01 @Rainmaker1973 dipende dal tipo di intervento. Non tutto si può fare con CanadArm2",0,1
"@Rainmaker1973 un RPCM (Remote Power Control Module)",1,3
"RT @BerkeleyLab: Whoa… Hypnotic 5-year #timelapse video of our sun, compliments of @NASA http://t.co/a3FV2s6TNp",26,0
"@camurriusa no, mi riposerò dopo...",0,1
"@dolcestrega09 @frazsazsa @Andreifenomeni più che sulla terra. Sull'ISS si può perdere tutto. Compreso sè stessi.",2,11
"@Rainmaker1973 è un cavo elettrico",2,1
"@frazsazsa ognuno ha le sue :)",0,3
"RT @Thom_astro: Farewell, #ATV5! Last flawless mission for the European X-winged spacecraft series. Proud of you and all your people http:/…",51,0
"Going live on NasaTV. Join us!",20,35
"I will be on NASA tv in 30' or so for an interview about ATV, the flagship of the ISS cargo spacecraft fleet.",17,35
"@astro_leonard a camera",1,1
"RT @esascience: The Sun this morning! RT @SunViewer: Coronal mass ejection seen here on LASCO C2 on the left. http://t.co/76tKYHuoIo",113,0
"RT @spacegovuk: MT @OotW_UK 'Want to talk to @astro_timpeake? Here's your chance #Talk2Tim https://t.co/CttK6MCd0a http://t.co/VYpFkHvD1e",26,0
"RT @Cmdr_Hadfield: This spaceship, as big as a car, flew half-way around Earth in 100 minutes yesterday. Go @ESA! http://t.co/ZAiiRSsevY ht…",845,0
"@camurriusa :)",0,3
"@AstroDolce @Isabellina26 no: bisogna puntare alle stelle - mal che vada, saremo sulla luna. :)",2,16
"RT @esaoperations: After rising as high as the #ISS, just about now, #IXV has begun its reentry, the craft’s aerodynamic body slicing into …",66,0
"@AdyAzza io ti auguro di volare ben più in alto!",0,3
"RT @Yrouel86: @AstroPratica @NewUniverseD @astro_luca @AstroSamantha @disinformatico #IXV Launch https://t.co/9KrTozAsKk #Vega #100minutemi…",16,0
"RT @esaoperations: Teams in mission control Turin reviewing #IXV information. Out of contact now. Waiting for reentry #100minutemission htt…",32,0
"RT @ItalianAirForce: Particolare del decollo dell'#IXV dallo spazioporto #ESA in Kourou - Guyana Francesa http://t.co/GPjDL0AiyS",35,0
"@AstroDolce :)",1,4
"RT @ItalianAirForce: Ritardo nel lancio #IXV ... Countdown fermo! Segui la diretta LIVE streaming su #AMTV http://t.co/tRVI0zBTH3 http://t.…",23,0
"RT @elonmusk: Coming home http://t.co/FmrmYs6R6V",2647,0
"@verde_linfa Lo spero proprio!",0,2
"RT @ItalianAirForce: Domani,11 Febbraio 2015, ore 14.00 (h #ITA): 'IL VOLO NELLO #SPAZIO DELL’#IXV' ... http://t.co/qeC61MxebL http://t.co/…",72,0
"RT @esa_ixv: This is where the heart beats with regard  to tomorrow's flight: The #IXV Mission Control Centre in Torino, IT. http://t.co/C0…",68,0
"@mkuntz63 your kids are a blast! I'll try to answer their questions as soon as possible. Give 'em a high 5 from me :)",1,0
"@Nunziellabiv con allegria :)",2,4
"@dolcestrega09 il solito: capcom, EVA, robotica, addestramento. Oh, e corsa, nuoto, bici :)",2,7
"@LuciaTildeI @millionaireit a domani!",1,1
"@mosesgapi @iw9aog doing great. How 'bout you?",0,0
"@giudega74 concordo",0,0
"@Matteo_Dunchi no, purtroppo",0,3
"RT @ericarolfe: Woah! RT @mars_stu: Comet 67P bursting into life as it nears the Sun... THANK YOU @ESA_Rosetta navcam team! http://t.co/ZIO…",64,0
"RT @SPACEdotcom: How Europe's IXV Space Plane Works (Infographic) http://t.co/0XKCUehuQz http://t.co/hdorOQaL6O",110,0
"RT @NASAhistory: Bruce McCandless completes 1st untethered spacewalk #today in 1984 using MMU as transport http://t.co/rzB2dl3nwY http://t.…",164,0
"@giudega74 un tempo lunghissimo :)",1,2
"RT @iDeproducers: Ciao @astro_luca. La volta scorsa eri giustificato,viaggiavi nello spazio. Ma stavolta non puoi perderti #PLANETARIO! htt…",9,0
"@Astro_Wheels must be partly Italian!",0,16
"@angelitakiz :)",0,2
"@Andreifenomeni 8",0,5
"@Isabellina26 principessa?",0,6
"@Max_Bellisario @gis_dm4 e per il resto c'è Google...",0,3
"@gis_dm4 forse è una domanda per @AccademiaCrusca :)",0,0
"@Rainmaker1973 sì",1,1
"@t_aucone sì",0,4
"@angelitakiz letto tutto :)",0,2
"It was a blast! MT '@LivingMaths Grazie for the wonderful interview! You brought the stars to us! Check it on http://t.co/5wAAMyVO2X'",6,20
"In a few minutes, hangout with me and @LivingMaths. Your questions are welcome! Streaming on http://t.co/NP8yDrAUPQ",22,36
"RT @DavideMiceli977: @Arianespace @esa @esa_ixv Quanta Italia in questa missione: Lanciatore e Payload made in Italy. @AstroSamantha @Ferro…",4,0
"RT @esa: Welcome to our 21st Member State! #Estonia signed Accession Agreement to ESA Convention today http://t.co/qKchI3vKeY http://t.co/w…",79,0
"@astro_timpeake sorry, I can't help it :) 'Those are the wrong trousers!'",0,21
"RT @ItalianAirForce: Speciale #AccademiaAeronautica: 'Vita da #Allievo': https://t.co/LNaYfP4W8B InConcorso: http://t.co/mkwXR8evUZ",4,0
"@AstronautAbby ...",0,7
"@camurriusa ha! ;)",0,3
"@camurriusa chissà?Forse è perché i Papuasiani non mi hanno fatto alcun torto! :)",0,6
"RT @AstroSamantha: . @Intercultura_IT You have made a brave choice, that will enrich you in ways you can’t even imagine yet...enjoy it! htt…",342,0
"@Fontax91 spero sia di tuo gradimento!",1,4
"@Astro_Clay concur 100%. :)",0,0
"@claudiotaschera tutto inutile: bisogna chiedere a @AstroSamantha!",1,1
"@harrygraham87 nope, but you can ask esa for an interview :)",0,0
"@LivianaG @LivingMaths everybody is welcome!",0,0
"@angelitakiz @CNNindonesia da leggere ad alta voce. :)",0,1
"@camurriusa non sa cosa lo aspetta... ;)",0,9
"RT @scientix_eu: @ESA is sponsoring 2 students to attend the European Space Camp at Andøya Rocket Range, Norway, 25 Jun - 2 Jul 2015 http:/…",27,0
"“@Astro_Clay: Russian Fyodor Yurchikhin is record holder for longest time on #ISS with 528 days across 3 separate flights. My CDR!” Mine too",7,16
"On feb. 4th at 16:00GMT I'll answer your questions on http://t.co/Sq18Y3YlrB. Ask them via @LivingMaths. I'll be waiting for you!",18,22
"Il 4 febbraio alle 17:00 su http://t.co/Sq18Y3YlrB risponderò alle vostre domande (in inglese!). Fatele a @LivingMaths : vi aspetto!",24,39
"RT @RondineArezzo: @astro_luca grazie davvero! Il tuo saluto diventa per noi un grande impegno @RondineArezzo #grazieGiorgio #FlyforPeace",3,0
"@angelitakiz @repubblicait perché siamo anche noi umani - non zanzare.",0,4
"Un caro saluto da Houston ai ragazzi della 'Rondine'. Che la primavera sui vostri volti possa viaggiare per l'Europa e il mondo!",20,44
"RT @pennililla: “@SimonaClivia : Fuoco e neve, l'Etna accende la notte http://t.co/kyHI6R2ogc http://t.co/C01atrwY0E”",93,0
"RT @ANTONINOPORTO: '@PaoloFiorelli1: Catania ora http://t.co/ip5w53PuiK' @astro_luca",143,0
"RT @SpaceflightNow: Europe’s IXV space plane has been mated on a Vega rocket in French Guiana for Feb. 11 launch. http://t.co/aYwkoyej2y ht…",72,0
"RT @Astro_Andreas: 7 months today until our launch to ISS with Sergey Volkov and @SarahBrightman http://t.co/cmKxSt76if",47,0
"@camurriusa @Isabellina26 ;)",0,3
"@frazsazsa non saprei davvero quantificare... sono esperienze diverse.",0,5
"RT @SuperErmy: @astro_luca oggi, la bella terra di Sicilia, ha donato all'Italia il 12° Presidente della Repubblica @PdRMattarella",4,0
"RT @sandrogozi: Responsabilità unità serietà credibilità  con elezione #Mattarella messaggio che diamo agli italiani e all'Europa @matteore…",29,0
"@angelitakiz ha! Bellissima...",0,1
"@Tatanka1963 ho una pagina pubblica su Facebook",0,0
"@dolcestrega09 sì",1,3
"@camurriusa sì, ce l'ho :)",0,1
"RT @UNOOSA: Thanks to @astro_luca for contributing to our #AstroMessages for the 2015 edition http://t.co/YOtVA59CJF http://t.co/yNcXYrcsO6",11,0
"@_priscilla_g_ fra qualche anno...",0,1
"@Nunziellabiv credo davvero poco.",0,7
"@Nunziellabiv no, nessun segreto: il prossimo turno è il 6/2, la mattina (in Italia)",3,9
"@MrGiames è in arrivo la terza edizione!",1,3
"@camurriusa sì, meglio :)",0,1
"@verde_linfa molto!",0,2
"RT @robtrisport: @astro_luca Nel numero 11 di Strength &amp; Conditioning @CalzettiMariucc intervista e copertina per Luca Parmitano http://t.c…",7,0
"@DCirioni_AVDA @AstroSamantha sì!",1,9
"RT @ItalianAirForce: #ComunicatoStampa - #SCRAMBLE EUROFIGHTER 4° STORMO  Aereo privo di comunicazioni radio con enti del traffico aereo ht…",91,0
"RT @pennililla: @SkyTG24 #SkyTG24Canale27 @ninistria @AstroSamantha prima donna italiana sull ISS e @astro_luca primo italiano ad effettuar…",6,0
"@Rainmaker1973 per me, sì. Alla fine del 2016 avremo volato tutti.",1,10
"@HiLaRy________ no problem. Posso consigliarti di leggere il mio blog? Lì ho molto più di 140 caratteri.  http://t.co/TaGNUEWab3",2,3
"@therealdjflux hello there. Did not recognise you without the helmet.",0,3
"@HiLaRy________ nessuno sarebbe più felice di me. Spero di avere presto notizie. :)",2,10
"RT @cristianadamore: 'Quella nella navicella è @AstroSamantha , quello fuori è @astro_luca ' saluti da Jacopo 6 anni! http://t.co/TFpyrcYIRF",13,0
"@VariniMassimo certamente!",1,4
"@elbeagle84 @AstroSamantha se vuoi, ho ancora i miei appunti dell'Accademia, dell'ISAE e dell'EPNER.",0,8
"@dolcestrega09 non è un controllo: io ho solo fatto una revisione di procedure per un esperimento.",1,1
"@dolcestrega09 è un monitoraggio delle vie respiratorie. Si pensa che i particolati sospesi (in orbita) possano causare infiammazioni",1,1
"@dolcestrega09 ?",0,0
"RT @CafeGeopolitico: Buongiorno e buona Domenica! Dopo aver risolto i problemi al sito ripartiamo con la nostra intervista ad @astro_luca h…",8,0
"@dolcestrega09 si chiama Airways Monitoring",1,1
"@ariccia76 https://t.co/MZkhEKPeW4",1,1
"@frazsazsa nulla dovrebbe esserlo",0,2
"@TeoBrex a te!",0,1
"@PreludeInCSharp how about a 'happy birthday' tweet? ;)",0,0
"RT @esa: New @esa_ixv images in from launch preparations in Kourou. More on Flickr: http://t.co/EQ8u7qbV33 http://t.co/CHwUKORUR6",93,0
"@Thom_astro @cpamoa @lionelferra what?? No SaucISSe? Oh man...",0,10
"RT @emi_bat: Ho avuto il privilegio d'intervistare @astro_luca per il @CafeGeopolitico @ESA_Italia http://t.co/Mzcv0Uv2KJ",4,0
"@Marti_Do grazie a te",0,1
"http://t.co/Xfa9sf74Xu",4,18
"@rugiada46 no, mai",0,3
"@rugiada46 protezione",0,1
"RT @ASI_spazio: Sono stati pubblicati i primi risultati degli esperimenti di Rosetta http://t.co/Ot2LXDnoPP",24,0
"@Rainmaker1973 stesso esperimento - diverso modulo.",1,4
"RT @Expo2015Milano: .@DavideScabin0: 'Grazie alla missione di @astro_luca la gastronomia italiana è volata nello spazio' #Expo2015 http://t…",14,0
"@t_aucone è una revisione delle procedure per @AstroSamantha - quindi né pre né post ma... durante",1,9
"RT @ESA_Rosetta: Getting to know #67P – new #science results &amp; images just published! Overview: http://t.co/i5VNgSCATp http://t.co/Ak58TB1v…",301,0
"Airways Monitoring analizza la quantità di NO nei polmoni.",3,22
"RT @HiLaRy________: @astro_luca la cosa più bella della mia tastiera!! 'PARMITANO' !!😂🙊 http://t.co/4AWj7wqjai",3,0
"@disclet grazie a te!",0,1
"3) performing the experiment. Yes I have a funny look ;) http://t.co/Nrw8Tbfekv",27,76
"2) experiment configuration is ready http://t.co/gGdbycj5rR",15,46
"Airways Monitoring procedure review: 1) setting up the experiment http://t.co/Gq9p55v8S7",24,63
"@formilan grazie a te",0,1
"RT @angelitakiz: @astro_luca sarai un docente in un reality?!? Non ho parole :)  Ritorno in classe:il ritorno della voglia di studiare http…",4,0
"@angelitakiz piuttosto un 'professore associato' ...",0,1
"RT @esaoperations: ESA's #IXV spaceplane fuelled up for 11 Feb flight - via @Arianespace #100minutemission http://t.co/3FGaZO0Oqk http://t.…",45,0
"RT @astro_timpeake: Mission X 2015 is underway! Loads of fun ideas &amp; activities on how to 'train like an astronaut' http://t.co/MO497EZjI0 …",54,0
"RT @Paxi_ESAKids: Want to know more about our #SolarSystem ? Check out my new cartoon animation for #teachers to use in class! #STEM http:/…",28,0
"RT @Frabodum: 'Dall'alto la guerra non si vede' #langelodiSarayevo @astro_luca penso che sia un' altro modo del tuo dire: Dall'alto non ci …",5,0
"@kikkiar ci stiamo organizzando...",1,9
"@Nunziellabiv disponibilità: di un posto sulla soyuz - e finanziaria per 'comprarlo'",0,2
"@angelitakiz direi di si. Se vai in vacanza...",0,2
"@GrazianoGaetano certamente.",0,0
"@GrazianoGaetano bisognerebbe chiederlo a un astronomo",0,0
"@angelitakiz però risparmiamo sull'mp3 player",0,2
"@t_aucone @argotec_it non lo so ancora",0,1
"RT @ASI_spazio: Il veicolo sperimentale di rientro IXV si prepara al lancio. L'ASI partecipa al programma come principale... http://t.co/E8…",11,0
"RT @camurriusa: @astro_luca Sapevi che una tua foto della Sicilia dall'Iss ha ispirato un brano del grande Francesco Cafiso? :) http://t.co…",3,0
"@AstroLinda99 @astroannadolce @camurriusa @Ma_Te_No @frazsazsa qualsiasi cosa fosse... la voglio anch'io.",0,8
"RT @pennililla: .@astro_luca @SimonaClivia @MissRefuso #volare #ambasciatore è in esaurimento anche la seconda ristampa http://t.co/T6guIgs…",4,0
"RT @Astro_DavidS: SpaceX missed attempt at landing a rocket back to Earth on an unmanned barge. Almost! Tough engineering challenge! https:…",89,0
"@camurriusa @dolcestrega09 che si chiamano zebedei...",2,5
"@publidipa non lo so, mai provata :). Ma a occhio direi di sì.",0,2
"@camurriusa ha! :)",0,3
"RT @angelitakiz: @astro_luca domani ci sarà l'ultima puntata di 'Cose dell'altro mondo'. Complimenti davvero. A tutti quanti! :) https://t.…",5,0
