tweet,retweetsCount,favoritesCount
"RT @spacegovuk: Principia grant scheme: £100K available for education/outreach for @astro_timpeake mission http://t.co/1cyNDq5qmK http://t.…",47,0
"RT @Stelygs: :D… '@tech_faq: When your particle accelerator breaks down, you have to call the quantum mechanic. #physics #humor http://t.co…",49,0
"@SaturnSheila I'm with you on this one! We have a few big hurdles to overcome with Mars...we'll get there soon enough...safely :)",1,3
"@Captain_Banter instilling interest in space exploration is great-but protecting human life during space exploration is greater still!",0,3
"@SaturnSheila In the future, a 1 way trip should mean we have been successful establishing safe colony on Mars. We should not aim for less.",3,2
"@wiskow_julie I still have that fun ride to come :)",1,2
"Lots of new photos uploaded, training in Star City: https://t.co/nu5bqo9XkY http://t.co/5Vnlg3Iuee",72,133
"RT @elarastar: And here is my interview/article with @astro_timpeake.  http://t.co/yYREP20IiO http://t.co/P6Dkvd6epf",8,0
"@Polar_MediaFilm hi, please could you email Margherita.Buoso@esa.int for this. Many thanks!",0,0
"RT @Raspberry_Pi: New post from @dave_spice: our first @astro_pi mission update! http://t.co/LwFYw5y6ZY @astro_timpeake http://t.co/vmY723l…",46,0
"@DustyGerkin the suit does expand quite a bit...it's only the material's strength that prevents any further expansion",0,0
"RT @AstroTerry: Good morning!  #sunrise http://t.co/AjJmubq1xB",945,0
"Taken to the edge of space today-near vacuum inside this chamber. Without suit = unconscious in seconds, th... https://t.co/WJJMNrGXtM",45,73
"@Captain_Banter Exp 46 will be coming soon, Exp 47 probably in the summer!",0,1
"RT @esaoperations: MT @Space_Station: ATV cargo vehicle released today! #SpaceVine timelapse departing Russian segment #AstroButch https://…",51,0
"@mulesmarinair brilliant...love the design!",0,0
"@PC0101 @tourmaline1973 Dr.Who...noted ;)",1,5
"RT @esa: Follow today's #ATV5 undocking from #ISS in the #ATV blog plus live tweeting by @ESAoperations http://t.co/7f81CjzhMT http://t.co/…",77,0
"@astro_reid too busy pumping condensate to notice a drop in cabin pressure ;)",1,7
"@Rainmaker1973 NASA crew mate Tim Kopra",1,0
"@drjimmills which of the 5 p's is panic? ;)",1,4
"4hrs in Soyuz sim today, all kinds of emergencies, warning panel lit up like a Christmas tree...must be Friday 13th! http://t.co/xqoBH0aeHj",114,178
"@astro_leonard Would love to go to Mars-but not a fan of the 1way mission. I think we are smart enough to be able to return a crew to Earth.",1,4
"Crew training this week: fire &amp; depress. Does it look a little hot inside those masks...don't try it at home!! http://t.co/5L6KxJAtnA",57,83
"@HenriksTongue favourite astro hobby...bit of needlecraft prior to launch ;) We're using rubber bands to make the spacesuit airtight.",0,0
"Congrats @esa on a successful IXV spacecraft re-entry - could this pave the way for a European crewed vehicle... http://t.co/OdncEJoV9w",19,42
"@moshihunter Thanks! I was a British Army test pilot before becoming astronaut.",0,2
"Spent a long afternoon in the Soyuz sim today - great training. Here's our dressing room before the performance! http://t.co/8E0CcveFO4",74,148
