tweet,retweetsCount,favoritesCount
"RT @Astro_Jeremy: @jazzie6262 It always starts with a little imagination!!  Great work future explorers!",4,0
"RT @lindork: Read my 2013 article on @Cmdr_Hadfield's #socialmedia use &amp; its impact: http://t.co/r8hdvGYByA @NASA @foreman_mike @csa_asc #R…",4,0
"RT @mashable: Merger of two galaxies captured by Hubble  http://t.co/GxvTaRdksR via @spacedotcom http://t.co/NN1V4Ray5B",320,0
"@John_Northants We'll ask and get back to you.",0,0
"RT @MadDamMusic: This Surgical Assist CAME FROM SPACE! KidsArm - Canadian Space Technology to Help Sick Children http://t.co/BbHhuCelfJ via…",3,0
"RT @AstroTerry: Amazing ice flows in the Eastern provinces of #Canada http://t.co/a9aK0nCodq",1219,0
". @T_lont We hope Corpus Christi students enjoyed the Skype session with @Astro_Jeremy!",2,6
"RT @Astro_Jeremy: @AmandaGMerriman Biggest challenge of Canadarm is keeping track of elbow/shoulder with limited camera views so u don't po…",9,0
"RT @Astro_Jeremy: Bumped into this planetary rover walking back from a meeting. Gets my imagination running! What if.... http://t.co/gHtieI…",27,0
"Cool masks &amp; spaceship! MT @jazzie6262: @Astro_Jeremy kids from Spacecamp Kegworth Baptice church reaching into space http://t.co/kPqaBcRQk0",4,4
".@Ras_Rax We are really happy to hear that! Thanks for sharing!",1,0
"Great job! MT @msjmwright: @StClementECSD gr6 design own #canadarm at #ualberta #wisest conference! #myp #64marbles http://t.co/hNPigDUIZM",6,5
"Still faint, but there! “@AuroraMAX: ALERT • An #aurora is now visible above #Yellowknife, NWT! Check it out: http://t.co/fqFQzgAghn”",12,11
"RT @AuroraMAX: AURORAMAX ALERT • A G1 (Minor) Geomagnetic Storm is now under way! Latest: http://t.co/yDVd9Nn0pr http://t.co/5COKLXQW7N",44,0
"We keep hoping our new resident bunny will call the TuneSquad and challenge the Monstars to a game. #SpaceJam http://t.co/REzW3TJRhe",55,70
"Stakeout for northern lights! #OTD in 2007, satellite Themis launched to observe #auroras! http://t.co/tSGf4bYuwa http://t.co/0ikbNUImlm",35,48
"RT @AuroraMAX: Mind.Blown. MT @_JeffNash: Last night coming back from Winnipeg. The best I've ever seen outside my window! #yeg #ywg http:/…",133,0
"RT @AstroTerry: #AstroButch and I tried on our spacesuits during a 'dry run' today.  The real thing is scheduled for this Friday! http://t.…",252,0
"RT @universetoday: Catch a ‘Conjunction Triple Play’ on February 20th as the Moon Meets Venus &amp; Mars - http://t.co/x4ePN0Qmil http://t.co/M…",37,0
"RT @NASASpaceflight: DOCKED! Progress M-26M has docked to the aft port of Zvezda! http://t.co/SleSiKYnEA http://t.co/4tUhBGoida http://t.co…",58,0
"@ShannonBurnaby @astro_jeremy - Please send your interview request to media@asc-csa.gc.ca. Thank you!",0,0
"RT @OSIRISREx: How well do you know me, my mission, and Bennu?? Test your knowledge tomorrow with #TriviaTuesday! Did I mention swag was up…",8,0
"RT @Astroguyz: About an hour out now from a good pass of the International Space Station for the US NE and eastern Canada: http://t.co/zXGE…",12,0
"RT @NASA: Our #SDO spacecraft celebrated 5 years of sun watching. Here's a 5-year time-lapse of the sun: [video] http://t.co/8q0ajvx6eg @NA…",535,0
"RT @NASA: Heart healthy! On @Space_Station we advance knowledge of health &amp; fitness in space &amp; on Earth: http://t.co/shUz8VL7eC http://t.co…",382,0
"@GaryFurness Good Q. Certain tasks are better suited for humans, certain objects were not built w handles 4 robots to grasp.",0,0
"RT @ISS_Research: Thanks #Dextre! The @csa_asc robot replaced 2 failed circuit breakers outside #ISS. No need for EVA = more science! http:…",30,0
"@John_Northants Not this time--St-Hubert was driving. :)",0,1
"@John_Northants #Dextre is always operated from Earth to free up crew time. For these ops, CSA was driving.",0,0
"#Dextre did it! The robotic handyman swapped out 2 failed circuit-breaker boxes on the #ISS. http://t.co/phIxQ6Vfw4 http://t.co/Y6KhQVsO8O",13,20
"RT @audrey19740719: #Aurora February 14, 2015 midnight from #whitehorse #NorthernLights @weathernetwork @AuroraMAX #valentineaurora http://…",35,0
"RT @smrtcar: @csa_asc today we celebrated #Flag50 with pride at the Udvar Hazy Space and Air museum at Dulles Virginia today. http://t.co/7…",4,0
"@smrtcar Canada represents! That's awesome! Thanks for sharing your #flag50 picture with us!",0,1
"RT @Astro_Cady: Folks might not realize: the more #Dextre gets done on #ISS, the more time #Exp42 has for science that needs their human to…",23,0
"@Astro_Cady Thanks! That's what the #ISS robotic handyman is for!",0,2
"RT @Astro_Cady: Dextre ROCKS @csa_asc!!  Are @AstroSamantha @AstroTerry outside #ISS pushing experiments around?  Nope.  They're fast aslee…",10,0
"Mini here, but mighty: our flag on #Dextre on board the #ISS, taken over #Canada, driven by a Cdn #flag50 http://t.co/mJEWNR0Hew",12,16
"#Dextre has finished inserting Box 2 into its new slot. It's been powered up, and all is nominal (engineer-speak for 'good')!",9,11
"@polarisdotca Copy! In that case, Dextre is initiating RPCM P13A_G transfer into RPCM_P12B_C slot. Standby for #maplecreamcookie insertion.",0,0
"@YellowTapShoe ;)",1,1
"@Yrouel86 Good Q, by the way!",0,1
"@Yrouel86 It's less, more in the order of 2 seconds or less.",0,1
"@Yrouel86 Yes, but no one was around to kick the tires, so... who knows! ;)",0,1
"@Yrouel86 lol! Yup! Protect the people! :)",0,1
"So why the swap? One of the RPCMs has lost partial functionality, but can still be used if repositioned. There are 8 circuits inside each.",4,3
"#Canadarm2 is now moving #Dextre over to slide Box 2 into the slot where Box 1 was, then swap Box 1 into Box 2's slot. #Switcheroo #Phew",9,5
"@Yrouel86 Yes, we tend to use the slowest speeds, especially for precision work.",0,0
"@Yrouel86 Correct! See our last tweet of Canada's Mission Control.",0,0
"Here’s a peek at the room where #Canadarm2 and #Dextre are flown  #InsideCSA http://t.co/n847wr2BXv",15,11
"#Dextre at work (upside down for Earthlings!) http://t.co/HgVQFUY0ws",4,6
"@Yrouel86 Right now, all the camd are showing closeups of #Dextre's hands bc he is working, on the end of #Canadarm2. http://t.co/VRLt3f4WJ1",1,1
"@kylegrantham It's a time-honoured tradition! Our robotics team snacks on #maplecreamcookies before ops. #Omnomnom",0,1
"The Canada wordmark and its flag make Canadarm one of the most iconic symbol. Story: https://t.co/FhbksJcDPA #flag50 http://t.co/tpoH6EJ18P",57,88
"The second circuit breaker box is out! http://t.co/tqKRspWLFY",1,6
"AIf you're following live, you've noticed that space robots move verrry slooowly. For good reason, too. Safety first! Always!",9,16
"#Dextre was developed to reduce the need for astronauts to conduct spacewalks for routine maintenance on the #ISS's exterior.",11,10
"Before #Dextre started replacing RPCMs in 2010, exchanging the boxes was done by spacewalkers, which always carries a certain level of risk.",5,3
"RPCMs control the flow of electricity through the #ISS’s secondary power distribution system, and tend to fail over time.",3,6
"#Dextre is removing circuit breaker boxes, aka by their technical name: “Remote Power Control Modules (RPCMs).",2,5
"Corrected link: #ISS robotics are livestreamed here http://t.co/x00GB5PopE",6,4
"@disinformatico You are 100% correct. Thanks for catching that. That's what happens when you run out of #maplecreamcookies. ;)",0,0
"Watch #Dextre work: #ISS robotics are livestreamed here http://t.co/BwHTvNQgEV",11,7
"@NASA_Johnson &amp; @csa_asc routinely operate #Canadarm2 &amp; #Dextre to reduce the burden on astronauts, freeing their time for #science.",15,21
".@csa_asc is driving #Dextre today from St-Hubert, Quebec, with @NASA_Johnson in Houston.",6,5
"Recap: so far, #Dextre has extracted and relocated one circuit breaker box, working on the second one now. http://t.co/bVmH12jRMF",7,9
"Canadian robotic activities continue on the #ISS. #Dextre, space electrician, is on duty tonight!",8,7
"RT @ralfvandebergh: ISS captured with 25cm telescope 2 orbits after departure #ATV5: http://t.co/EtXs1bRpMK @Astroguyz @esaoperations @esa …",13,0
"@ralfvandebergh Great shot!",0,0
"#DYK that the Maple Leaf is also on Mars? Our #flag50 is on the Cdn instruments of Phoenix &amp; @MarsCuriosity. http://t.co/9YfP0VVclj",52,53
"Canadian astronauts: proudly wearing and waving the Canadian flag on Earth and in space since 1983! #flag50 http://t.co/8UcxqOskMN",138,127
"@LAismylady Yes, this is a close-up of a row. #Dextre will move 3 of these today.",2,2
"@disinformatico thanks for following! Enjoy!",0,0
"Live from the #ISS: #Canadarm2 and #Dextre reporting for robotics duty! http://t.co/9jtIOymafB",11,17
"@disinformatico We’ll tweet pics of key parts, live now here: http://t.co/9jtIOymafB",0,0
"Today on the #ISS, #Dextre repairs/replaces 3 failed circuit breaker boxes. Will take ~24hrs. Stay tuned for updates!",21,29
"RT @FragileOasis: Suns and moons all over the place #ISS #OrbitalPerspective http://t.co/rtZI46L4PL",46,0
"RT @ctccct: RT @spectacularNWT: The aurora will always be your valentine! #SpectacularNWT #NWTaurora Photo: Val Pond Photography http://t.c…",83,0
"@cdnKiran Thank you!",0,1
"Lovely! “@CatherineQ: #SpaceValentines Sherbrooke Aurora (Photo: Remi Boucher) http://t.co/VKIhFCleeC”",37,50
"We certainly think so too! “@ChingDingDongyo: @csa_asc Space is pretty cool.”",3,4
"Show us some love! Connect with us on Facebook and other platforms! http://t.co/xoxS08mz8O #ValentinesDay http://t.co/nah5nAd9zA",21,27
"RT @Astro_DavidS: Earlier this morning - perfect rowing conditions! http://t.co/mRm0jyzHMJ",8,0
"RT @AstroTerry: #ATV departing #ISS today- it looked like an 'X-wing fighter' leaving. #SpaceVine timelapse https://t.co/WjmdQ4pBAT",1026,0
"“The way is not in the sky. The way is in the heart.” We think it’s in both. Happy #ValentinesDay! http://t.co/MwoxKqZ1cn",164,196
"@The_SolarSystem Thanks! Right back at you!",0,5
"RT @The_SolarSystem: 💖❤️ Happy #ValentinesDay ❤️💖  to the @csa_asc 💖 Thank you for all your #space goodness! #Hubble Rose UGCs 1810/1813 ht…",31,0
"RT @NASA: Tech, expertise gained thru 5 ATV #ISScargo missions to be used by @esa to develop the service module for @NASA_Orion http://t.co…",335,0
"RT @esaoperations: #ATV5 reentry timeline Sunday, 15 Feb, updated. Impact expected at 19:12CET http://t.co/QISt8wp6A3",33,0
"Feeling poetic this Valentine's Day? Revisit @Cmdr_Hadfield's kitschy  #ValentinefromSpace! https://t.co/gbXYm7xkUF http://t.co/DwZsJlzlFs",111,182
"Awww! Thanks! “@LAismylady: @csa_asc Happy Valentine's Day :) http://t.co/eZy0UwwOpi”",9,14
"Ah! RT @Astro_DavidS: Friendly reminder on the back wall of a training room at JSC ;) http://t.co/rwH0iob51A",4,15
"Last week, #AstroButch deployed 8 bubble detectors on @Space_Station for Canadian @ISS_Research. More: http://t.co/fSCfzIZZy9 #radiation",10,8
"Bravo to our #Stratos team for its @deloitte #IPACLeadership Silver Award. Well done! http://t.co/ORHSXwBi5s http://t.co/4e4dLtaU0E",3,8
"@BaitedTrap @tweetsoutloud We actually have #maplecreamcookies 'TasteNTweet' before all #ISS robotics operations. #howweroll",0,0
"@BethanLinscott You learn well, Young Jedi! #welovegeekspeak",1,1
"@tweetsoutloud @mrblaq @stace41366 That's the way to do it :) #maplecreamcookie",0,1
"RT @SciGeekJulie: Our first tomato baby is born from this year's @Tomatosphere plants! @csa_asc @AmandaGMerriman @rieport206 http://t.co/Yr…",11,0
"@SciGeekJulie Awww! A newborn! How precious! We hope your students are excited. Tell them we say good luck, aim high!",0,0
"Have you seen the official poster for Expedition 45? How cool is that!  http://t.co/EvDIMGLBLL #MayTheForceBeWithYou via @Space_Station",235,171
"RT @Astro_Wheels: Resistance exercise is also a critically important part of our countermeasures in space. http://t.co/CBLUDOcIqi @bodyfit6…",27,0
"The #ISS #Exp42 crew just finished another round of the Cdn cardiovascular #science experiment BP Reg http://t.co/vntbSbltNj @ISS_Research",17,23
"@XboxNewzCentral No. But we have Canadian instruments on Mars aboard NASA's Phoenix lander and @MarsCuriosity rover.",1,3
"@XboxNewzCentral #RCM = RADARSAT Constellation Mission. Learn more here: http://t.co/NDf9CyqD9a",0,0
"@JoshDaSilva Awww shucks! You just made our day too!",0,1
"@XboxNewzCentral No manned mission for now, but working on projects like @NASAWebbTelescp, @OSIRISREx &amp; #RCM. See http://t.co/5ZncMX9n63",1,1
"We hope the students enjoyed! RT @St_RoseofLima: Grade 6s on Skype with astronaut @astro_davids Saint-Jacques!! http://t.co/gW0uTZq8o4",6,22
"@DRDC_RDDC Too bad #Dextre is busy working on Sunday... ;) #ISS",0,2
