tweet,retweetsCount,favoritesCount
"TT @esa_es: ESA astronaut Pedro Duque being honoured in #DiscoveryAwards Born to be Discovery, watch: http://t.co/d5UpFkpOcP @discoveryMAX",17,9
"RT @NASA_Hubble: It's GO time! We're LIVE right...NOW! Join in on the conversation! http://t.co/vAkeKVpJi6 #Hubble25 #HubbleHangouts http:/…",44,0
"RT @Astro_Alex: Here's how our aurora photos from space turn into #geophysics, helping to understand our #BlueDot http://t.co/M4sNrPbfui @a…",67,0
"RT @ESA_Rosetta: Happy Birthday to Klim Churyumov, co-discoverer of #67P along with Svetlana Gerasimenko! http://t.co/bjfshmhiiK",153,0
"ESA Member States yesterday gave the green light for the Biomass mission's full implementation for launch in 2020 http://t.co/twkk4FpT08",26,23
"RT @AstroSamantha: Lake Victoria &amp; L. Kyoga - under the clouds, the Tombs of Buganda Kings at Kasubi, a #WorldHeritage site. #Uganda http:/…",181,0
"RT @AstroSamantha: #DontPanic;) MT @AstroTerry: “SAFER” VR sim- the jet pack we use to get back to ISS if we float away during spacewalk ht…",124,0
"RT @HUBBLE_space: Enter the #OdeToHubble competition and win a small section of the Hubble solar array mounted in perspex! http://t.co/TOyB…",41,0
"RT @ESA_EO: #ProbaV joins the #ChineseNewYear celebrations with these views of Poyang Lake: http://t.co/tDqxoNiQ7Q http://t.co/Sq0XmZcKBT",25,0
"New timelapse of last week's @esa_ixv mission - launch preparations through to liftoff! http://t.co/aaHGRsHby3",34,30
"Mars hills hide icy past - new images from #Mars Express http://t.co/1yG2Q9o0I6 http://t.co/92zTNCU7DZ",163,162
"RT @ESA_Rosetta: Today [19 Feb] I’m 488 million km from Earth, 342 million km from the Sun &amp; moving closer to #67P again:  https://t.co/Waa…",117,0
"RT @ESA_EO: Happy #ChineseNewYear! This #Sentinel1 image shows #Beijing - more info at http://t.co/zjX88IgWRR http://t.co/3vFlxw3Ilw",69,0
"新年快樂 Happy Chinese New Year! @astro_paolo took this pic of #Beijing #ChineseNewYear 2011     http://t.co/sc9lYtoEuh http://t.co/RWAsFUfFM0",126,101
"RT @SungrazerComets: Tiny but bright: a new comet heads towards the Sun today, discovered in @ESA/@NASA SOHO images http://t.co/1z4eRTpcbl",86,0
