tweet,retweetsCount,favoritesCount
"С Днем Рождения! RT @ESA_Rosetta: Happy Bday to Klim Churyumov, co-discoverer of #67P with Svetlana Gerasimenko! http://t.co/BiG2lXb3sj",4,11
"More great images of #ATV5 and #ISS last weekend, seen from #Slovakia. #spotthestation http://t.co/28fbsE131g http://t.co/I5Vg9x20qi",29,31
"The team will travel today to Canberra :-( @Vestruc: @esaoperations @ESA_Rosetta is it still possible to meet him in Perth?",2,5
"ESA also has a 15m ground station in Perth; it &amp; #NewNorcia are part of our world-wide #Estrack station network http://t.co/MHwaR8Fkrc (5/5)",12,14
"The @NASAJPL 70m tracking station at Canberra, Aust., also played a key role in the @ESA_Rosetta mission http://t.co/NttMzXwUNi (4/5)",9,11
"ESA's 35m tracking station at New Norcia, W. Aust. It helped receive @ESA_Rosetta data (3/5) http://t.co/b0xzCJNWUl http://t.co/Q9tvd5FFVn",37,38
"ESA's Ferri &amp; Sci Advisor Mark McCaughrean spoke on @ESA_Rosetta 's historic #67P landing to a sold-out crowd (2/5) http://t.co/ReFnCE7opC",7,10
".@ESA_Rosetta flight director Paolo Ferri &amp; John Day, W. Australia culture ministe, in Perth, yesterday (1/5) http://t.co/0l5Dd9KSj8",8,10
"RT @AstroSamantha: Group picture in #ATV5 before closing the hatch last Fr. Was hard to fit the 6 of us in the little space remaining! http…",221,0
"RT @AstroSamantha: Before closing the hatch we removed the 16 yellow clamps, which helped to keep #ATV5 rigidly attached to #ISS. http://t.…",132,0
"RT @AstroSamantha: A look into #ATV5 just before hatch closing last week. In the center the active part of the Russian docking system. http…",199,0
"We will announce winners of the wonderful #ATV5 pictures soon (we need to count how much stuff we can give away) http://t.co/nCmRuFDlOk",8,9
"We received many more pictures of #ATV5 and #ISS last Saturday. See them all in the #blog: http://t.co/nCmRuFDlOk http://t.co/j3bEa3Eb9w",48,46
"Image of the week: Final goodbye from Earth of #ATV5, after it left #ISS http://t.co/z1uGvVT6Vw http://t.co/tqA7qAKAGE",29,37
"RT @AstroSamantha: At the first light of the rising Sun humanity's outpost in space emerges from darkness. #HelloEarth http://t.co/qjrrnUUH…",763,0
"RT @Outpost_42: Afterwards all that remained was for the astronauts to wave goodbye: farewell @esa #ATV5! http://t.co/Evz3KcG0Wl http://t.c…",44,0
"As head of ESA's Space Debris Office, Heiner Klinkrad has been instrumental in defining debris mitigation guidelines http://t.co/L6bxHHrWOa",4,14
"Heiner Klinkrad, one of Europe's top #spacedebris experts, retires #35yrs Thank you for caring about space safety! http://t.co/Hgu0zSPMP4",23,37
"Brilliant! RT @ESA_Rosetta Image set 10.6km frm #67P, just before closest approach http://t.co/wSXgq6UucM #CometWatch http://t.co/SLZcerBPNP",13,18
"RT @ESA_Rosetta: All 4 NAVCAM image sets (16 pics!) from flyby available via the blog: http://t.co/kLKsG4RZJu Enjoy! #CometWatch #67P http:…",290,0
"RT @ESA_Rosetta Closest NAVCAM mosaic 14Feb, 8.9km from #67P Image=1.35km wide http://t.co/wSXgq6UucM #CometWatch http://t.co/JmNUBelvJR",9,6
"RT @AstroSamantha: L+80-82: Logbook. The very last #ATV preparation and leak check for the undocking... https://t.co/xBoKggmKuW http://t.co…",256,0
".@LFRANCILLOUT So now we know! Next year you will be doing your own SOC's @Thom_astro",3,3
"@Cornerdevil wurde abgesagt http://t.co/6bV0KyHSf0",0,0
"@uwotm8papucho Not specifically; new NASA commercial cargo fleet will pick up most of what ATV was carrying",0,0
"@SupaTreadz Up to several weeks, if data were obtained",0,0
"@RicardoNSSilva No word from PI yet; will tweet as soon as we know anything #BUC #SatCom #BigDive",0,1
"http://t.co/mA6mC4TVr0",32,64
"RT @DutchManPaul: Remembering #ATV here are all the #Ariane5 fairings of all five ATV launches #ATV5 @esaoperations http://t.co/T4GdsaeAs1",61,0
"A dark and empty #ATV5 control centre. The programme is over... http://t.co/HrvDu7gkts",99,85
"Fabulous! MT @AstroTerry Final view #ATV5 entering Earth's atmosphere. Surprising to see how high the smoke trail was http://t.co/kiP7ervF3p",113,95
"@CindyAnneMunro Safe destruction in a controlled reentry over an upopulated area of the Pacific @VirtualAstro",1,1
"'We will miss the ATV' Mike Campion, @NASA representative for ATV https://t.co/4kbTFuIWBO @CNES @NASA_Johnson",10,14
"Thanks for a great reentry photo from #ISS RT @AstroSamantha: Good bye #ATV5! Arrivederci ATV5! http://t.co/1RwFBal6wG",59,70
"#ATV5 crosses #Orion constellation, symbolising the rebirth of ATV technology for @NASA_Orion http://t.co/QnD0IYTcbv",59,88
