account, group, totalTweets, totalRetweetedTweets, totalReplyTweets, totalMediaTweets, totalRetweets, totalFavorites
astro_Jfrancois,ESA,26,0,0,0,116,48
astro_timpeake,ESA,200,0,112,65,29363,4344
Thom_astro,ESA,200,0,50,110,17681,3347
Astro_Alex,ESA,200,0,22,142,41811,92097
AstroSamantha,ESA,200,0,54,159,84838,146839
astro_luca,ESA,199,0,120,39,6851,1048
astro_andre,ESA,200,0,22,127,66675,940
astro_paolo,ESA,200,0,4,0,8244,1882
Astro_Andreas,ESA,200,0,67,45,28842,1340
CFuglesang,ESA,200,0,13,66,14844,892
ESA_EAC,ESA,200,0,28,49,1181,515
esa,ESA,200,0,25,122,21480,5146
esaoperations,ESA,200,0,17,83,6829,4198
Astro_Satoshi,JAXA,200,0,139,121,27753,14846
Astro_Wakata,JAXA,200,0,8,115,133458,115556
Astro_Soichi,JAXA,199,0,6,109,149388,38535
Astro_Kimiya,JAXA,200,0,0,14,10665,17647
JAXA_en,JAXA,200,0,2,13,2648,1444
Aki_Hoshide,JAXA,200,0,2,113,80968,836
csa_asc,CSA,200,0,72,70,22484,2074
asc_csa,CSA,200,0,9,70,514,272
Astro_Jeremy,CSA,200,0,62,87,54895,4623
Astro_DavidS,CSA,200,0,53,103,60534,1982
AstroDaveMD,CSA,200,0,53,62,12700,328
Cmdr_Hadfield,CSA,200,0,74,69,42284,37596
RobertaBondar,CSA,192,0,26,69,5048,124
RobertThirsk,CSA,17,0,3,1,51,3
AstroGarneau,CSA,93,0,23,5,237,13
fka_roscosmos,Roscosmos,200,0,0,124,5912,3193
spacetihon,Roscosmos,158,0,78,68,7999,271
OlegMKS,Roscosmos,200,0,19,146,28623,7269
Msuraev,Roscosmos,199,0,3,70,8306,4905
AntonAstrey,Roscosmos,200,0,1,189,43223,14613
NASA,NASA,200,0,36,137,114363,72096
NASA_Astronauts,NASA,200,0,2,162,45447,27819
NASAPeople,NASA,200,0,21,85,41800,131
AstroClass2013,NASA,101,0,15,76,3386,1522
SciAstro,NASA,200,0,10,93,14398,1698
Astro_Flow,NASA,200,0,110,91,6187,4468
Astro_Cady,NASA,200,0,39,100,43323,1100
Astro_Ferg,NASA,200,0,62,49,4391,1705
Astro_Clay,NASA,200,0,104,44,64075,302
AstroCoastie,NASA,5,0,0,0,107,62
astro_Pettit,NASA,105,0,0,62,4061,2822
AstroDot,NASA,200,0,61,85,126112,613
Astro_Wheels,NASA,200,0,109,114,28773,3188
Astro_Doug,NASA,52,0,23,20,4600,885
Astro_Taz,NASA,25,0,0,0,746,168
Astro_Box,NASA,199,0,14,125,11650,1243
Astro2fish,NASA,200,0,101,70,4905,1471
Astro_Jeff,NASA,200,0,0,0,811,235
AstroAcaba,NASA,161,0,18,57,4970,1450
AstroKarenN,NASA,200,0,96,108,23628,21136
Astro_Kate7,NASA,87,0,41,15,1378,248
astro_kjell,NASA,72,0,22,19,1187,519
Astro_127,NASA,200,0,57,0,73,1218
AstroIronMike,NASA,200,0,30,37,18680,1506
foreman_mike,NASA,200,0,52,52,10592,1125
astro_aggie,NASA,200,0,36,85,25749,2259
AstroIllini,NASA,200,0,70,92,24141,34428
Astro_Mike,NASA,199,0,14,58,4551,7972
Astro_Nicholas,NASA,27,0,1,0,409,101
Astro_Nicole,NASA,200,0,133,140,3210,3926
astro_reid,NASA,200,0,73,100,94833,164732
Astro_Rex,NASA,82,0,34,4,1368,789
AstroRM,NASA,200,0,32,140,51361,61081
Astro_Ron,NASA,200,0,18,49,3913,1142
Astro_Sandy,NASA,200,0,23,41,571,933
AstroSerena,NASA,41,0,2,19,340,290
StationCDRKelly,NASA,198,0,52,89,15797,12711
Astro_Maker,NASA,99,0,24,44,2078,335
Astro_Suni,NASA,127,0,9,59,10267,4784
AstroTerry,NASA,200,0,3,188,111609,167379
astro_tim,NASA,69,0,0,1,142,337
AstroMarshburn,NASA,200,0,53,99,13022,12739
Astro_TJ,NASA,200,0,88,28,41429,885
Chief_Astronaut,NASA,200,0,11,178,16744,5408
Commercial_Crew,NASA,200,0,35,84,10615,4562
DESERT_RATS,NASA,196,0,27,38,1529,306
HMP,NASA,200,0,5,17,288,46
ISS_Research,NASA,200,0,66,106,35474,1961
NASAMightyEagle,NASA,200,0,25,90,152,98
NASA_NEEMO,NASA,200,0,73,106,3274,1071
NASA_Orion,NASA,200,0,30,125,44276,8388
PavilionLake,NASA,200,0,9,13,140,16
MorpheusLander,NASA,200,0,118,36,2741,1278
AstroRobonaut,NASA,200,0,92,47,26025,1957
NASA_SLS,NASA,200,0,21,144,76709,3207
