tweet,retweetsCount,favoritesCount
"Экипажи МКС-43/44 приступили к сдаче экзаменационной сессии: http://t.co/8gy57kEkRs http://t.co/qiv6i0QOYS",12,6
"Роскосмос и МАИ заключили соглашение о сотрудничестве: http://t.co/vzxj6QeATa http://t.co/od9R799dn0",12,5
"Транспортный грузовой корабль «Прогресс М-26М» в составе МКС: http://t.co/3VVg3cXmRD http://t.co/0O3v2D6L5w",41,35
"Ракета-носитель «Союз-У» с ТГК «Прогресс М-26М» стартовала с космодрома Байконур: http://t.co/FFLfv8yEow http://t.co/atmNBbCYZK",63,35
"Госкомиссия приняла решение о заправке РКН«Союз-У» с ТГК «Прогресс М-26М» компонентами топлива:http://t.co/rxa2hly4Lf http://t.co/ajRjtvRUMq",22,16
"Роскосмос, Росатом и Роснано поддержат Неделю высоких технологий в школах России http://t.co/I8pfmM0dRr http://t.co/GOH7r5sZi0",10,3
"Ракета-носитель «Союз-У» с ТГК «Прогресс М-26М» вывезена на стартовый комплекс http://t.co/Jv0dIUI4EN http://t.co/DhVKFyka4j",64,27
"На Байконуре завершена сборка космической головной части для запуска ТГК «Прогресс М-26М»: http://t.co/5jKso0fpnX http://t.co/mHhoCLrjQ7",13,5
"Проведена стыковка корабля 'Прогресс М-26М' с переходным отсеком. Пуск намечен на 17 февраля 2015 г. в 14:00 мск http://t.co/COnudum24d",21,9
"Роскосмос принял участие в заседании Комитета ООН по использованию космоса в мирных целях: http://t.co/DkoDFRyl5e",10,4
"Подписано положение о сотрудничестве России и Китая в области спутниковой навигации http://t.co/YJp2CKdfA9 http://t.co/JiDzTArVai",91,30
"На Байконуре продолжается подготовка к запуску грузового космического корабля «Прогресс М-26М»:http://t.co/sMaPjfSkRZ http://t.co/zNeAiuqpQT",11,7
"В РУДН открыт Центр управления полетами и Учебно-демонстрационный комплекс: http://t.co/8JmTCsIa1P http://t.co/zOhrdoirN5",13,4
"Начинается строительство космического телескопа «Миллиметрон»: http://t.co/gup7pQezpo http://t.co/CyMBkrUV1Q",49,24
"Отделение КА «Инмарсат-5Ф2» от разгонного блока прошло штатно и в расчетное время - в 07:02 мск 2 февраля 2015 года http://t.co/ZwMo6JZjit",29,14
"Осуществлен пуск ракеты-носителя «Протон-М» с космическим аппаратом «Инмарсат-5Ф2»: http://t.co/KWaDZar44u http://t.co/Afy0DNMjzb",53,23
"Готовность к пуску ракеты-носителя «Протон-М» с космическим аппаратом «Инмарсат-5Ф2» 1 час! Трансляция: http://t.co/he0lQTQT9i",28,9
"Руководитель Роскосмоса Игорь Комаров посетил строительную площадку космодрома 'Восточный': http://t.co/mW50RBOl4p",12,3
