tweet,retweetsCount,favoritesCount
"Look who I bumped into at this Mickey Mouse place! #RaganDisney http://t.co/INAl2uVMwp",2,17
"“@kristin_vstpgh: Looking forward to heading from @nasa astronaut @foreman_mike. #ragandisney” trying to control my butterflies! Can't wait🚀",4,6
"“@twopcharts_usa: Congratulations, it is exactly 3 yrs since you started with Twitter. http://t.co/w3AZKzPt0T”👍Will mention at #RaganDisney!",3,6
"“@lindork: Good morning! Excited for amazing #socialmedia #comms topics &amp; speakers lineup for #RaganDisney today! http://t.co/Du1oS4rJuw”🚀😎👍",7,5
"[ISS] Launch of Progress M-26M on way to Space Station http://t.co/RhCu48ACCX",21,19
"ATV-5 undocking filmed by @AstroTerry  http://t.co/E8XkAftgVG",18,11
"“@SkyCrusader_: @foreman_mike aside from Pax River and China Lake, what other military bases have Navy/Marines test pilots?”Point Mugu, CA",2,2
"“@patplaysbass: Hey @foreman_mike, I found your old ride! http://t.co/sgNYLksy6x”I remember my seat--next to @Chief_Astronaut Bob Behnken!",9,14
"“@FlutterBec: @Astro_Clay @foreman_mike My 10 year old son's design for a new NASA rocket http://t.co/Zvcw8JNGHa”Wow! #RocketScientist!",6,8
"Maybe they should be named after flavors...Why Comets Are Like Deep Fried Ice Cream http://t.co/d4L15b50D5",3,3
"“@NickFaldo006: @foreman_mike are you sure??...1 2 3 4 5 6 7 8 9 10 and 1”My thinking: grains of sand on Earth=finite #. Space=infinite..",0,2
"“@clare_sparkle: @foreman_mike Hi is it cold in space?” #ISS orbits Earth every 90 mins. Outside, it's cold when we are on the dark side!",2,4
"“@NickFaldo006: @ProfBrianCox Is it true there are more stars in the universe than grains of sand on Earth? @foreman_mike #NASA”I'm a 'yes'🚀",3,7
"RT @Chief_Astronaut: .@NASA_Hubble finds a galactic cluster smiling back: http://t.co/NwtdhNsm1x http://t.co/zyPF9zniBX",31,0
"Happy 5th STS-130 launch anniversary to my good friends @AstroTerry and @Chief_Astronaut Bob Behnken #ISS #SpaceShuttle",6,9
"Hubble's Little Sombrero | NASA http://t.co/hrqsGroLPE",3,4
"Utah-based ATK prepares for test of 'world's largest' rocket motor http://t.co/J7CtTAXZVd via @kslcom",3,3
"Critical Year for SLS Development Continues With Base Heating Tests http://t.co/Idsd4PutFU via @americaspace",0,1
"Neat picture showing Curiosity Rover at 'Pahrump Hills' | NASA http://t.co/EgK7bZOxid",0,2
"Our SpaceFlight Heritage: Explorer 1 and the start of the Space Age -  http://t.co/yl6uFHrDCd",2,3
"“@FlutterBec: @foreman_mike @astro_timpeake Why is space exploration so important?”Things we learn in space improve our lives here on Earth!",2,5
"2015 edition of NASA’s annual Spinoff publication shows space-inspired tech advances http://t.co/pUM9t35Ca9",1,2
"NASA developing robotic helicopter scout for Mars rovers http://t.co/SVwEk0XzgL via @gizmag",3,3
"Chandra Celebrates the International Year of Light | NASA http://t.co/oAWqtQTyys",0,3
